commune,eau_potable,eau_irrigation,mixte,region_id,matched_region_ar,matched_region_fr
القيروان الشمالية,2,2,NA,NA,NA,NA
القيروان الجنوبية,5,7,1,NA,NA,NA
السبيخة,31,10,NA,333,السبيخة,alsbikha
الوسلاتية,13,3,NA,584,الوسلاتية,alouslatia
الشبيكة,5,14,2,279,الشبيكة,alchbika
حفوز,25,9,NA,277,حفوز,hfouz
العلا,7,NA,NA,1099,العلاء,alala
الحاجب,13,12,3,57,الحاجب,alhajb
عين جلولة,5,2,NA,398,عين جلولة,ain jloula
نصر الله,11,1,NA,922,نصر الله,nsr allh
منزل المهيري,3,8,NA,986,منزل المهيري,mnzl almhiri
بوحجلة,7,9,NA,NA,NA,NA
الشراردة,2,1,NA,764,الشراردة,alchrarda
