annee,delegation,secteur,effectif,capacite_litre_par_jour,quantite_collectee_mille_litre_par_annee,quantite_transformee_mille_litre_par_annee,region_id,matched_region_ar,matched_region_fr
2022,القصرين الشمالية,خاص,1,000 20,5753.848,5687.951,NA,NA,NA
2022,القصرين الجنوبية,خاص,1,000 22,2165.279,2149.198,NA,NA,NA
2022,سبيطلة,خاص,2,000 36,3669.088,3687.552,99,سبيطلة,sbitla
2022,فريانة,خاص,1,000 15,2904.835,2878.996,513,فريانة,friana
2022,ماجل بلعباس,خاص,2,000 53,6253.463,6225.254,599,ماجل بلعباس,majl blabas
2022,القصرين الشمالية,عام,1,000 9,1442.862,1316.954,NA,NA,NA
2023,القصرين الشمالية,خاص,1,22000,4122,4088,NA,NA,NA
2023,القصرين الجنوبية,خاص,1,20000,1630,1581,NA,NA,NA
2023,سبيطلة,خاص,2,36000,3584,3501,99,سبيطلة,sbitla
2023,فريانة,خاص,1,15000,3445,3408,513,فريانة,friana
2023,ماجل بلعباس,خاص,1,32000,4359,4344,599,ماجل بلعباس,majl blabas
2023,القصرين الشمالية,عام,1,4000,975,873,NA,NA,NA
