annee,nom,zone_dintervention,nombre_dadheents,capital_dinars,activites,remarques,region_id,matched_region_ar,matched_region_fr
2020,الإزدهار,معتمدية تيبار,32,16.150,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,NA,NA,NA,NA
2020,الأمـل,معتمدية عمدون,74,17.200.,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,NA,NA,NA,NA
2020,الزهرة,كامل ولاية باجة,NA,7.300.,بيع مستلزمات تربية النحل,غير ناشطة,NA,NA,NA
2020,أقري بن ساسي,"معتمدية باجة ,ج",NA,5.050,الميكنة الفلاحية,غير ناشطة,NA,NA,NA
2020,الكابتول,معتمدية تبرسق,17,5.050,بيع مستلزمات الإنتاج,NA,NA,NA,NA
2020,الزيتونة,معتمدية تبرسق,34,10.000,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,NA,NA,NA,NA
2020,أرنوبة,ولاية باجة,NA,5.000,المحافظة وتطوير القطيع-جمع وترويج المنتوج-بيع مستلزمات الإنتاج,غير ناشطة,NA,NA,NA
2020,غلال دجبة,عمادة دجبة,60,10.000,جمع وترويج االتين - بيع  مستلزمات الإنتاج,NA,NA,NA,NA
2020,المستقبل,معتمدية نفزة,29,20.000,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,NA,NA,NA,NA
2020,التقوى,ولاية باجة,NA,5.000,الميكنة الفلاحية - بيع مستلزمات الانتاج,غير ناشطة,NA,NA,NA
2020,الوفاء,باجة الجنوبية,7,25.000,بيع مستلزمات الانتاج,NA,NA,NA,NA
2020,الرمانة,تستور,25,26.000,بيع مستلزمات الانتاج- جمع و ترويج الرمان,NA,NA,NA,NA
2020,الاندلس,تستور,7,5.000,تنمية قطاع تربية الدواجن,NA,NA,NA,NA
2020,زينب,باجة الجنوبية,NA,5.000,تنمية قطاع تربية النحل,غير ناشطة,NA,NA,NA
2020,دار النحال,تيبار,7,5.000,تنمية قطاع تربية النحل,NA,NA,NA,NA
2020,cavicol,تستور,7,13.000,تنمية قطاع الدواجن,NA,NA,NA,NA
2020,الريادة,باجة الشمالية,7,10.000,بيع مستلزمات الإنتاج,NA,NA,NA,NA
2021,الإزدهار,معتمدية تيبار,32,16150,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,NA,NA,NA,NA
2021,الأمـل,معتمدية عمدون,74,17200,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,NA,NA,NA,NA
2021,أقري بن ساسي,"معتمدية باجة ,ج",10,5050,الميكنة الفلاحية,NA,NA,NA,NA
2021,الكابتول,معتمدية تبرسق,17,5050,بيع مستلزمات الإنتاج,NA,NA,NA,NA
2021,الزيتونة,معتمدية تبرسق,34,10000,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,NA,NA,NA,NA
2021,غلال دجبة,عمادة دجبة,60,20000,جمع وترويج االتين - بيع  مستلزمات الإنتاج,NA,NA,NA,NA
2021,المستقبل,معتمدية نفزة,29,25000,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,NA,NA,NA,NA
2021,الوفاء,باجة الجنوبية,7,25000,بيع مستلزمات الانتاج,NA,NA,NA,NA
2021,الرمانة,تستور,25,26000,بيع مستلزمات الانتاج- جمع و ترويج الرمان,NA,NA,NA,NA
2021,الاندلس,تستور,7,5000,تنمية قطاع تربية الدواجن,NA,NA,NA,NA
2021,دار النحال,تيبار,7,5000,تنمية قطاع تربية النحل,NA,NA,NA,NA
2021,cavicol,تستور,7,13000,تنمية قطاع الدواجن,NA,NA,NA,NA
2021,الريادة,باجة الشمالية,7,10000,بيع مستلزمات الإنتاج,NA,NA,NA,NA
2021,الإنطلاقة,نفزة,7,4000,صناعة الجبن,NA,NA,NA,NA
2021,كنوز جبل الأبيض,نفزة,11,16000,تثمين المنتوجات الغابية,NA,NA,NA,NA
2022,الإزدهار,معتمدية تيبار,34,16150,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,NA,NA,NA,NA
2022,الأمـل,معتمدية عمدون,46,17200,جمع وترويج الحليب الطازج - بيع  مستلزمات الإنتاج,NA,NA,NA,NA
2022,أقري بن ساسي,معتمدية باجة الجنوبية,10,5050,الميكنة الفلاحية,NA,NA,NA,NA
2022,الكابتول,معتمدية تبرسق,17,5050,بيع مستلزمات الإنتاج,NA,NA,NA,NA
2022,الزيتونة,معتمدية تبرسق,34,10000,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,NA,NA,NA,NA
2022,غلال دجبة,معتمدية تيبار,60,10000,جمع وترويج االتين - بيع  مستلزمات الإنتاج,غير ناشطة,NA,NA,NA
2022,المستقبل,معتمدية نفزة,29,20000,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,غير ناشطة,NA,NA,NA
2022,الوفاء,معتمدية باجة الجنوبية,7,25000,بيع مستلزمات الانتاج,غير ناشطة,NA,NA,NA
2022,الرمانة,معتمدية تستور,41,26000,بيع مستلزمات الانتاج- جمع و ترويج الرمان,NA,NA,NA,NA
2022,الاندلس,معتمدية تستور,7,5000,تنمية قطاع تربية الدواجن,NA,NA,NA,NA
2022,دار النحال,معتمدية تيبار,7,3000,تنمية قطاع تربية النحل,NA,NA,NA,NA
2022,cavicol,معتمدية تستور,7,13000,تنمية قطاع الدواجن,غير ناشطة,NA,NA,NA
2022,الريادة,معتمدية باجة الشمالية,7,10000,بيع مستلزمات الإنتاج,غير ناشطة,NA,NA,NA
2022,الإنطلاقة,معتمدية نفزة,7,4000,صناعة الجبن,غير ناشطة,NA,NA,NA
2022,كنوز جبل الأبيض,معتمدية نفزة,11,4000,تثمين المنتوجات الغابية,NA,NA,NA,NA
2022,مطمور روما,معتمدية باجة الجنوبية,7,1000,صناعة الجبن,NA,NA,NA,NA
2022,ولادة 'compost',معتمدية باجة الجنوبية,7,1000,إنتاج السماد العضوي,NA,NA,NA,NA
2022,مزارعي الحبوب  و المربين بالشمال,معتمدية باجة الشمالية,10,10000,تنمية قطاع تربية الأغنام,NA,NA,NA,NA
2022,تربة بذور قصر الطير,معتمدية قبلاط,9,28000,تنمية قطاع الحبوب و توفير مستلزمات الإنتاج,NA,NA,NA,NA
2023,الإزدهار,معتمدية تيبار,34,16150,جمع وترويج الحليب الطازج,NA,NA,NA,NA
2023,الأمـل,معتمدية عمدون,46,17200,جمع وترويج الحليب الطازج,NA,NA,NA,NA
2023,أقري بن ساسي,معتمدية باجة الجنوبية,10,5050,الميكنة الفلاحية,NA,NA,NA,NA
2023,الكابتول,معتمدية تبرسق,41,5050,بيع مستلزمات الإنتاج,NA,NA,NA,NA
2023,الزيتونة,معتمدية تبرسق,34,10000,تنمية قطاع زيت الزيتزن-بيع مستلزمات الإنتاج,NA,NA,NA,NA
2023,غلال دجبة,معتمدية تيبار,60,10000,جمع وترويج االتين - بيع  مستلزمات الإنتاج,غير ناشطة,NA,NA,NA
2023,المستقبل,معتمدية نفزة,29,20000,الميكنة الفلاحية - بيع مستلزمات الانتاج - تنمية المنطقة السقوية بنفزة,غير ناشطة,NA,NA,NA
2023,الوفاء,معتمدية باجة الجنوبية,7,25000,بيع مستلزمات الانتاج,غير ناشطة,NA,NA,NA
2023,الرمانة,معتمدية تستور,41,26000,بيع مستلزمات الانتاج- جمع و ترويج الرمان,NA,NA,NA,NA
