annee,delegation,nombre_de_societes,nombre_dadherents,nombre_des_operateurs,chiffre_daffaires_mille_dinars,region_id,matched_region_ar,matched_region_fr
2021,بوزيد الغربية,1,19,120,36,NA,NA,NA
2021,بوزيد الشرقية,4,158,700,71.9,NA,NA,NA
2021,المكناسي,0,0,0,0,743,المكناسي,almknasi
2021,الرقاب,6,208,570,130.5,993,الرقاب,alrqab
2021,السعيدة,NA,NA,NA,NA,1195,السعيدة,alsaida
2021,جلمة,2,85,640,56,273,جلمة,jlma
2021,السبالة,0,0,0,0,97,السبالة,alsbala
2021,أولاد حفوز,0,0,0,0,989,أولاد حفوز,aoulad hfouz
2021,بئر الحفي,2,33,800,87,876,بئر الحفي,bir alhfi
2021,منزل بوزيان,1,19,500,100,1141,منزل بوزيان,mnzl bouzian
2021,بن عون,1,21,700,10.5,903,بني عيشون,bni aichoun
2021,سوق الجديد,2,78,500,76.4,NA,NA,NA
2021,المزونة,0,0,0,0,574,المزونة,almzouna
2021,الجملة,19,621,4530,568.3,625,الرملة,alrmla
2022,بوزيد الغربية,1,19,120,36,NA,NA,NA
2022,بوزيد الشرقية,6,176,700,71.9,NA,NA,NA
2022,المكناسي,0,0,0,0,743,المكناسي,almknasi
2022,الرقاب (*),7,239,570,327.504,993,الرقاب,alrqab
2022,السعيدة,NA,NA,NA,NA,1195,السعيدة,alsaida
2022,جلمة,3,100,640,52.425,273,جلمة,jlma
2022,السبالة,0,0,0,0,97,السبالة,alsbala
2022,أولاد حفوز,0,0,0,0,989,أولاد حفوز,aoulad hfouz
2022,بئر الحفي,2,33,800,87,876,بئر الحفي,bir alhfi
2022,منزل بوزيان,1,19,500,100,1141,منزل بوزيان,mnzl bouzian
2022,بن عون,1,39,700,389.785,903,بني عيشون,bni aichoun
2022,سوق الجديد,2,78,500,76.4,NA,NA,NA
2022,المزونة,0,0,0,0,574,المزونة,almzouna
2022,الجملة,23,703,4530,1141.0140000000001,625,الرملة,alrmla
2023,(*) بوزيد الغربية,1,19,120,36,NA,NA,NA
2023,بوزيد الشرقية,6,176,700,71.9,NA,NA,NA
2023,المكناسي,0,0,0,0,743,المكناسي,almknasi
2023,(**) الرقاب,7,239,570,327.504,993,الرقاب,alrqab
2023,السعيدة,NA,NA,NA,NA,1195,السعيدة,alsaida
2023,جلمة,3,100,640,52.425,273,جلمة,jlma
2023,السبالة,0,0,0,0,97,السبالة,alsbala
2023,أولاد حفوز,0,0,0,0,989,أولاد حفوز,aoulad hfouz
2023,بئر الحفي,2,33,800,87,876,بئر الحفي,bir alhfi
2023,منزل بوزيان,1,19,500,100,1141,منزل بوزيان,mnzl bouzian
2023,بن عون,1,39,700,389.785,903,بني عيشون,bni aichoun
2023,سوق الجديد,2,78,500,76.4,NA,NA,NA
2023,المزونة,0,0,0,0,574,المزونة,almzouna
2023,الجملة,23,703,4530,1141.0140000000001,625,الرملة,alrmla
2024,بوزيد الغربية  (*),3,34,120,519.032,NA,NA,NA
2024,بوزيد الشرقية,8,192,770,3548.64,NA,NA,NA
2024,المكناسي,1,8,0,0,743,المكناسي,almknasi
2024,الرقاب (**),9,267,570,2440.481,993,الرقاب,alrqab
2024,السعيدة,NA,NA,NA,NA,1195,السعيدة,alsaida
2024,جلمة,4,108,640,741.716,273,جلمة,jlma
2024,السبالة,0,0,0,0,97,السبالة,alsbala
2024,أولاد حفوز,0,0,0,0,989,أولاد حفوز,aoulad hfouz
2024,بئر الحفي,4,53,900,258.233,876,بئر الحفي,bir alhfi
2024,منزل بوزيان,1,19,500,100,1141,منزل بوزيان,mnzl bouzian
2024,بن عون,2,39,700,389.785,903,بني عيشون,bni aichoun
2024,سوق الجديد,4,96,550,998.068,NA,NA,NA
2024,المزونة,0,0,0,0,574,المزونة,almzouna
2024,الجملة,36,816,4750,8995.955,625,الرملة,alrmla
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
(*)  لم يقع الفصل بين معطيات سيدي بوزيد الغربية والهشرية لتعذر الحصول على بعض المعلومات الفردية للمعتمدية المحدثة بمنطقة الهشرية.,NA,NA,NA,NA,NA,NA,NA,NA
(**)  تم الفصل بين معطيات الرقاب والسعيدة ماعدا المعلومات المتعلقة بالشركات التعاونية لتعذر الحصول عليها .,NA,NA,NA,NA,NA,NA,NA,NA
