annee,delegation,nombre_total,huileries_actives,capacite_de_transformation_tonne_jour,region_id,matched_region_ar,matched_region_fr
2021,بوزيد الغربية,8,NA,137,NA,NA,NA
2021,بوزيد الشرقية,14,NA,505,NA,NA,NA
2021,المكناسي,0,NA,0,743,المكناسي,almknasi
2021,الرقاب,8,NA,165,993,الرقاب,alrqab
2021,السعيدة,12,NA,355,1195,السعيدة,alsaida
2021,جلمة,4,NA,107,273,جلمة,jlma
2021,السبالة,0,NA,0,97,السبالة,alsbala
2021,أولاد حفوز,23,NA,1345,989,أولاد حفوز,aoulad hfouz
2021,بئر الحفي,6,NA,260,876,بئر الحفي,bir alhfi
2021,منزل بوزيان,1,NA,40,1141,منزل بوزيان,mnzl bouzian
2021,بن عون,19,NA,1065,903,بني عيشون,bni aichoun
2021,سوق الجديد,1,NA,60,NA,NA,NA
2021,المزونة,0,NA,0,574,المزونة,almzouna
2021,الجملة,96,NA,4039,625,الرملة,alrmla
2022,بوزيد الغربية,8,5,162,NA,NA,NA
2022,بوزيد الشرقية,16,10,515,NA,NA,NA
2022,المكناسي,0,0,0,743,المكناسي,almknasi
2022,الرقاب (*),8,7,195,993,الرقاب,alrqab
2022,السعيدة,12,9,385,1195,السعيدة,alsaida
2022,جلمة,5,4,137,273,جلمة,jlma
2022,السبالة,0,0,0,97,السبالة,alsbala
2022,أولاد حفوز,26,14,1422,989,أولاد حفوز,aoulad hfouz
2022,بئر الحفي,6,5,260,876,بئر الحفي,bir alhfi
2022,منزل بوزيان,1,0,40,1141,منزل بوزيان,mnzl bouzian
2022,بن عون,20,18,1185,903,بني عيشون,bni aichoun
2022,سوق الجديد,1,0,60,NA,NA,NA
2022,المزونة,0,0,0,574,المزونة,almzouna
2022,الجملة,103,72,4361,625,الرملة,alrmla
2023,(*) بوزيد الغربية,8,5,162,NA,NA,NA
2023,بوزيد الشرقية,17,9,595,NA,NA,NA
2023,المكناسي,0,0,0,743,المكناسي,almknasi
2023,الرقاب,9,7,255,993,الرقاب,alrqab
2023,السعيدة,12,9,385,1195,السعيدة,alsaida
2023,جلمة,5,4,137,273,جلمة,jlma
2023,السبالة,0,0,0,97,السبالة,alsbala
2023,أولاد حفوز,26,20,1422,989,أولاد حفوز,aoulad hfouz
2023,بئر الحفي,6,5,260,876,بئر الحفي,bir alhfi
2023,منزل بوزيان,1,0,40,1141,منزل بوزيان,mnzl bouzian
2023,بن عون,20,18,1185,903,بني عيشون,bni aichoun
2023,سوق الجديد,1,0,0,NA,NA,NA
2023,المزونة,0,0,0,574,المزونة,almzouna
2023,الجملة,105,77,4441,625,الرملة,alrmla
2024,بوزيد الغربية,7,6,162,NA,NA,NA
2024,بوزيد الشرقية,19,11,595,NA,NA,NA
2024,المكناسي,0,0,0,743,المكناسي,almknasi
2024,الرقاب,9,6,255,993,الرقاب,alrqab
2024,السعيدة,12,8,385,1195,السعيدة,alsaida
2024,جلمة,5,4,137,273,جلمة,jlma
2024,السبالة,1,1,0,97,السبالة,alsbala
2024,أولاد حفوز,25,20,1422,989,أولاد حفوز,aoulad hfouz
2024,بئر الحفي,6,5,260,876,بئر الحفي,bir alhfi
2024,منزل بوزيان,1,0,40,1141,منزل بوزيان,mnzl bouzian
2024,بن عون,19,17,1185,903,بني عيشون,bni aichoun
2024,سوق الجديد,0,0,0,NA,NA,NA
2024,المزونة,0,0,0,574,المزونة,almzouna
2024,الجملة,104,78,4441,625,الرملة,alrmla
