annee,port_ou_point_de_debarquement,nombre_de_navire_de_peche_cotiere_equipes_avec_moteur,nombre_de_navires_de_peche_cotiere_non_equipes_avec_moteur,nombre_de_navires_de_peche_au_poisson_bleu,nombre_de_navires_de_peche_au_chalut,nombre_de_navires_de_peche_au_corail,nombre_de_navires_dquaculture,nombre_de_navires_de_peche_au_niveau_des_barrages,nombre_total_de_navires_de_peche,main_doeuvre,region_id,matched_region_ar,matched_region_fr
2020,جرزونـــة,186.7488524440878,285.61509887295887,17.755555555555556,25.946132596685082,25,NA,NA,540.3891192218916,2256,692,جرزونة,jrzouna
2020,غار الملـح,164.1255737779561,163.2845660180516,29.244444444444444,0,0,NA,NA,352.2342375096886,1460,114,غار الملح,ghar almlh
2020,م.عبد الرحمان,83.65109889328085,91.78718208115328,0,0,0,NA,NA,174.1157878599029,522,NA,NA,NA
2020,"كاب الزبيب, الدمنة",30.707365416520823,12.560351232157815,0,0,0,NA,NA,42.02794879376967,126,NA,NA,NA
2020,"سيدي مشرق, كاف عباد, لوكة, كاب سيرات,,",27.53074140791522,99.51662899325038,0,0,0,NA,NA,129.0858427237211,387,NA,NA,NA
2020,منزل بورقيبة,3.1766240086056023,13.526532096169955,0,0,0,NA,NA,17.011312607002008,51,32,منزل بورقيبة,mnzl bourqiba
2020,"رفراف, صونين, راس الجبل",8.470997356281606,88.88863948911685,0,0,0,NA,NA,100.06654474707065,300,NA,NA,NA
2020,"راس انجلا, الغيران, الحويشات",10.588746695352008,90.82100121714113,0,0,0,NA,NA,104.06920653695346,312,NA,NA,NA
2020,المجموع,515,845.9999999999998,47,25.946132596685082,25,NA,NA,1459,5414,NA,NA,NA
2021,جرزونـــة,180,297,16.96477900552486,25.946132596685082,25,NA,NA,544.9109116022099,2272,692,جرزونة,jrzouna
2021,غار الملـح,154.6788674033149,168.64986187845304,27.94198895027624,0,0,NA,NA,351.2707182320442,1460,114,غار الملح,ghar almlh
2021,م.عبد الرحمان,78.83632596685082,94.80317679558011,0,0,0,NA,NA,173.63950276243094,522,NA,NA,NA
2021,"كاب الزبيب, الدمنة",28.939917127071823,12.973066298342541,0,0,0,NA,NA,41.91298342541437,126,NA,NA,NA
2021,"سيدي مشرق, كاف عباد, لوكة, كاب سيرات,,",25.946132596685082,102.78660220994475,0,0,0,NA,NA,128.73273480662982,387,NA,NA,NA
2021,منزل بورقيبة,2.99378453038674,13.97099447513812,0,0,0,NA,NA,16.96477900552486,51,32,منزل بورقيبة,mnzl bourqiba
2021,"رفراف, صونين, راس الجبل",7.983425414364641,91.80939226519338,0,0,0,NA,NA,99.79281767955803,300,NA,NA,NA
2021,"راس انجلا, الغيران, الحويشات",9.9792817679558,93.80524861878453,0,0,0,NA,NA,103.78453038674033,312,NA,NA,NA
2021,المجموع,489.3577348066298,875.7983425414366,44.9067679558011,25.946132596685082,25,NA,NA,1461.0089779005525,5430,NA,NA,NA
2022,جرزونـــة,185,302,16.96477900552486,25.946132596685082,25,NA,NA,554.9109116022099,2300,692,جرزونة,jrzouna
2022,غار الملـح,157,173,27.94198895027624,0,0,NA,NA,357.94198895027625,1474,114,غار الملح,ghar almlh
2022,م.عبد الرحمان,78.83632596685082,94.80317679558011,0,0,0,NA,NA,173.63950276243094,522,NA,NA,NA
2022,"كاب الزبيب, الدمنة",28.939917127071823,12.973066298342541,0,0,0,NA,NA,41.91298342541437,126,NA,NA,NA
2022,"سيدي مشرق, كاف عباد, لوكة, كاب سيرات,,",25.946132596685082,102.78660220994475,0,0,0,NA,NA,128.73273480662982,387,NA,NA,NA
2022,منزل بورقيبة,2.99378453038674,13.97099447513812,0,0,0,NA,NA,16.96477900552486,51,32,منزل بورقيبة,mnzl bourqiba
2022,"رفراف, صونين, راس الجبل",7.983425414364641,91.80939226519338,0,0,0,NA,NA,99.79281767955803,300,NA,NA,NA
2022,"راس انجلا, الغيران, الحويشات",9.9792817679558,93.80524861878453,0,0,0,NA,NA,103.78453038674033,312,NA,NA,NA
2022,المجموع,496.6788674033149,885.1484806629835,44.9067679558011,25.946132596685082,25,NA,NA,1477.6802486187844,5472,NA,NA,NA
2023,جرزونـــة,191,306,16.96477900552486,25.946132596685082,25,NA,NA,564.9109116022099,2310,692,جرزونة,jrzouna
