annee,delegation_fr,delegation_ar,nombre_centre_de_collecte_lait,quantite_de_refroidissement_litre,quantite_collectee_litre,region_id,matched_region_ar,matched_region_fr
2016,Sousse Medina,سوسة المدينة,NA,NA,NA,NA,NA,NA
2016,Sousse Riadh,سوسة الرياض,NA,NA,NA,NA,NA,NA
2016,Sousse Jawhara,سوسة الجوهرة,NA,NA,NA,NA,NA,NA
2016,Sidi Abdelhamid,سوسة سيدي عبد الحميد,NA,NA,NA,NA,NA,NA
2016,Hammam Sousse,حمام سوسة,NA,NA,NA,NA,NA,NA
2016,Akouda,أكودة,1,7000,2018235,265,أكودة,akouda
2016,Kalaa Kébira,القلعة الكبرى,2,18000,9157879,34,القلعة الكبرى,alqlaa alkbra
2016,Sid Bou Ali,سيدي بو علي,NA,NA,NA,424,سيدي بو علي,sidi bou ali
2016,Hergla,هرقلة,NA,NA,NA,269,هرقلة,hrqla
2016,Enfidha,النفيضة,NA,NA,NA,419,النفيضة,alnfida
2016,Bouficha,بوفيشة,1,2000,1217310,319,بوفيشة,bouficha
2016,Kondar,الكندار,NA,NA,NA,326,كندار,kndar
2016,Sid El Héni,سيدي الهاني,NA,NA,NA,155,سيدي الهاني,sidi alhani
2016,M'Saken,مساكن,NA,NA,NA,29,مساكن,msakn
2016,Kalaa Sghira,القلعة الصغرى,NA,NA,NA,434,القلعة الصغرى,alqlaa alsghra
2016,Zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,NA,NA,NA,NA,NA,NA
2017,Sousse Medina,سوسة المدينة,NA,NA,NA,NA,NA,NA
2017,Sousse Riadh,سوسة الرياض,NA,NA,NA,NA,NA,NA
2017,Sousse Jawhara,سوسة الجوهرة,NA,NA,NA,NA,NA,NA
2017,Sidi Abdelhamid,سوسة سيدي عبد الحميد,NA,NA,NA,NA,NA,NA
2017,Hammam Sousse,حمام سوسة,NA,NA,NA,NA,NA,NA
2017,Akouda,أكودة,1,7000,2068135,265,أكودة,akouda
2017,Kalaa Kébira,القلعة الكبرى,3,20500,9889802,34,القلعة الكبرى,alqlaa alkbra
2017,Sid Bou Ali,سيدي بو علي,1,8000,NA,424,سيدي بو علي,sidi bou ali
2017,Hergla,هرقلة,NA,NA,NA,269,هرقلة,hrqla
2017,Enfidha,النفيضة,NA,NA,NA,419,النفيضة,alnfida
2017,Bouficha,بوفيشة,1,2000,1658340,319,بوفيشة,bouficha
2017,Kondar,الكندار,NA,NA,NA,326,كندار,kndar
2017,Sid El Héni,سيدي الهاني,NA,NA,NA,155,سيدي الهاني,sidi alhani
2017,M'Saken,مساكن,NA,NA,NA,29,مساكن,msakn
2017,Kalaa Sghira,القلعة الصغرى,NA,NA,NA,434,القلعة الصغرى,alqlaa alsghra
2017,Zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,NA,NA,NA,NA,NA,NA
2018,Sousse Medina,سوسة المدينة,NA,NA,NA,NA,NA,NA
2018,Sousse Riadh,سوسة الرياض,NA,NA,NA,NA,NA,NA
2018,Sousse Jawhara,سوسة الجوهرة,NA,NA,NA,NA,NA,NA
2018,Sidi Abdelhamid,سوسة سيدي عبد الحميد,NA,NA,NA,NA,NA,NA
2018,Hammam Sousse,حمام سوسة,NA,NA,NA,NA,NA,NA
2018,Akouda,أكودة,1,7000,1719453,265,أكودة,akouda
2018,Kalaa Kébira,القلعة الكبرى,3,20500,8613898,34,القلعة الكبرى,alqlaa alkbra
