annee,delegation,centres_de_collecte,capacite_de_refroidissement_litre_jour,quantite_collectee_1000l,region_id,matched_region_ar,matched_region_fr
2020,زغوان,NA,NA,NA,318,زغوان,zghouan
2020,الزريبة,NA,NA,NA,524,الزريبة,alzriba
2020,بئر مشارقة,NA,NA,NA,377,بئر مشارقة,bir mcharqa
2020,الفحص,1,18000,1162,378,الفحص,alfhs
2020,الناظور,NA,NA,NA,402,الناظور,alnazour
2020,صواف,NA,NA,NA,401,صواف,souaf
2020,المجمـوع,1,18000,1162,NA,NA,NA
2021,زغوان,NA,NA,NA,318,زغوان,zghouan
2021,الزريبة,NA,NA,NA,524,الزريبة,alzriba
2021,بئر مشارقة,NA,NA,NA,377,بئر مشارقة,bir mcharqa
2021,الفحص,1,18000,1723.7,378,الفحص,alfhs
2021,الناظور,NA,NA,NA,402,الناظور,alnazour
2021,صواف,NA,NA,NA,401,صواف,souaf
2021,المجمـوع,NA,18000,1723.7,NA,NA,NA
2022,زغوان,NA,NA,NA,318,زغوان,zghouan
2022,الزريبة,NA,NA,NA,524,الزريبة,alzriba
2022,بئر مشارقة,NA,NA,NA,377,بئر مشارقة,bir mcharqa
2022,الفحص,1,18000,2032.4,378,الفحص,alfhs
2022,الناظور,NA,5000,545.3,402,الناظور,alnazour
2022,صواف,1,NA,NA,401,صواف,souaf
2022,المجمـوع,2,23000,2577.7,NA,NA,NA
2023,زغوان,NA,NA,NA,318,زغوان,zghouan
2023,الزريبة,NA,NA,NA,524,الزريبة,alzriba
2023,بئر مشارقة,NA,NA,NA,377,بئر مشارقة,bir mcharqa
2023,الفحص,1,18000,2099.1,378,الفحص,alfhs
2023,الناظور,1,8000,1791,402,الناظور,alnazour
2023,صواف,NA,NA,NA,401,صواف,souaf
2023,المجمـوع,2,26000,3890.1,NA,NA,NA
2024,زغوان,NA,NA,NA,318,زغوان,zghouan
2024,الزريبة,NA,NA,NA,524,الزريبة,alzriba
2024,بئر مشارقة,NA,NA,NA,377,بئر مشارقة,bir mcharqa
2024,الفحص,1,18000,2076,378,الفحص,alfhs
2024,الناظور,1,8000,1901,402,الناظور,alnazour
2024,صواف,NA,NA,NA,401,صواف,souaf
2024,المجمـوع,2,26000,3977,NA,NA,NA
