annee,delegation,nombre_de_huileries,capacite_de_transformation_t_24h,capacite_de_stockage_en_t,region_id,matched_region_ar,matched_region_fr
2021,زغوان,10,575,1400,318,زغوان,zghouan
2021,الزريبة,5,435,2800,524,الزريبة,alzriba
2021,بئر مشارقة,3,230,1430,377,بئر مشارقة,bir mcharqa
2021,الفحص,9,580,790,378,الفحص,alfhs
2021,الناظور,8,780,2880,402,الناظور,alnazour
2021,صواف,0,0,0,401,صواف,souaf
2021,المجمـوع,35,2600,9300,NA,NA,NA
2022,زغوان,10,575,1400,318,زغوان,zghouan
2022,الزريبة,5,435,2800,524,الزريبة,alzriba
2022,بئر مشارقة,3,230,1430,377,بئر مشارقة,bir mcharqa
2022,الفحص,9,580,790,378,الفحص,alfhs
2022,الناظور,8,780,2880,402,الناظور,alnazour
2022,صواف,0,0,0,401,صواف,souaf
2022,المجمـوع,35,2600,9300,NA,NA,NA
2023,زغوان,10,575,1400,318,زغوان,zghouan
2023,الزريبة,5,435,2800,524,الزريبة,alzriba
2023,بئر مشارقة,3,230,1430,377,بئر مشارقة,bir mcharqa
2023,الفحص,9,580,790,378,الفحص,alfhs
2023,الناظور,8,780,2880,402,الناظور,alnazour
2023,صواف,0,0,0,401,صواف,souaf
2023,المجمـوع,35,2600,9300,NA,NA,NA
2024,زغوان,10,570,1485,318,زغوان,zghouan
2024,الزريبة,5,435,2795,524,الزريبة,alzriba
2024,بئر مشارقة,4,320,1440,377,بئر مشارقة,bir mcharqa
2024,الفحص,10,670,835,378,الفحص,alfhs
2024,الناظور,8,780,2895,402,الناظور,alnazour
2024,صواف,0,0,0,401,صواف,souaf
2024,المجمـوع,37,2775,9450,NA,NA,NA
