alwlayt_gouvernorat,almʿtmdyt_delegation,asm_almjmʿ_gda,almsaht_alqablt_llry_sup_irriguable_ha,ʿdd_almstghlyn_alflahyn_nbr_beneficiere,region_id,matched_region_ar,matched_region_fr
باجة,قبلاط,قبلاط,2942,445,28,باجة,baja
باجة,قبلاط,سيدي يحي,95,33,28,باجة,baja
باجة,قبلاط,دور إسماعيل,120,21,28,باجة,baja
باجة,تستور,سيدي إبراهيم,545,93,28,باجة,baja
باجة,تستور,سيدي ناجي,741,90,28,باجة,baja
باجة,تستور,عين يونس,660,77,28,باجة,baja
باجة,تستور,الخوالدية,57,22,28,باجة,baja
باجة,تستور,الصخيرة,134,64,28,باجة,baja
باجة,تستور,أولاد عياد,100,32,28,باجة,baja
باجة,تستور,ولجة دخان,31,21,28,باجة,baja
باجة,تستور,بن صندل,114,32,28,باجة,baja
باجة,باجة الجنوبية,الإمتياز,587,109,28,باجة,baja
باجة,باجة الجنوبية,الرقي,418,117,28,باجة,baja
باجة,باجة الجنوبية,النمو,689,164,28,باجة,baja
باجة,باجة الجنوبية,الزعفران,636,160,28,باجة,baja
باجة,باجة الجنوبية,بوزعرورة,25,8,28,باجة,baja
باجة,باجة الجنوبية,بوتفاحة,254,20,28,باجة,baja
باجة,تيبار وباجة جنوبية,الطموح,721,137,28,باجة,baja
باجة,تيبار,أجنة دجبة,126,56,28,باجة,baja
باجة,تيبار,العيون الصافية,285,825,28,باجة,baja
باجة,تيبار,مسيلة,173,56,28,باجة,baja
باجة,نفزة,النهوض,935,1776,28,باجة,baja
باجة,نفزة,الوفاق,718,1364,28,باجة,baja
باجة,نفزة,الطويلة,425,857,28,باجة,baja
باجة,نفزة,وشتاتة,470,902,28,باجة,baja
باجة,نفزة,الطبابة,67,39,28,باجة,baja
باجة,نفزة,الصنوبر,81,104,28,باجة,baja
باجة,باجة الشمالية,بوحزام,52,40,28,باجة,baja
باجة,باجة الشمالية,النقاشية,142,33,28,باجة,baja
باجة,مجازالباب,الخنقات,340,18,28,باجة,baja
باجة,مجازالباب,الجديدي,100,2,28,باجة,baja
باجة,عمدون,صباح المجالس,78,58,28,باجة,baja
باجة,عمدون,القرشية,36,71,28,باجة,baja
باجة,عمدون,بورويس,102,39,28,باجة,baja
باجة,تبرسق,فدان السوق,28,14,28,باجة,baja
باجة,تبرسق,خلاد,70,12,28,باجة,baja
بن عروس,مرناق,عين الرقاد,67,33,19,بن عروس,ben arous
بن عروس,مرناق,القنة,60,31,19,بن عروس,ben arous
بن عروس,مرناق,قصرون,115,10,19,بن عروس,ben arous
بن عروس,مرناق,المنطقة السفلى,207,23,19,بن عروس,ben arous
بن عروس,مرناق,هـ - بن محمود,465,100,19,بن عروس,ben arous
بن عروس,مرناق,القصيبي,315,104,19,بن عروس,ben arous
بن عروس,فوشانة,"""الأمل ""دوار الحوش",35,4,19,بن عروس,ben arous
بن عروس,مرناق,الرفاهة الخليدية,1320,50,19,بن عروس,ben arous
بن عروس,مرناق,""" الخير"" -  أوزرة",72,36,19,بن عروس,ben arous
بن عروس,مرناق,"""الأمل"" -  الرسالة",128,65,19,بن عروس,ben arous
بن عروس,مرناق,"""الإمتياز""-   العلالقة ",831,176,19,بن عروس,ben arous
بن عروس,مرناق,"""الوفاء""-  الخليدية",607,54,19,بن عروس,ben arous
بن عروس,مرناق,"""الوفاق"" -  أوزرة",1325,276,19,بن عروس,ben arous
بن عروس,مرناق,"""الإنطلاقة"" - الزاوية ",1237,287,19,بن عروس,ben arous
بنزرت,العالية,العالية,946,1550,15,بنزرت,bizerte
بنزرت,رأس الجبل,رأس الجبل,3077,2190,15,بنزرت,bizerte
بنزرت,غار الملح,عوسجة,272,620,15,بنزرت,bizerte
بنزرت,NA,NA,250,505,15,بنزرت,bizerte
بنزرت,NA,زواوين الرهان,133,677,15,بنزرت,bizerte
بنزرت,NA,طويبية,100,324,15,بنزرت,bizerte
بنزرت,أوتيك,لزين باش حامبة,220,1463,15,بنزرت,bizerte
بنزرت,NA,NA,NA,NA,15,بنزرت,bizerte
بنزرت,NA,NA,NA,NA,15,بنزرت,bizerte
بنزرت,NA,طبياس,212,1450,15,بنزرت,bizerte
بنزرت,NA,أوتيك الأمل,271,1394,15,بنزرت,bizerte
بنزرت,NA,NA,NA,NA,15,بنزرت,bizerte
