alwlayt,almjmʿ,almʿtmdyt,almrkz_m_aw_alkhzan_kh,region_id,matched_region_ar,matched_region_fr
أريانة,الشركة التعاونية المركزية  للقمح SMCEBLE,قلعة الأندلس,م. قنطرة بنزرت,21,أريانة,ariana
أريانة,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,سيدي ثابت,م. سيدي ثابت,21,أريانة,ariana
منوبة,مصرف الخدمات الفلاحية المتعددة  CMA,طبربة,خ. الشويقي,774,منوبة,mnouba
منوبة,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,طبربة,م. طبربة المحطة,774,منوبة,mnouba
منوبة,NA,المرناقية,م. الفجة,774,منوبة,mnouba
منوبة,الشركة التعاونية المركزية  للقمح SMCEBLE,طبربة,م. طبربة,774,منوبة,mnouba
منوبة,المخازن الكبرى باجة GSB,برج العامري,خ. برج العامري,774,منوبة,mnouba
نابل,مصرف الخدمات الفلاحية المتعددة  CMA,منزل تميم,خ. م. تميم - قليبية,11,نابل,nabeul
نابل,NA,منزل تميم,م. الوديان,11,نابل,nabeul
نابل,NA,سليمان,م. سليمان oc,11,نابل,nabeul
نابل,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,قرمبالية,م. قرمبالية,11,نابل,nabeul
نابل,مجمع الخدمات الفلاحية المتعددة GMA,منزل بوزلفة,خ. الرحمة,11,نابل,nabeul
بنزرت,مصرف الخدمات الفلاحية المتعددة  CMA,منزل بورقيبة,م. منزل بورقيبة,15,بنزرت,bizerte
بنزرت,NA,منزل بورقيبة,خ. م بورقيبة كم 5,15,بنزرت,bizerte
بنزرت,NA,بازينة,الرواحة/ بازينة,15,بنزرت,bizerte
بنزرت,NA,غزالة,خ. غانم تيتوح,15,بنزرت,bizerte
بنزرت,NA,ماطر,خ. الحمرونية,15,بنزرت,bizerte
بنزرت,NA,غزالة,م. جالطة (غزالة),15,بنزرت,bizerte
بنزرت,NA,ماطر,خ. برج طالب (رورو),15,بنزرت,bizerte
بنزرت,NA,ماطر,ماطر,15,بنزرت,bizerte
بنزرت,الشركة التونسية للأنشطة الفلاحية CTA,بنزرت الجنوبية,م. النخيلات بوحديد,15,بنزرت,bizerte
بنزرت,NA,منزل بورقيبة,خ. بئر صولة,15,بنزرت,bizerte
بنزرت,NA,جومين,خ. عين القصعة,15,بنزرت,bizerte
بنزرت,NA,جومين,م. قدود,15,بنزرت,bizerte
بنزرت,NA,جومين,م. زهير,15,بنزرت,bizerte
بنزرت,مجمع الخدمات الفلاحية المتعددة GMA,ماطر,م. نفات,15,بنزرت,bizerte
بنزرت,NA,ماطر,م. ماطر,15,بنزرت,bizerte
بنزرت,المخازن الكبرى باجة GSB,جومين,م. زهير,15,بنزرت,bizerte
بنزرت,NA,منزل بورقيبة,خ. بئر صولة,15,بنزرت,bizerte
بنزرت,أروماق EUROMAG,بنزرت الجنوبية,خ. النخيلات,15,بنزرت,bizerte
بنزرت,NA,ماطر,خ. فريطيسة,15,بنزرت,bizerte
بنزرت,NA,ماطر,م. نفات,15,بنزرت,bizerte
بنزرت,شركة إيهاب لتجميع الحبوب,منزل بورقيبة,م. بئر صولة,15,بنزرت,bizerte
بنزرت,شركة الحصاد الفلاحي بالشمال الغربي,جومين,خ. جومين,15,بنزرت,bizerte
بنزرت,الشركة التعاونية المركزية  للقمح SMCEBLE,ماطر,خ. ماطر,15,بنزرت,bizerte
بنزرت,NA,جومين,م. سيدي نصير,15,بنزرت,bizerte
بنزرت,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,ماطر,خ. ماطر,15,بنزرت,bizerte
بنزرت,NA,أوتيك,م. سيدي عثمان,15,بنزرت,bizerte
بنزرت,NA,العالية,خ. الحويض,15,بنزرت,bizerte
بنزرت,NA,جومين,خ. سيدي نصير,15,بنزرت,bizerte
بنزرت,NA,منزل بورقيبة,م. تينجة,15,بنزرت,bizerte
بنزرت,شركة تجميع وخدمات بنزرت  CSB,جومين,م. رواحة,15,بنزرت,bizerte
زغوان,الشركة التعاونية المركزية  للقمح SMCEBLE,جبل الوسط,خ. جبل الوسط,318,زغوان,zghouan
زغوان,NA,الفحص,خ. الفحص,318,زغوان,zghouan
زغوان,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,زغوان,خ. زغوان الفرحة,318,زغوان,zghouan
زغوان,NA,بئر مشارقة,م. المناقع,318,زغوان,zghouan
زغوان,NA,الفحص,م. الفحص,318,زغوان,zghouan
زغوان,شركة السعيدي لتجميع الحبوب SSCC,زغوان,م. زغوان oc,318,زغوان,zghouan
زغوان,المثالية للخدمات الفلاحية المتعددة (بديع أحمد),الفحص,م. الفحص جقار,318,زغوان,zghouan
باجة,مصرف الخدمات الفلاحية المتعددة  CMA,باجة الشمالية,م. باجة الش كم 16,28,باجة,baja
باجة,NA,تبرسق,خ. تبرسق 2 (oc),28,باجة,baja
باجة,NA,باجة الشمالية,خ. قصر مزوار,28,باجة,baja
باجة,NA,باجة الجنوبية,خ. المخشبية (البجاوي),28,باجة,baja
باجة,NA,عمدون,خ. السخونة (الطرهوني),28,باجة,baja
باجة,NA,باجة الجنوبية,م. سيدي اسماعيل,28,باجة,baja
باجة,NA,باجة الجنوبية,خ. حمام سيالة,28,باجة,baja
باجة,NA,مجاز الباب,خ. مجاز الباب,28,باجة,baja
باجة,الشركة التونسية للأنشطة الفلاحية CTA,مجاز الباب,خ. قصر الشيخ,28,باجة,baja
باجة,المخازن الكبرى باجة GSB,باجة الشمالية,خ. باجة المدينة,28,باجة,baja
باجة,NA,باجة  الشمالية,م. عمدون,28,باجة,baja
باجة,NA,باجة الشمالية,م. قصر مزوار,28,باجة,baja
باجة,NA,باجة الجنوبية,خ. الزلاوي,28,باجة,baja
باجة,مجمع الحبوب للشمال COCENORD,تبرسق,م. خلاد تبرسق,28,باجة,baja
باجة,أروماق EUROMAG,تبرسق,خ. عين مليتي,28,باجة,baja
باجة,NA,تبرسق,خ. دقة,28,باجة,baja
باجة,NA,باجة الجنوبية,م. لفارق,28,باجة,baja
باجة,NA,باجة الشمالية,خ. باجة 1,28,باجة,baja
باجة,NA,باجة الشمالية,م. الزريبة,28,باجة,baja
باجة,الشركة التعاونية المركزية  للقمح SMCEBLE,باجة الشمالية,خ. الحوفية,28,باجة,baja
باجة,NA,مجاز الباب,خ. مجاز الباب,28,باجة,baja
باجة,NA,قبلاط,خ. قبلاط,28,باجة,baja
باجة,NA,مجاز الباب,خ. قصر الشيخ,28,باجة,baja
باجة,NA,باجة الشمالية,خ. كلم 8,28,باجة,baja
باجة,الشركة التعاونية المركزية للخدمات الفلاحية الزراعات الكبرى SMCGC,باجة الشمالية,خ. باجة المحطة,28,باجة,baja
باجة,NA,مجاز الباب,خ. وادي الزرقة,28,باجة,baja
باجة,NA,مجاز الباب,خ. مجاز الباب,28,باجة,baja
باجة,NA,قبلاط,م. قبلاط,28,باجة,baja
