nom_smbsa_ar,adresse_ar,tel_fax,services_ar,tarykhha,akhr_jlst_ʿamt,wdʿyt_alshrkt,region_id,matched_region_ar,matched_region_fr
التونسية لإنتاج الزيتونة بسوسة,شارع الهادي نويرة طريق المنستير 4023 سوسة,73220387,خدمات في قطاع الزيت(معالجة الفيتورة،صنع الصابون و تكرير الزيت),18922,"انتخابية 
(07/05/2023",غير ناشطة,NA,NA,NA
الأنصاري بسيدي بوعلي,شارع الحبيب بورقيبة 4040 سيدي بوعلي,الهاتف : 73247494 الفاكس : 73247494,التزويد بالمستلزمات الفلاحية : بذور،مشاتل، أسمدة،مواد مداواة،أغشية بلاستيكية،أدوات فلاحية، مستلزمات الري والأعلاف  الحراثة  الخزن و التبريد للخضر و الغلال.  الإرشاد,34869,43825,عادية,NA,NA,NA
التجديد بأكودة,نهج الشهداء 4022 أكودة,الهاتف : 73356113 الفاكس : 73256120,التزويد بالمستلزمات الفلاحية (بذور،مشاتل، أسمدة،مواد مداواة،أغشية بلاستيكية،أدوات فلاحية، مستلزمات الري،بيوت النحل و الأعلاف) تجميع و ترويج الحليب  صناعة العلف  الإرشاد,34376,44749,ناجحة,NA,NA,NA
النجاح بالشياب القلعة الكبرى,الشياب 4060 القلعة الكبرى,الهاتف : 73385684 الفاكس : 73385624,التزويد بالمستلزمات الفلاحية (بذور،مشاتل، أسمدة،مواد مداواة،أغشية بلاستيكية،أدوات فلاحية، مستلزمات الري و الأعلاف)  تجميع و ترويج الحليب  الإرشاد / نقطة بيع المحروقات,34624,44835,ناجحة,NA,NA,NA
النجمة للدواجن بسوسة,ص ب عدد 321 / 4054 سهلول حمام سوسة,الهاتف : 73368005            73368218   الفاكس : 73368007,خدمات في قطاع الدواجن  التزويد بالفراخ، الأعلاف و معدات تربية الدواجن.  ترويج الدجاج الحي. الإرشاد الفلاحي.,35768,45181,ناجحة,NA,NA,NA
الوفاء بالنفيضة,شارع البيئة 4030 النفيضة,الهاتف : 97644341,التزويد بالمستلزمات الفلاحية (بذور،مشاتل، أسمدة،مواد مداواة،أغشية بلاستيكية،أدوات فلاحية، مستلزمات الري و الأعلاف)  الإرشاد نقطة بيع المحروقات,40189,44868,عادية,NA,NA,NA
التعاون للصيد البحري,عدد 1 نهج الجزائر 4029 سوسة,الهاتف : 97849239/ 73225410,تزويد البحارة بمستلزمات الصيد البحري شيباك و غيره.  البيع بالوساطة بسوق الجملة للسمك بسوسة.,35153,42156,غير ناشطة,NA,NA,NA
المستقبل بزاوية سوسة,شارع الجمهورية 4081 زاوية سوسة,93957353,التزويد بالسداري و الشعير العلفي.,34326,44902,عادية,NA,NA,NA
الأفق ببلعوم القلعة الكبرى,نهج فرحات حشاد، 4060 القلعة الكبرى,98453881,التزويد بالأعلاف.  تجميع و ترويج الحليب.,36774,44929,تلاقي صعوبات,NA,NA,NA
الإخلاص بالقلعة الكبرى,شارع فرحات حشاد سوق الجملة للخضر 4060 القلعة الكبرى,الهاتف : 73317705,التزويد بالسداري و الشعير العلفي /نقطة تجميع الحبوب,41184,44808,عادية,NA,NA,NA
الأمل بمساكن,شارع سيدي عبار طريق كروسية 4070 مساكن,الهاتف : 73258578 الفاكس : 73258578,التزويد بالسداري و الشعير العلفي.,41294,43783,عادية,NA,NA,NA
التوفيق بمساكن,نهج المحطة 4070 مساكن,الهاتف : 97554388,التزويد بالسداري والشعير العلفي,41299,44824,عادية,NA,NA,NA
البركة بالقلعة الصغرى,نهج الأرتال 4021 القلعة الصغرى,الهاتف : 21732842,التزويد بالسداري و الشعير العلفي.,41238,44895,عادية,NA,NA,NA
الآفاق بسيدي الهاني,سيدي الهاني المركزية 4025,الهاتف : 98297741 الفاكس : 73280175,التزويد بالسداري و الشعير العلفي.,41341,"لم تعقد أي 
جلسة عامة",تلاقي صعوبات,NA,NA,NA
الأمل بكندار,شارع الجمهورية 4020 كندار,الهاتف : 97956514,التزويد بالسداري و الشعير العلفي.,41367,45020,عادية,NA,NA,NA
الزيتونة بقريميط النفيضة,أولاد تليل قريميط 4030 النفيضة,الهاتف : 97886342,التزويد بالسداري و الشعير العلفي / بيع المحروقات.,41401,43719,عادية,NA,NA,NA
النعيم ببوفيشة,عدد 28 شارع ابن خلدون 4010 بوفيشة,الهاتف : 98350020,التزويد بالسداري و الشعير العلفي.,41369,44495,عادية,NA,NA,NA
التطور بالنفيضة,نهج الجامع 4030 النفيضة,الهاتف : 24032958,غير ناشطة,41292,NA,غير ناشطة,NA,NA,NA
الإزدهار بكندار,نهج 20 مارس 4020 كندار,الهاتف : 98536023,غير ناشطة,41286,NA,غير ناشطة,NA,NA,NA
الاتحاد,كروسية المركزية 4025 سيدي الهاني,98297947 : الهاتف,التزويد بالسداري و الشعير العلفي و الأعلاف.,41696,43397,عادية,NA,NA,NA
العمل الفلاحي,شارع الهادي شاكر 4010 بوفيشة,27714543 : الهاتف,التزويد بالسداري و الشعير العلفي و الأعلاف.,41874,43082,توقفت عن النشاط,NA,NA,NA
البركة بالغواليف,الغواليف هيشر 4030 النفيضة,99092013 : الهاتف,التزويد بالسداري و الشعير العلفي و الأعلاف.,42621,NA,توقفت عن النشاط,NA,NA,NA
السعادة بسيدي سعيدان,سيدي سعيدان 4030 النفيضة,94967701 : الهاتف,التزويد بالأعلاف,06/12/82017,NA,غير ناشطة,NA,NA,NA
الوفاق للدواجن بمساكن,عمارة بوهلال الطابق 5 شارعى الجمهورية 4070 مساكن,73262750 : الهاتف,خدمات في قطاع الدواجن:  التزويد بالفراخ، الأعلاف و معدات تربية الدواجن و الإرشاد الفلاحي.,43167,45043,عادية,NA,NA,NA
المرجان بهرقلة,العريبات 4012 هرقلة,95035205 : الهاتف,التزويد بالسداري و الشعير العلفي.,43425,NA,عادية,NA,NA,NA
الجوهرة,عكارة 4020 كندار,الهاتف 50357813,التزويد بالسداري و الشعير العلفي و الأعلاف.,43655,45160,عادية,NA,NA,NA
النور,عدد 01 نهج الجزائر 4000 سوسة,الهاتف 211600697,ترويج منتجات المرأة الريفية,43371,NA,غير ناشطة,NA,NA,NA
الخوالدية,الشقارنية 4030  النفيضة,الهاتف99272600,التزويد بالسداري و الشعير العلفي ونقطة تجميع الحبوب,44084,44651,عادية,NA,NA,NA
الأمل بالغواليف,النفيضة,21069609,غير ناشطة,44292,NA,غير ناشطة,NA,NA,NA
بهاء الدين,كندار,97457942,التزويد بالسداري والشعير العلفي والأعلاف,44342,NA,حديثة,NA,NA,NA
