x1,alwlayt,almʿtmdyt,asm_aldyʿt,asm_alshrkt,almsaht_aljmlyt_hk,region_id,matched_region_ar,matched_region_fr
1,تونس,سيدي حسين,برج شاكير,"برج شاكير D,B,C",468.551,1,تونس,tunis
2,تونس,سيدي حسين,العطار,العطار,299.5391,1,تونس,tunis
3,أريانة,سيدي ثابت,اقريتاك,شركة فنارك 2 اقريتاك,84.25,21,أريانة,ariana
4,أريانة,سيدي ثابت,الجلولي للتنمية الفلاحية,الجلولي للتنمية الفلاحية,34.67,21,أريانة,ariana
5,بن عروس,مرناق,سيدى سعد,صاديرا,308.0429,19,بن عروس,ben arous
6,بن عروس,مرناق,الرسالة,الرسالة,882.7375,19,بن عروس,ben arous
7,بن عروس,مرناق,أوزرة,آجنة أوزرة,120.85,19,بن عروس,ben arous
8,بن عروس,مرناق,سيدي سعد + خليدية,الحميدية,113.5997,19,بن عروس,ben arous
9,بن عروس,مرناق,اوزرة 3,اقريفلاور,226.83,19,بن عروس,ben arous
10,بن عروس,مرناق,أوز رة 1,أوز رة 1,143,19,بن عروس,ben arous
11,سوسة,النفيضة,المعوج,AGRIPROD,168,12,سوسة,sousse
12,منوبة,البطان,برج التومي 3,بساتين برج التومي,622.3558,774,منوبة,mnouba
13,منوبة,البطان,برج التومي 2,حدائق مجردة,297.076,774,منوبة,mnouba
14,منوبة,طبربة,الشويقي,الشويقي,645.4753,774,منوبة,mnouba
15,منوبة,طبربة,السعـــادة (طبربة 1),السعـــادة,251.9037,774,منوبة,mnouba
16,منوبة,طبربة,سنابل اتقان -- طبرية 2,سنابل اتقان -- طبرية 2,172,774,منوبة,mnouba
17,منوبة,طبربة,الملاحة,الجبالي,348.3253,774,منوبة,mnouba
18,منوبة,وادي الليل,زينة,زينة,163.2249,774,منوبة,mnouba
19,منوبة,وادي الليل,ضيعة بجاوة 2,ضيعة بجاوة,220.2046,774,منوبة,mnouba
20,منوبة,المرناقية,الحفصية,الحفصية,514.8028,774,منوبة,mnouba
