alwlayt,ʿ_r,asm_almjmʿ,ʿdd_alʿaylat_almntfʿt,almsaht_alqablt_llry,ʿdd_almstghlyn_alflahyn,ʿdd_almnzwmat_almtwqft,region_id,matched_region_ar,matched_region_fr
زغوان,1,جرادو,31,60,136,0,318,زغوان,zghouan
زغوان,1,سيدي زيد,28,130,41,0,318,زغوان,zghouan
زغوان,1,سيدي منصور,75,53,21,0,318,زغوان,zghouan
زغوان,1,صواف 7,57,48,23,0,318,زغوان,zghouan
زغوان,1,الحميرة 2,119,40,13,0,318,زغوان,zghouan
زغوان,1,واد القصب,200,60,46,0,318,زغوان,zghouan
زغوان,1,بوعرعارة,101,35,43,0,318,زغوان,zghouan
زغوان,1,الرقبة,252,30,23,0,318,زغوان,zghouan
زغوان,1,صوار,41,160,54,0,318,زغوان,zghouan
زغوان,1,السعادين,32,40,20,0,318,زغوان,zghouan
زغوان,1,الزبيدين,212,47,37,0,318,زغوان,zghouan
القصرين,1,السارق لحمر,230,20,8,0,18,القصرين,kasserine
القصرين,1,وجه الكميم,400,92,32,0,18,القصرين,kasserine
القصرين,1,القنة,215,47,27,0,18,القصرين,kasserine
القصرين,1,الجروالة1,80,50,52,0,18,القصرين,kasserine
القصرين,1,الربايعية,188,92,32,0,18,القصرين,kasserine
القصرين,1,فج حديد,700,58,23,0,18,القصرين,kasserine
القصرين,1,غيلان,80,59,39,0,18,القصرين,kasserine
القصرين,1,البيبيات الهشيم 5,920,70,70,0,18,القصرين,kasserine
القصرين,1,عين هدية 1,105,110,89,0,18,القصرين,kasserine
القصرين,1,بئر شعبان 2,600,60,52,0,18,القصرين,kasserine
القصرين,1,سيدي امحمد,80,24,50,0,18,القصرين,kasserine
القصرين,1,اولاد الغاوي,220,60,220,0,18,القصرين,kasserine
القصرين,1,ماجة,47,20,47,1,18,القصرين,kasserine
القصرين,1,عين  السلسلة-,83,75,83,0,18,القصرين,kasserine
القصرين,1,الهنشير التونسي,NA,30,16,1,18,القصرين,kasserine
القصرين,1,بو غانم الفرضة,80,48,9,0,18,القصرين,kasserine
القصرين,1,المزيرعة2,NA,34,42,0,18,القصرين,kasserine
القصرين,1,العذيرة 1,383,38,36,0,18,القصرين,kasserine
القصرين,1,الناظور1,60,15,10,0,18,القصرين,kasserine
القصرين,1,الافراش,142,26,84,0,18,القصرين,kasserine
القصرين,1,الناصرية,70,12,40,0,18,القصرين,kasserine
القصرين,1,بوكف,74,30,30,0,18,القصرين,kasserine
القصرين,1,عقلة  احمد,132,60,30,0,18,القصرين,kasserine
القصرين,1,الفكة اولاد منصور,80,54,30,0,18,القصرين,kasserine
القصرين,1,مقدودش,25,60,40,0,18,القصرين,kasserine
القصرين,1,وسنينت2,48,57,20,0,18,القصرين,kasserine
القصرين,1,الوشواشة,100,20,20,0,18,القصرين,kasserine
القصرين,1,القواسم,170,60,52,0,18,القصرين,kasserine
القصرين,1,فكيرينة,135,60,24,0,18,القصرين,kasserine
القصرين,1,هنشير غرس الله االقرعة,21,45,30,0,18,القصرين,kasserine
القصرين,1,الزغابية,111,56,28,0,18,القصرين,kasserine
القصرين,1,فج النعام1,18,60,17,0,18,القصرين,kasserine
القصرين,1,سيدي حمودة,46,70,30,0,18,القصرين,kasserine
القصرين,1,بوصفة1,88,65,36,0,18,القصرين,kasserine
القصرين,1,بوعنز,50,15,40,0,18,القصرين,kasserine
القصرين,1,الرميلة,80,30,50,0,18,القصرين,kasserine
الكاف,1,الحوض 5,24,70,0,0,36,الكاف,alkaf
الكاف,1,سيدي عبد الباسط 3,18,40,0,0,36,الكاف,alkaf
مدنين,1,منزلة مقر,70,20,14,0,26,مدنين,mdnin
سليانة,1,عين سليمان,60,45,35,-,770,سليانة,sliana
سليانة,1,مزرق الشمس,30,58,17,1,770,سليانة,sliana
سليانة,1,فوار الجبسة,140,70,72,-,770,سليانة,sliana
سليانة,1,الطموح,47,80,47,-,770,سليانة,sliana
سليانة,1,صدقة,125,200,150,-,770,سليانة,sliana
سليانة,1,الدخيلة,50,45,26,-,770,سليانة,sliana
سليانة,1,الصفية أولاد بن عمر,99,44,15,-,770,سليانة,sliana
سليانة,1,الرحاحلة,140,25,16,-,770,سليانة,sliana
سليانة,1,الأمل مليتة,75,81,26,1,770,سليانة,sliana
سليانة,1,برج المسعودي الغربي,170,50,16,-,770,سليانة,sliana
سليانة,1,القرية الجنوبية,195,102,69,-,770,سليانة,sliana
سليانة,1,المنصورة الجنوبية,12,25,12,-,770,سليانة,sliana
سليانة,1,السوالم,285,60,32,-,770,سليانة,sliana
