annee,non,delegation,capacitee_t_jour,capacite_stocage_t,systeme_conversion,region_id,matched_region_ar,matched_region_fr
2024,karim_saidan_chbeda,fouchana,250,500,continu,9,فوشانة,fouchana
2024,mohamed_limem,fouchana,50,100,continu,9,فوشانة,fouchana
2024,ezaitouna_dahabia,fouchana,200,620,continu,9,فوشانة,fouchana
2024,sociter_salem,nassen,60,115,continu,NA,NA,NA
2024,zait_elmalaki,nassen,80,2600,continu,NA,NA,NA
2024,kais_jbali_resala,morneg,80,65,continu,NA,NA,NA
2024,el-jazira,morneg,100,3200,continu,NA,NA,NA
2024,elnaher-dahabi,morneg,120,800,continu,NA,NA,NA
2024,raouf_ben_chaiben,boumhel,30,50,continu,NA,NA,NA
2025,karim_saidan_chbeda,fouchana,250,500,continu,9,فوشانة,fouchana
2025,mohamed_limem,fouchana,60,110,continu,9,فوشانة,fouchana
2025,ezaitouna_dahabia,fouchana,250,620,continu,9,فوشانة,fouchana
2025,sociter_salem,nassen,60,155,continu,NA,NA,NA
2025,zait_elmalaki,nassen,80,2600,continu,NA,NA,NA
2025,kais_jbali_resala,morneg,80,65,continu,NA,NA,NA
2025,el-jazira,morneg,120,800,continu,NA,NA,NA
2025,elnaher-dahabi,morneg,250,3500,continu,NA,NA,NA
2025,raouf_ben_chaiben,boumhel,30,50,continu,NA,NA,NA
