annee,delegation,nombre,superficie_ha,type_location,investissement_approuve_mille_dinars,investissement_realise_mille_dinars,nbre_emplois,remarques,region_id,matched_region_ar,matched_region_fr
2023,الكاف الشرقية,5,585,كراء,1012,1331,0,مقاسم مستغلة بصفة جيدة,NA,NA,NA
2023,الكاف الغربية,1,194,كراء,95,14,0,مقاسم في حالة متواضعة (نتيجة تعاقب سنوات الجفاف),NA,NA,NA
2023,الدهمانـي,1,82.6,كراء,104.7,108,0,مقسم ذو نشاط محدود نتيجة ضعف منسوب الماء,NA,NA,NA
2023,تاجرويـن,5,542.3,كراء,162,13,0,مقاسم ذو إستغلال ضعيف نتيجة تعاقب سنوات الجفاف الإستغلال ضعيف,NA,NA,NA
2023,السـرس,1,100,كراء,66,61,0,مقسم ذو نشاط متواضع,NA,NA,NA
2023,القصور,0,0,-,NA,0,0,-,NA,NA,NA
2023,قلعة سنان,0,0,-,NA,0,0,-,NA,NA,NA
2023,القلعة الخصبـاء,0,0,-,NA,0,0,-,NA,NA,NA
2023,نبــر,0,0,-,NA,0,0,-,NA,NA,NA
2023,الطويرف,0,0,NA,NA,0,0,NA,NA,NA,NA
2023,الساقية,0,0,-,NA,0,0,-,NA,NA,NA
2023,كامل الولاية,13,1503.9,NA,1439.7,1527,0,NA,NA,NA,NA
2024,-الكاف الشرقية,5,585,كراء,1222,1325,NA,مقاسم مستغلة بصفة جيدة,NA,NA,NA
2024,-الكاف الغربية,1,194,كراء,78,14,NA,مقاسم في حالة متواضعة (نتيجة تعاقب سنوات الجفاف),NA,NA,NA
2024,-الدهمانـي,1,82.6,كراء,98,163,NA,مقسم ذو نشاط محدود نتيجة ضعف منسوب الماء,NA,NA,NA
2024,-تاجرويـن,5,542.3,كراء,258,18,NA,مقاسمذوإستغلال ضعيف نتيجة تعاقب سنوات الجفاف الإستغلال ضعيف,NA,NA,NA
2024,-السـرس,1,100,كراء,66,13,NA,مقسم ذو نشاط متواضع,NA,NA,NA
2024,- القصور,0,0,-,-,0,NA,-,NA,NA,NA
2024,-قلعة سنان,0,0,-,-,0,NA,-,NA,NA,NA
2024,-القلعة الخصبـاء,0,0,-,-,0,NA,-,NA,NA,NA
2024,-نبــر,0,0,-,-,0,NA,-,NA,NA,NA
2024,- الطويرف,0,0,NA,NA,0,NA,NA,NA,NA,NA
2024,الساقية,0,0,-,-,0,NA,-,NA,NA,NA
2024,كامل الولاية,13,1503.9,NA,1722,1533,NA,NA,NA,NA,NA
