annee,delegation,nombre_centres_de_collecte_lait,capacite_de_refrigeration_litre_jour,quantite_collectee_tonne,region_id,matched_region_ar,matched_region_fr
2022,بنزرت الجنوبية,3,20000,97123.83,NA,NA,NA
2022,منزل جميـــل,1,11000,43213,1134,منزل جميل,mnzl jmil
2022,تينجـــــــة,1,20000,6306.5599999999995,NA,NA,NA
2022,ماطــــــر,2,41200,116412.87,NA,NA,NA
2022,غزالـــــة,2,39000,120980.40000000001,NA,NA,NA
2022,جوميــــن,3,55600,236684.37000000002,NA,NA,NA
2022,سجنــــان,3,27200,171503.15,NA,NA,NA
2022,العاليـــــة,2,29700,104723.81999999999,496,العالية,alaalia
2022,راس الجبل,4,40400,109495.63,113,رأس الجبل,ras aljbl
2022,غار الملــح,1,18200,42464.95,114,غار الملح,ghar almlh
2022,أوتيــــــــك,6,86400,297538.73,NA,NA,NA
2022,الجملة,28,388700,1346447.31,625,الرملة,alrmla
2023,بنزرت الجنوبية,3,20000,97123.83,NA,NA,NA
2023,منزل جميـــل,1,11000,43213,1134,منزل جميل,mnzl jmil
2023,تينجـــــــة,1,20000,6306.5599999999995,NA,NA,NA
2023,ماطــــــر,2,41200,116412.87,NA,NA,NA
2023,غزالـــــة,2,39000,120980.40000000001,NA,NA,NA
2023,جوميــــن,3,55600,236684.37000000002,NA,NA,NA
2023,سجنــــان,3,27200,171503.15,NA,NA,NA
2023,العاليـــــة,2,29700,104723.81999999999,496,العالية,alaalia
2023,راس الجبل,4,40400,109495.63,113,رأس الجبل,ras aljbl
2023,غار الملــح,1,18200,42464.95,114,غار الملح,ghar almlh
2023,أوتيــــــــك,6,86400,297538.73,NA,NA,NA
2023,الجملة,28,388700,1346447.31,625,الرملة,alrmla
2024,بنزرت الجنوبية,3,20000,97123.83,NA,NA,NA
2024,منزل جميـــل,1,11000,43213,1134,منزل جميل,mnzl jmil
2024,تينجـــــــة,1,20000,6306.5599999999995,NA,NA,NA
2024,ماطــــــر,2,41200,116412.87,NA,NA,NA
2024,غزالـــــة,2,39000,120980.40000000001,NA,NA,NA
2024,جوميــــن,3,55600,236684.37000000002,NA,NA,NA
2024,سجنــــان,3,27200,171503.15,NA,NA,NA
2024,العاليـــــة,2,29700,104723.81999999999,496,العالية,alaalia
2024,راس الجبل,4,40400,109495.63,113,رأس الجبل,ras aljbl
2024,غار الملــح,1,18200,42464.95,114,غار الملح,ghar almlh
2024,أوتيــــــــك,6,86400,297538.73,NA,NA,NA
2024,الجملة,28,388700,1346447.31,625,الرملة,alrmla
