annee,delegation,nombre,capacite_de_collecte_litre_jour,quantite_collectee_1000_litres,region_id,matched_region_ar,matched_region_fr
2021,بوزيد الغربية,7,146800,23361881,NA,NA,NA
2021,بوزيد الشرقية,6,118500,24827411,NA,NA,NA
2021,المكناسي,0,0,0,743,المكناسي,almknasi
2021,الرقاب,4,90200,17995317,993,الرقاب,alrqab
2021,السعيدة,1,24500,5842078,1195,السعيدة,alsaida
2021,جلمة,0,0,0,273,جلمة,jlma
2021,السبالة,0,0,0,97,السبالة,alsbala
2021,أولاد حفوز,0,0,0,989,أولاد حفوز,aoulad hfouz
2021,بئر الحفي,2,56000,12244455,876,بئر الحفي,bir alhfi
2021,منزل بوزيان,0,0,0,1141,منزل بوزيان,mnzl bouzian
2021,بن عون,1,27900,5834102,903,بني عيشون,bni aichoun
2021,سوق الجديد,1,18200,2811665,NA,NA,NA
2021,المزونة,0,0,0,574,المزونة,almzouna
2021,الجملة,22,482100,92916909,625,الرملة,alrmla
2022,بوزيد الغربية,7,181000,37936838,NA,NA,NA
2022,بوزيد الشرقية,5,114700,14225445,NA,NA,NA
2022,المكناسي,0,0,0,743,المكناسي,almknasi
2022,الرقاب,4,73400,15359256,993,الرقاب,alrqab
2022,السعيدة,2,24400,2596046,1195,السعيدة,alsaida
2022,جلمة,0,0,0,273,جلمة,jlma
2022,السبالة,0,0,0,97,السبالة,alsbala
2022,أولاد حفوز,0,0,0,989,أولاد حفوز,aoulad hfouz
2022,بئر الحفي,2,42500,6975201,876,بئر الحفي,bir alhfi
2022,منزل بوزيان,0,0,0,1141,منزل بوزيان,mnzl bouzian
2022,بن عون,1,18200,2217319,903,بني عيشون,bni aichoun
2022,سوق الجديد,1,27900,5757596,NA,NA,NA
2022,المزونة,0,0,0,574,المزونة,almzouna
2022,الجملة,22,482100,85067701,625,الرملة,alrmla
2023,(*) بوزيد الغربية,7,141700,24881563,NA,NA,NA
2023,بوزيد الشرقية,6,119900,19856776,NA,NA,NA
2023,المكناسي,0,0,0,743,المكناسي,almknasi
2023,الرقاب,3,85600,7792181,993,الرقاب,alrqab
2023,السعيدة,1,21000,3087978,1195,السعيدة,alsaida
2023,جلمة,0,0,0,273,جلمة,jlma
2023,السبالة,0,0,0,97,السبالة,alsbala
2023,أولاد حفوز,0,0,0,989,أولاد حفوز,aoulad hfouz
2023,بئر الحفي,2,56000,7605392,876,بئر الحفي,bir alhfi
2023,منزل بوزيان,0,0,0,1141,منزل بوزيان,mnzl bouzian
2023,بن عون,1,27900,2603251,903,بني عيشون,bni aichoun
2023,سوق الجديد,1,18200,1675548,NA,NA,NA
2023,المزونة,0,0,0,574,المزونة,almzouna
2023,الجملة,21,470300,67502689,625,الرملة,alrmla
2024,بوزيد الشرقية,6,119900,15946640,NA,NA,NA
2024,المكناسي,0,0,0,743,المكناسي,almknasi
2024,الرقاب,3,85600,6257768,993,الرقاب,alrqab
2024,السعيدة,1,21000,2479902,1195,السعيدة,alsaida
2024,جلمة,0,0,0,273,جلمة,jlma
2024,السبالة,0,0,0,97,السبالة,alsbala
2024,أولاد حفوز,0,0,0,989,أولاد حفوز,aoulad hfouz
2024,بئر الحفي,2,56000,6107765,876,بئر الحفي,bir alhfi
2024,منزل بوزيان,0,0,0,1141,منزل بوزيان,mnzl bouzian
2024,بن عون,1,27900,2090626,903,بني عيشون,bni aichoun
2024,سوق الجديد,1,18200,1345604,NA,NA,NA
2024,المزونة,0,0,0,574,المزونة,almzouna
2024,الجملة,21,470300,54210266,625,الرملة,alrmla
