alwlayt,almʿtmdyt,ʿdd_mrakz_tjmyʿ_alhlyb,x4,region_id,matched_region_ar,matched_region_fr
أريانة,قلعة الأندلس,4,6,21,أريانة,ariana
أريانة,سيدي ثابت,2,NA,21,أريانة,ariana
بن عروس,مرناق,1,2,19,بن عروس,ben arous
بن عروس,بومهل بساتين,1,NA,19,بن عروس,ben arous
منوبة,البطان,1,5,774,منوبة,mnouba
منوبة,طبربة,1,NA,774,منوبة,mnouba
منوبة,وادي الليل,1,NA,774,منوبة,mnouba
منوبة,برج العامري,2,NA,774,منوبة,mnouba
نابل,بني خيار,1,19,11,نابل,nabeul
نابل,قربة,1,NA,11,نابل,nabeul
نابل,منزل تميم,3,NA,11,نابل,nabeul
نابل,قليبية,1,NA,11,نابل,nabeul
نابل,الهوارية,3,NA,11,نابل,nabeul
نابل,سليمان,1,NA,11,نابل,nabeul
نابل,منوزل بوزلفة,2,NA,11,نابل,nabeul
نابل,قرمبالية,1,NA,11,نابل,nabeul
نابل,بوعرقوب,1,NA,11,نابل,nabeul
نابل,حمام الغزاز,1,NA,11,نابل,nabeul
نابل,بني خلاد,1,NA,11,نابل,nabeul
نابل,الميدة,2,NA,11,نابل,nabeul
نابل,دار شعبان,1,NA,11,نابل,nabeul
زغوان,الفحص,1,2,318,زغوان,zghouan
زغوان,الناظور,1,NA,318,زغوان,zghouan
بنزرت,بنزرت الجنزبية,3,27,15,بنزرت,bizerte
بنزرت,راس الجبل,3,NA,15,بنزرت,bizerte
بنزرت,الغزالة,2,NA,15,بنزرت,bizerte
بنزرت,سجنان,3,NA,15,بنزرت,bizerte
بنزرت,اوتيك,6,NA,15,بنزرت,bizerte
بنزرت,ماطر,2,NA,15,بنزرت,bizerte
بنزرت,جومين,3,NA,15,بنزرت,bizerte
بنزرت,العالية,3,NA,15,بنزرت,bizerte
بنزرت,غار الملح,2,NA,15,بنزرت,bizerte
باجة,باجة الشمالية,4,27,28,باجة,baja
باجة,باجة الجنوبية,12,NA,28,باجة,baja
باجة,نفزة,3,NA,28,باجة,baja
باجة,تستور,1,NA,28,باجة,baja
