delegation,delegation_ar,nombre_des_smsa,region_id,matched_region_ar,matched_region_fr
Mahdia,المهدية,6,35,المهدية,almhdia
REJICHE *,الرجيش *,NA,1085,المرجى,almrja
Bou Merdes,بومرداس,1,149,بو مرداس,bou mrdas
Ouled Chamekh,أولاد الشامخ,1,214,أولاد الشامخ,aoulad alchamkh
Chorbane,شربان,2,98,شُربان,chُrban
Hbira,هبيرة,1,850,هبيرة,hbira
Essouassi,السواسي,1,215,السواسي,alsouasi
El Jem,الجم,1,48,الجم,aljm
Chebba,الشابة,NA,106,الشابة,alchaba
Melloulech,ملولش,2,911,ملولش,mloulch
Sidi Alouane,سيدي علوان,NA,157,سيدي علوان,sidi alouan
Ksour Essaf,قصور الساف,1,158,قصور الساف,qsour alsaf
EL BERADAA *,البرادعة *,NA,934,البرادعة,albradaa
Total,المجموع,16,NA,NA,NA
