annee,delegation,nombre_de_groupements_de_developpement,region_id,matched_region_ar,matched_region_fr
2021,بوزيد الغربية,23,NA,NA,NA
2021,بوزيد الشرقية,31,NA,NA,NA
2021,المكناسي,12,743,المكناسي,almknasi
2021,الرقاب,15,993,الرقاب,alrqab
2021,السعيدة,3,1195,السعيدة,alsaida
2021,جلمة,18,273,جلمة,jlma
2021,السبالة,12,97,السبالة,alsbala
2021,أولاد حفوز,12,989,أولاد حفوز,aoulad hfouz
2021,بئر الحفي,21,876,بئر الحفي,bir alhfi
2021,منزل بوزيان,23,1141,منزل بوزيان,mnzl bouzian
2021,بن عون,22,903,بني عيشون,bni aichoun
2021,سوق الجديد,22,NA,NA,NA
2021,المزونة,9,574,المزونة,almzouna
2021,الجملة,223,625,الرملة,alrmla
2022,بوزيد الغربية,23,NA,NA,NA
2022,بوزيد الشرقية,31,NA,NA,NA
2022,المكناسي,12,743,المكناسي,almknasi
2022,الرقاب (*),15,993,الرقاب,alrqab
2022,السعيدة,3,1195,السعيدة,alsaida
2022,جلمة,18,273,جلمة,jlma
2022,السبالة,12,97,السبالة,alsbala
2022,أولاد حفوز,12,989,أولاد حفوز,aoulad hfouz
2022,بئر الحفي,21,876,بئر الحفي,bir alhfi
2022,منزل بوزيان,23,1141,منزل بوزيان,mnzl bouzian
2022,بن عون,22,903,بني عيشون,bni aichoun
2022,سوق الجديد,22,NA,NA,NA
2022,المزونة,9,574,المزونة,almzouna
2022,الجملة,223,625,الرملة,alrmla
2023,(*) بوزيد الغربية,23,NA,NA,NA
2023,بوزيد الشرقية,33,NA,NA,NA
2023,المكناسي,12,743,المكناسي,almknasi
2023,(**) الرقاب,15,993,الرقاب,alrqab
2023,السعيدة,3,1195,السعيدة,alsaida
2023,جلمة,18,273,جلمة,jlma
2023,السبالة,12,97,السبالة,alsbala
2023,أولاد حفوز,12,989,أولاد حفوز,aoulad hfouz
2023,بئر الحفي,22,876,بئر الحفي,bir alhfi
2023,منزل بوزيان,23,1141,منزل بوزيان,mnzl bouzian
2023,بن عون,22,903,بني عيشون,bni aichoun
2023,سوق الجديد,22,NA,NA,NA
2023,المزونة,9,574,المزونة,almzouna
2023,الجملة,226,625,الرملة,alrmla
2024,بوزيد الغربية,23,NA,NA,NA
2024,بوزيد الشرقية,33,NA,NA,NA
2024,المكناسي,12,743,المكناسي,almknasi
2024,الرقاب,15,993,الرقاب,alrqab
2024,السعيدة,3,1195,السعيدة,alsaida
2024,جلمة,18,273,جلمة,jlma
2024,السبالة,12,97,السبالة,alsbala
2024,أولاد حفوز,12,989,أولاد حفوز,aoulad hfouz
2024,بئر الحفي,22,876,بئر الحفي,bir alhfi
2024,منزل بوزيان,23,1141,منزل بوزيان,mnzl bouzian
2024,بن عون,22,903,بني عيشون,bni aichoun
2024,سوق الجديد,22,NA,NA,NA
2024,المزونة,9,574,المزونة,almzouna
2024,الجملة,226,625,الرملة,alrmla
