annee,delegation,nbre_de_huileries,capacite_de_transformation_tonne_24_heure,capacite_de_stokage_tonne,region_id,matched_region_ar,matched_region_fr
2020,بنزرت الشمالية,3,39,NA,NA,NA,NA
2020,ماطر,5,310,NA,52,ماطر,matr
2020,غزالة,3,162,NA,386,غزالة,ghzala
2020,منزل بورقيبة,4,284,NA,32,منزل بورقيبة,mnzl bourqiba
2020,منزل جميل,3,67,NA,1134,منزل جميل,mnzl jmil
2020,العالية,4,47,NA,496,العالية,alaalia
2020,رأس الجبل,2,22,NA,113,رأس الجبل,ras aljbl
2020,الولاية,24,931,0,584,الوسلاتية,alouslatia
2021,بنزرت الشمالية,3,39,10,NA,NA,NA
2021,م.جميـــل+م. عبد الرحمان,3,67,-,NA,NA,NA
2021,منزل بورقيبة,3,140,225,32,منزل بورقيبة,mnzl bourqiba
2021,ماطــــــر,4,280,510,NA,NA,NA
2021,غزالـــــة,3,242,220,NA,NA,NA
2021,العاليـــــة,4,37,15,496,العالية,alaalia
2021,راس الجبل,2,22,-,113,رأس الجبل,ras aljbl
2021,الولاية,22,827,980,584,الوسلاتية,alouslatia
2022,بنزرت الشمالية,2,45,30,NA,NA,NA
2022,م.جميـــل+م. عبد الرحمان,3,67,6,NA,NA,NA
2022,منزل بورقيبة,3,310,1225,32,منزل بورقيبة,mnzl bourqiba
2022,ماطــــــر,5,320,530,NA,NA,NA
2022,غزالـــــة,3,282,238,NA,NA,NA
2022,العاليـــــة,4,37,15,496,العالية,alaalia
2022,راس الجبل,2,28,2,113,رأس الجبل,ras aljbl
2022,الولاية,22,1089,2046,584,الوسلاتية,alouslatia
2023,بنزرت الشمالية,2,45,30,NA,NA,NA
2023,م.جميـــل+م. عبد الرحمان,3,67,6,NA,NA,NA
2023,منزل بورقيبة,3,310,1225,32,منزل بورقيبة,mnzl bourqiba
2023,ماطــــــر,5,320,530,NA,NA,NA
2023,غزالـــــة,3,282,238,NA,NA,NA
2023,العاليـــــة,4,37,15,496,العالية,alaalia
2023,راس الجبل,2,28,2,113,رأس الجبل,ras aljbl
2023,الولاية,22,1089,2046,584,الوسلاتية,alouslatia
2024,بنزرت الشمالية,2,45,35,NA,NA,NA
2024,م.جميـــل+م. عبد الرحمان,3,102,50,NA,NA,NA
2024,منزل بورقيبة,2,70,65,32,منزل بورقيبة,mnzl bourqiba
2024,ماطــــــر,7,334,583,NA,NA,NA
2024,غزالـــــة,4,377,278,NA,NA,NA
2024,العاليـــــة,4,37,15,496,العالية,alaalia
2024,راس الجبل,2,28,2,113,رأس الجبل,ras aljbl
2024,أوتيك,1,35,240,NA,NA,NA
2024,الولاية,25,1028,1268,584,الوسلاتية,alouslatia
