annee,delegation,nombre_huileries,capacite_transformation_t_24h,capacite_stokage,code_geographique,region_id,matched_region_ar,matched_region_fr
2018,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2018,سكرة,0,0,0,1252,1162,سكرة,skra
2018,رواد,1,30,140,1253,247,رواد,rouad
2018,قلعة الأندلس,2,70,120,1254,775,قلعة الأندلس,qlaa alandls
2018,سيدي ثابت,2,190,608,1255,171,سيدي ثابت,sidi thabt
2018,حي التضامن,0,0,0,1256,NA,NA,NA
2018,المنيهلة,1,60,120,1257,1163,المنيهلة,almnihla
2018,المجمـوع,6,350,988,NA,NA,NA,NA
2019,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2019,سكرة,0,0,0,1252,1162,سكرة,skra
2019,رواد,1,30,140,1253,247,رواد,rouad
2019,قلعة الأندلس,1,60,40,1254,775,قلعة الأندلس,qlaa alandls
2019,سيدي ثابت,2,190,608,1255,171,سيدي ثابت,sidi thabt
2019,حي التضامن,0,0,0,1256,NA,NA,NA
2019,المنيهلة,1,60,120,1257,1163,المنيهلة,almnihla
2019,المجمـوع,5,340,908,NA,NA,NA,NA
2020,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2020,سكرة,0,0,0,1252,1162,سكرة,skra
2020,رواد,1,30,140,1253,247,رواد,rouad
2020,قلعة الأندلس,1,60,40,1254,775,قلعة الأندلس,qlaa alandls
2020,سيدي ثابت,2,190,608,1255,171,سيدي ثابت,sidi thabt
2020,حي التضامن,0,0,0,1256,NA,NA,NA
2020,المنيهلة,1,60,120,1257,1163,المنيهلة,almnihla
2020,المجمـوع,5,340,908,NA,NA,NA,NA
2021,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2021,سكرة,0,0,0,1252,1162,سكرة,skra
2021,رواد,1,30,140,1253,247,رواد,rouad
2021,قلعة الأندلس,1,60,40,1254,775,قلعة الأندلس,qlaa alandls
2021,سيدي ثابت,2,190,608,1255,171,سيدي ثابت,sidi thabt
2021,حي التضامن,0,0,0,1256,NA,NA,NA
2021,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2021,المجمـوع,4,280,788,NA,NA,NA,NA
2022,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2022,سكرة,0,0,0,1252,1162,سكرة,skra
2022,رواد,1,30,140,1253,247,رواد,rouad
2022,قلعة الأندلس,1,60,40,1254,775,قلعة الأندلس,qlaa alandls
2022,سيدي ثابت,2,190,608,1255,171,سيدي ثابت,sidi thabt
2022,حي التضامن,0,0,0,1256,NA,NA,NA
2022,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2022,المجمـوع,4,280,788,NA,NA,NA,NA
2023,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2023,سكرة,0,0,0,1252,1162,سكرة,skra
2023,رواد,1,30,140,1253,247,رواد,rouad
2023,قلعة الأندلس,1,60,40,1254,775,قلعة الأندلس,qlaa alandls
2023,سيدي ثابت,2,190,608,1255,171,سيدي ثابت,sidi thabt
2023,حي التضامن,0,0,0,1256,NA,NA,NA
2023,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2023,المجمـوع,4,280,788,NA,NA,NA,NA
2024,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2024,سكرة,0,0,0,1252,1162,سكرة,skra
2024,رواد,1,30,140,1253,247,رواد,rouad
2024,قلعة الأندلس,1,60,40,1254,775,قلعة الأندلس,qlaa alandls
2024,سيدي ثابت,2,190,608,1255,171,سيدي ثابت,sidi thabt
2024,حي التضامن,0,0,0,1256,NA,NA,NA
2024,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2024,المجمـوع,4,280,788,NA,NA,NA,NA
