annee,delegation_fr,delegation_ar,nombre_dassociations_dinterets_collectifs_eau,region_id,matched_region_ar,matched_region_fr
2022,Tozeur,تــوزر,22,45,توزر,touzr
2022,Dgueche,دقــاش,16,76,دقاش,dqach
2022,Tamaghza,تمغـزة,8,189,تمغزة,tmghza
2022,Nefta,نفطــة,10,44,نفطة,nfta
2022,Hazoua,حـزوة,20,455,حزوة,hzoua
2022,Hammet El Djérid,حامة الجريد,9,1106,حامة الجريد,hama aljrid
2022,Total,المجموع,85,NA,NA,NA
2023,Tozeur,تــوزر,22,45,توزر,touzr
2023,Dgueche,دقــاش,16,76,دقاش,dqach
2023,Tamaghza,تمغـزة,8,189,تمغزة,tmghza
2023,Nefta,نفطــة,11,44,نفطة,nfta
2023,Hazoua,حـزوة,19,455,حزوة,hzoua
2023,Hammet El Djérid,حامة الجريد,9,1106,حامة الجريد,hama aljrid
2023,Total,المجموع,85,NA,NA,NA
2024,Tozeur,تــوزر,22,45,توزر,touzr
2024,Dgueche,دقــاش,16,76,دقاش,dqach
2024,Tamaghza,تمغـزة,9,189,تمغزة,tmghza
2024,Nefta,نفطــة,13,44,نفطة,nfta
2024,Hazoua,حـزوة,19,455,حزوة,hzoua
2024,Hammet El Djérid,حامة الجريد,9,1106,حامة الجريد,hama aljrid
2024,Total,المجموع,88,NA,NA,NA
