delegation,gda_eau_potable,gda_mixte,gda_irrigation,gda_irrig_complement,region_id,matched_region_ar,matched_region_fr
السند,12,0,5,0,606,السند,alsnd
زانوش,10,1,5,0,1184,زانوش,zanouch
سيدي عيش,12,3,5,2,793,سيدي عيش,sidi aich
قفصة الجنوبية,16,0,3,1,NA,NA,NA
قفصة الشمالية,7,2,4,5,NA,NA,NA
القصر,2,0,3,2,1147,القصر,alqsr
القطار,2,0,5,1,602,القطار,alqtar
بلخير,10,0,3,6,745,بلخير,blkhir
المتلوي,0,0,5,2,187,المتلوي,almtloui
أم العرائس,8,2,13,1,596,أم العرائس,am alarais
سيدي بوبكر,1,1,3,1,1323,سيدي بوبكر,sidi boubkr
الرديف,0,0,12,1,199,الرديف,alrdif
المظيلة,1,0,0,0,600,المظيلة,almzila
