delegation,secteur,nom_du_gdap,date_de_la_constitution_du_gdap,zone_d_intervention,superficie_dintervention_ha,date_du_dernier_conseil_d_entreprise,nombre_des_adherents,nature_d_intervention_du_gdap,region_id,matched_region_ar,matched_region_fr
نفزة,الظهيرات,الملكة,43489,كامل العمادة,1820,2019,24,مجمع نسائي,408,نفزة,nfza
نفزة,فطناسة,النهوض بالمراة الريفية,ديسمبر 2018,كامل العمادة,2785,2018,17,مجمع نسائي,408,نفزة,nfza
نفزة,وادي المعدن,عين المسوم,39309,كامل العمادة,2967,2019,82,حسن التصرف في الموارد الطبيعية,408,نفزة,nfza
نفزة,الطبابة,طبوبة,38624,كامل العمادة,3612,2017,84,حسن التصرف في الموارد الطبيعية,408,نفزة,nfza
باجة الجنوبية,المخشبية,المثابرة,38184,كامل العمادة,8901,2009,110,حسن التصرف في الموارد الطبيعية,NA,NA,NA
باجة الجنوبية,المخشبية,فاقاروم,43230,كامل العمادة,8901,2018,16,مجمع نسائي,NA,NA,NA
عمدون,غزية,النجاح,40677,كامل العمادة,1959,2011,62,حسن التصرف في الموارد الطبيعية,824,عمدون,amdoun
عمدون,زهرة مدين الجنوبية,النور,41990,كامل العمادة,1390,2016,65,حسن التصرف في الموارد الطبيعية,824,عمدون,amdoun
عمدون,الجوزة,الجوزة,42650,كامل العمادة,1479,2016,68,حسن التصرف في الموارد الطبيعية,824,عمدون,amdoun
تبرسق,عين مليتي,الكرامة,40724,كامل العمادة,4903,2016,50,حسن التصرف في الموارد الطبيعية,204,تبرسق,tbrsq
تبرسق,بير التوتة,الطموح,40697,كامل العمادة,3812,2015,20,حسن التصرف في الموارد الطبيعية,204,تبرسق,tbrsq
تبرسق,ريحانة,البركة,36986,كامل العمادة,5199,2001,56,حسن التصرف في الموارد الطبيعية,204,تبرسق,tbrsq
