delegation,secteur,nom_du_gdap,date_de_la_constitution_du_gdap,zone_d_intervention,superficie_d_intervention_ha,date_du_dernier_conseil_d_entreprise,nombre_des_adherents,nature_d_intervention_du_gdap,region_id,matched_region_ar,matched_region_fr
الكريب,حمام بياضة الجنوبية,فج الهدوم,2017-10-23T00:00:00Z,حمام بياضة الجنوبية,8442,43031,16,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,427,الكريب,alkrib
الكريب,الكريب الشمالية,وادي اللوز,2007-03-13T00:00:00Z,الكريب الشمالي,4671,42276,29,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,427,الكريب,alkrib
الكريب,برج مسعودي الشرقية,الانطلاقة,2008-06-03T00:00:00Z,برج مسعودي الشرقية,7044,42265,38,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,427,الكريب,alkrib
الكريب,برج مسعودي الغربية,برج مسعودي الغربية,2006-09-16T00:00:00Z,برج مسعودي الغربية,6412,43153,85,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,427,الكريب,alkrib
الكريب,الكريب الجنوبية,نور,2017-11-01T00:00:00Z,الكريب,6740,مارس 2018,50,تقطير الزيوت العطرية  و الطبية مصبرات القرعيات,427,الكريب,alkrib
الكريب,الكريب الجنوبية,بوكحيل,2012-08-08T00:00:00Z,الكريب الجنوبي,6740,42269,59,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,427,الكريب,alkrib
سيدي بورويس,العباسي,اولاد سليط,2007-06-09T00:00:00Z,العباسي,5703,43062,50,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,561,سيدي بورويس,sidi bourouis
سيدي بورويس,عين عاشور,دار مهنية للاصالة,2017-11-16T00:00:00Z,عين عاشور,6996,43106,330,تثمين مشتقات الزياتين      تقطير الزيوت العطرية و الطبية,561,سيدي بورويس,sidi bourouis
سيدي بورويس,التريشة,التريشة,2006-03-01T00:00:00Z,التريشة,3853,43315,90,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,561,سيدي بورويس,sidi bourouis
سيدي بورويس,عين عاشور,عين عاشور,2007-06-19T00:00:00Z,عين عاشور,6996,ماي 2009,280,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,561,سيدي بورويس,sidi bourouis
سليانة الشمالية,الجوى,المحيبس,2007-03-18T00:00:00Z,الجوري و منطقة ورفلة من عمادة جامة,6656,42755,100,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,NA,NA,NA
سليانة الشمالية,جامة,عين بن علي,2016-06-29T00:00:00Z,عين بن علي من عمادة جامة,11406,43200,14,حماية الموارد الطبيعية و ترشيد استعمالها تجهيز منطقة التدخل,NA,NA,NA
