annee,delegation,viandes_rouges_tonne,viandes_blanches_tonne,lait_tonne,miel_tonne,laine_tonne,o_eufs_million_unites,region_id,matched_region_ar,matched_region_fr
2018,بنزرت الشمالية,210,45,1600,1,4,0,NA,NA,NA
2018,بنزرت الجنوبية,820,520,12500,10,18,1,NA,NA,NA
2018,جرزونة,20,0,50,0,0,0,692,جرزونة,jrzouna
2018,منزل جميل,410,30,3900,3,2,0,1134,منزل جميل,mnzl jmil
2018,منزل بورقيبة,420,20,4200,1,10,0,32,منزل بورقيبة,mnzl bourqiba
2018,تينجة,310,10,1900,2,4,0,201,تينجة,tinja
2018,ماطر,630,600,10100,6,24,80,52,ماطر,matr
2018,غزالة,460,50,11200,5,28,0,386,غزالة,ghzala
2018,جومين,620,40,18150,20,38,0,413,جومين,joumin
2018,سجنان,640,50,16900,70,32,0,406,سجنان,sjnan
2018,العالية,950,320,6500,3,4,2,496,العالية,alaalia
2018,رأس الجبل,980,210,6000,10,6,0,113,رأس الجبل,ras aljbl
2018,غار الملح,650,250,3500,6,9,2,114,غار الملح,ghar almlh
2018,أوتيك,610,1600,17700,8,21,20,NA,NA,NA
2018,المجموع,7730,3745,114200,145,200,105,NA,NA,NA
2019,بنزرت الشمالية,229,36,1931,2,4,0,NA,NA,NA
2019,بنزرت الجنوبية,894,419,15083,16,18,1,NA,NA,NA
2019,جرزونة,21,0,60,0,0,0,692,جرزونة,jrzouna
2019,منزل جميل,447,24,4706,5,2,0,1134,منزل جميل,mnzl jmil
2019,منزل بورقيبة,458,16,5068,5,11,0,32,منزل بورقيبة,mnzl bourqiba
2019,تينجة,338,8,2293,2,4,0,201,تينجة,tinja
2019,ماطر,687,484,12187,13,25,84,52,ماطر,matr
2019,غزالة,501,40,13515,14,30,0,386,غزالة,ghzala
2019,جومين,676,32,21901,23,40,0,413,جومين,joumin
2019,سجنان,698,40,20392,21,34,0,406,سجنان,sjnan
2019,العالية,1036,258,7843,8,4,2,496,العالية,alaalia
2019,رأس الجبل,1068,169,7240,8,6,0,113,رأس الجبل,ras aljbl
2019,غار الملح,709,202,4223,4,10,2,114,غار الملح,ghar almlh
2019,أوتيك,665,1290,21358,22,22,21,NA,NA,NA
2019,المجموع,8432,3020,137800,145,211,110,NA,NA,NA
2020,بنزرت الشمالية,162,40,1771,1,4,0,NA,NA,NA
2020,بنزرت الجنوبية,731,447,13284,7,21,1,NA,NA,NA
2020,جرزونة,16,0,79,0,0,0,692,جرزونة,jrzouna
2020,منزل جميل,487,30,6121,2,4,0,1134,منزل جميل,mnzl jmil
2020,منزل بورقيبة,365,20,5412,0,13,0,32,منزل بورقيبة,mnzl bourqiba
2020,تينجة,284,10,2755,1,6,0,201,تينجة,tinja
2020,ماطر,649,417,13383,4,19,85,52,ماطر,matr
2020,غزالة,406,40,14269,4,28,0,386,غزالة,ghzala
2020,جومين,528,30,18205,14,36,0,413,جومين,joumin
2020,سجنان,536,40,16630,49,37,0,406,سجنان,sjnan
2020,العالية,1137,288,8660,2,5,2,496,العالية,alaalia
2020,رأس الجبل,1177,209,8758,7,8,0,113,رأس الجبل,ras aljbl
2020,غار الملح,649,238,7085,4,12,2,114,غار الملح,ghar almlh
2020,أوتيك,495,1192,19189,5,27,20,NA,NA,NA
2020,المجموع,7623.000000000001,3000,135600,100,220,110,NA,NA,NA
2021,بنزرت الشمالية,164,40,1634,1,4,0,NA,NA,NA
2021,بنزرت الجنوبية,740,447,12256,7,21,1,NA,NA,NA
2021,جرزونة,16,0,73,0,0,0,692,جرزونة,jrzouna
2021,منزل جميل,493,30,5647,2,4,0,1134,منزل جميل,mnzl jmil
2021,منزل بورقيبة,370,20,4993,0,13,0,32,منزل بورقيبة,mnzl bourqiba
2021,تينجة,288,10,2542,1,6,0,201,تينجة,tinja
2021,ماطر,258,417,12347,4,19,80,52,ماطر,matr
2021,غزالة,411,40,13164,4,28,0,386,غزالة,ghzala
2021,جومين,535,30,16795,14,36,0,413,جومين,joumin
2021,سجنان,543,40,15342,49,37,0,406,سجنان,sjnan
2021,العالية,1151,288,7989,2,5,1,496,العالية,alaalia
2021,رأس الجبل,1192,209,8080,7,8,0,113,رأس الجبل,ras aljbl
2021,غار الملح,658,238,6536,4,12,2,114,غار الملح,ghar almlh
2021,أوتيك,502,1192,17703,5,27,18,NA,NA,NA
2021,المجموع,7722,3000,125099.99999999997,80,220,100,NA,NA,NA
2022,بنزرت الشمالية,180,0,1700,1,4,0,NA,NA,NA
2022,بنزرت الجنوبية,850,250,12500,4,20,1,NA,NA,NA
2022,جرزونة,18,0,80,0,0,0,692,جرزونة,jrzouna
2022,منزل جميل,543,12,6120,1,4,0,1134,منزل جميل,mnzl jmil
2022,منزل بورقيبة,20,24,5400,0,13,0,32,منزل بورقيبة,mnzl bourqiba
2022,تينجة,330,10,2700,1,6,0,201,تينجة,tinja
2022,ماطر,730,12,13500,2,19,86,52,ماطر,matr
2022,غزالة,450,80,14200,1,27,0,386,غزالة,ghzala
2022,جومين,610,0,18200,9,35,0,413,جومين,joumin
2022,سجنان,640,300,16800,32,36,0,406,سجنان,sjnan
2022,العالية,1300,400,8700,1,5,2,496,العالية,alaalia
2022,رأس الجبل,1350,40,8700,4,8,0,113,رأس الجبل,ras aljbl
2022,غار الملح,750,250,7100,2,11,0,114,غار الملح,ghar almlh
2022,أوتيك,580,1750,19300,2,25,20,NA,NA,NA
2022,المجموع,8351,3128,135000,60,213,109,NA,NA,NA
2023,بنزرت الشمالية,60,38,1700,1,4,0,NA,NA,NA
2023,بنزرت الجنوبية,800,420,12500,4,20,1,NA,NA,NA
2023,جرزونة,10,0,80,0,0,0,692,جرزونة,jrzouna
2023,منزل جميل,320,24,6120,1,4,0,1134,منزل جميل,mnzl jmil
2023,منزل بورقيبة,270,16,5400,0,13,0,32,منزل بورقيبة,mnzl bourqiba
2023,تينجة,120,8,2700,1,6,0,201,تينجة,tinja
2023,ماطر,760,390,13500,2,19,86,52,ماطر,matr
2023,غزالة,620,35,14200,1,27,0,386,غزالة,ghzala
2023,جومين,880,25,18200,9,35,0,413,جومين,joumin
2023,سجنان,750,38,16800,32,36,0,406,سجنان,sjnan
