annee,delegation,viandes_rouges,viandes_blanches,lait,miel,laine,cuir,o_eufs_million_unite,region_id,matched_region_ar,matched_region_fr
2023,الكاف الشرقية,830,138.225,10578.4,1.64,59.67,119.4,0.1425,NA,NA,NA
2023,الكاف الغربية,299,-,2456,2.5,27.7,47.7,-,NA,NA,NA
2023,الدهماني,677,-,10288.6,2.7,57.9,104.4,-,565,الدهماني,aldhmani
2023,تاجروين,514,-,1862.7,7.99,57.2,90,-,515,تاجروين,tajrouin
2023,السرس,823,-,10288.6,0.580,60.5,119.2,3.420,562,السرس,alsrs
2023,القصور,557,-,3196.5,2.29,58.96,94,-,729,القصور,alqsour
2023,الجريصة,95,-,184,0.916,11.37,17.2,-,514,الجريصة,aljrisa
2023,قلعة سنان,401,-,666.9,3.19,47.7,72.6,-,129,قلعة سنان,qlaa snan
2023,القلعة الخصباء,103,-,115,2.74,14.7,18.9,-,182,القلعة الخصبة,alqlaa alkhsba
2023,نبـر,750,-,14395.8,7.359,31.25,90.8,-,794,نبر,nbr
2023,ساقية سيدي يوسف,300,-,2074.3,2.41,28,48.6,-,112,ساقية سيدي يوسف,saqia sidi iousf
2023,الطويرف,279,-,2778,2.125,24,42.9,-,184,الطويرف,altouirf
2023,كامل الولاية,5628,138.225,5533,36440,478.950,865.84,3.560,NA,NA,NA
2024,الكاف الشرقية,671,138.222,6052,1.64,59.66,119.45,0.142,NA,NA,NA
2024,الكاف الغربية,288,-,2160,2.5,27.7,47.68,-,NA,NA,NA
2024,الدهماني,675,-,6588,2.7,57.96,104.38,-,565,الدهماني,aldhmani
2024,تاجروين,525,-,2269,7.9,57.2,89.86,-,515,تاجروين,tajrouin
2024,السرس,848,-,10923,0.58,60.54,119.18,3.42,562,السرس,alsrs
2024,القصور,568,-,3569,2.29,58.95,94.10,-,729,القصور,alqsour
2024,الجريصة,93,-,157,0.51,11.36,17.2,-,514,الجريصة,aljrisa
2024,قلعة سنان,402,-,788,3.11,47.700,72.6,-,129,قلعة سنان,qlaa snan
2024,القلعة الخصباء,105,-,203,2.74,12.78,18.94,-,182,القلعة الخصبة,alqlaa alkhsba
2024,نبـر,830,-,16413,7.36,31.25,90.86,-,794,نبر,nbr
2024,ساقية سيدي يوسف,296,-,2011,2.41,28.00,48.63,-,112,ساقية سيدي يوسف,saqia sidi iousf
2024,الطويرف,327,-,4131,2.12,24.00,42.9,-,184,الطويرف,altouirf
2024,كامل الولاية,5628,138.222,55264,35.86,477.1,865.78,3.562,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,(*): بدون احتساب دجاج الضيعة Sans tenir compte de l'élevage fermier,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,(**): باحتساب انتاج شركات التنمية والاحياء الفلاحية .,NA,NA,NA
