taqt_alastyʿab,alʿnwan,asm_almrkz_aw_albaʿth,alsnf,alwlayt,region_id,matched_region_ar,matched_region_fr
400,عسيلة – بلطة بوعوان,شركة التنمية والإستغلال السياحي بالشمال SEDAN,1,جندوبة,37,جندوبة,jndouba
200,بئر الأخضر - بوسالم,شركة زامــا,1,جندوبة,37,جندوبة,jndouba
100,بهاية - ماطر,ضيعة فريطيسة – ديوان تربية الماشية,1,بنزرت,15,بنزرت,bizerte
100,سيدي أحمد – بنزرت الجنوبية,"شركة ضيعات الشمال ""عميلة""",1,بنزرت,15,بنزرت,bizerte
200,البسباسية,محمد الصادق بن شيبوب,1,بنزرت,15,بنزرت,bizerte
60,غزالة - العرب,عبد الحفيظ الهميسي,1,بنزرت,15,بنزرت,bizerte
150,ماطر - نفات,شركة الإحياء نفات ماطر,1,بنزرت,15,بنزرت,bizerte
200,ماطر – سيدي مبارك,شركة التنمية الفلاحية الشرقي,1,بنزرت,15,بنزرت,bizerte
30,ماطر – نفات,مركز وادي الشعير للأراخي المؤصلة   --  أمينة النجار البكوري,1,بنزرت,15,بنزرت,bizerte
60,برج العامري,مركز تربية الأراخي المؤصلة ببرج العامري ديوان الأراضي الدولية,1,منوبة,774,منوبة,mnouba
25,بوحزام – باجة الشمالية,الوحدة الإنتاجية المنتصر,1,باجة,28,باجة,baja
25,الطرهوني - عمدون,الوحدة الإنتاجية السخونة,1,باجة,28,باجة,baja
10,تيبار,المعهد القطاعي للتكوين المهني الفلاحي بتيبار,1,باجة,28,باجة,baja
250,سلوقية - تستور,شركة الأحياء والتنمية الفلاحية الروضة,1,باجة,28,باجة,baja
35,اللوايتية- الجديدي- مجاز الباب,مركز عمر الباهي,1,باجة,28,باجة,baja
400,القابل – سليانة الجنوبية,شركة الأحياء والتنمية الفلاحية لخماسSODAL,1,سليانة,770,سليانة,sliana
250,الدخانية - الكريب,المركب الفلاحي محسن لمام,1,سليانة,770,سليانة,sliana
200,عين رباو - الطويلة- سيدي بوزيد الغربية,المركب الفلاحي الطويلة – ضيعة 18,1,سيدي بوزيد,167,سيدي بوزيد,sidi bouzid
225,الفائض- سيدي بوزيد الشرقية,المركب الفلاحي الطويلة –  ضيعة 13,1,سيدي بوزيد,167,سيدي بوزيد,sidi bouzid
400,جلمة كلم 5 طريق تونس,شركة سليمة للإنتاج الفلاحي,2,سيدي بوزيد,167,سيدي بوزيد,sidi bouzid
800,العلم - السبيخة,المركب الفلاحي والصناعي العلم,1,القيروان,13,القيروان,kairouan
30,العوامرية معتمدية الشبيكة,شركة الخدمات الفلاحية البركة,2,القيروان,13,القيروان,kairouan
200,وادي العبيد - تاكلسة,المركب الفلاحي والصناعي تاكلسة وادي العبيد,1,نابل,11,نابل,nabeul
150,غنوش الغربية - غنوش,طارق علية,1,قابس,14,قابس,gabès
150,القباعية- ليماوة – قابس الجنوبية,المبروك المبروك,1,قابس,14,قابس,gabès
100,الرحيبة الجنوبية – قفصة الشمالية,ألفة خدومة,2,قفصة,16,قفصة,gafsa
50,الرحيبة الجنوبية – قفصة الشمالية,محمد بن علي الزعبوطي,2,قفصة,16,قفصة,gafsa
100,السواسي - الشريشيرة,عبد النور مصباح,2,المهدية,35,المهدية,almhdia
100,الزعفرانة – الكاف الشرقية,شركة الإحياء والتنمية الفلاحية السنابل,1,الكاف,36,الكاف,alkaf
40,الكاف السمانة,أم الزين محمد الطاهر مليح,1,الكاف,36,الكاف,alkaf
50,بوشة -  بئر مشارقة,"شركة الإحياء والتنمية الفلاحية ""الشباب""",1,زغوان,318,زغوان,zghouan
80,قلعة  الأندلس,محمد بلحاج,2,أريانة,21,أريانة,ariana
250,موريج 2 (بوعكازين)- الشفار- المحرس,"""شركة الفلاحة المتوسطية بتونس"" « SAGRIMET »",2,صفاقس,10,صفاقس,sfax
