annee,delegation,delegation_ar,bovins,ovins,caprins,camelins,ruches,poules_pondeuses,poulets_de_chair,unites_cunicoles,nombre_de_lapines,region_id,matched_region_ar,matched_region_fr
2021,Tozeur,توزر,302,21909,6406,459,790,-,-,-,905,45,توزر,touzr
2021,Dgueche,دقاش,82,36765,16125,150,140,-,14400,-,700,76,دقاش,dqach
2021,Tamaghza,تمغزة,-,40721,17852,800,200,-,-,-,151,189,تمغزة,tmghza
2021,Nefta,نفطة,237,18873,8921,1760,30,-,9000,-,675,44,نفطة,nfta
2021,Hazoua,حزوة,-,9730,6007,1370,-,-,-,-,200,455,حزوة,hzoua
2021,Hammet El Djérid,حامة الجريد,-,16709,6140,25,-,-,-,-,180,1106,حامة الجريد,hama aljrid
2021,Total,المجموع,621,144707,61451,4564,1160,0,23400,0,2811,NA,NA,NA
2022,Tozeur,توزر,353,26000,7000,495,650,-,NA,NA,600,45,توزر,touzr
2022,Dgueche,دقاش,249,40000,18000,150,300,-,16000,NA,350,76,دقاش,dqach
2022,Tamaghza,تمغزة,NA,30000,14000,800,350,-,NA,NA,150,189,تمغزة,tmghza
2022,Nefta,نفطة,253,18000,9000,1760,NA,13800,11000,NA,300,44,نفطة,nfta
2022,Hazoua,حزوة,NA,12000,7000,1370,NA,NA,NA,NA,100,455,حزوة,hzoua
2022,Hammet El Djérid,حامة الجريد,12,20000,8000,25,NA,NA,NA,NA,100,1106,حامة الجريد,hama aljrid
2022,Total,المجموع,867,146000,63000,4600,1300,13800,27000,NA,1500,NA,NA,NA
2023,Tozeur,توزر,387,25500,8000,495,600,_,_,_,700,45,توزر,touzr
2023,Dgueche,دقاش,279,39300,19700,150,200,_,16000,_,500,76,دقاش,dqach
2023,Tamaghza,تمغزة,_,30000,15000,800,300,_,_,_,100,189,تمغزة,tmghza
2023,Nefta,نفطة,273,18000,9000,1760,_,13800,11000,_,500,44,نفطة,nfta
2023,Hazoua,حزوة,_,12000,7000,1370,_,_,_,_,100,455,حزوة,hzoua
2023,Hammet El Djérid,حامة الجريد,32,20000,8000,25,_,_,_,_,100,1106,حامة الجريد,hama aljrid
2023,Total,المجموع,971,144800,66700,4600,1100,13800,27000,_,2000,NA,NA,NA
2024,Tozeur,توزر,487,24000,16000,495,1100,0,0,0,700,45,توزر,touzr
2024,Degache,دقاش,279,37000,15000,150,100,0,16000,0,500,76,دقاش,dqach
2024,Tamaghza,تمغزة,4,24000,17000,800,100,0,0,0,100,189,تمغزة,tmghza
2024,Nefta,نفطة,290,18000,11000,1760,0,13800,11000,0,500,44,نفطة,nfta
2024,Hezoua,حزوة,0,8000,5000,1370,0,0,0,0,100,455,حزوة,hzoua
2024,Hammet eljerid,حامة الجريد,32,14000,8000,25,0,0,0,0,100,1106,حامة الجريد,hama aljrid
2024,Total,المجموع,1092,125000,72000,4600,1300,13800,27000,0,2000,NA,NA,NA
