annee,delegation,viandes_rouges_tonne,viandes_blanches_tonne,lait_1000l,laine_tonne,o_eufs_1000_unites,miel_tonne,region_id,matched_region_ar,matched_region_fr
2020,زغوان,901.5,1676.5,2939,53,13500,17.2,318,زغوان,zghouan
2020,الزريبة,774,32.5,1721,39,NA,13.1,524,الزريبة,alzriba
2020,بئر مشارقة,1074.5,1020,7695.5,41,17500,6.8,377,بئر مشارقة,bir mcharqa
2020,الفحص,1510.5,243,7794.5,73.5,NA,37,378,الفحص,alfhs
2020,الناظور,677,467,835,47,NA,4.6,402,الناظور,alnazour
2020,صواف,622.5,492.5,725,39.5,6000,2.8,401,صواف,souaf
2021,زغوان,904.5,711.5,2860,53,1200,15.8,318,زغوان,zghouan
2021,الزريبة,772,45,1686.5,39,NA,11.9,524,الزريبة,alzriba
2021,بئر مشارقة,1089.5,1213,7505,41,14300,6.4,377,بئر مشارقة,bir mcharqa
2021,الفحص,1486.5,404.5,7588.5,74,NA,34.1,378,الفحص,alfhs
2021,الناظور,678.5,486,825,47,NA,4.3,402,الناظور,alnazour
2021,صواف,624,610,715,40,6000,2.5,401,صواف,souaf
2022,زغوان,904,3286,2782,53.5,9500,14.5,318,زغوان,zghouan
2022,الزريبة,769,43.5,1652,39.5,NA,10.9,524,الزريبة,alzriba
2022,بئر مشارقة,1022,1106.5,7306,41,18000,6,377,بئر مشارقة,bir mcharqa
2022,الفحص,1478,433.5,7389,74,NA,31.2,378,الفحص,alfhs
2022,الناظور,680.5,590,815.5,47,NA,4,402,الناظور,alnazour
2022,صواف,626.5,739.5,705.5,40,4500,2.4,401,صواف,souaf
2023,زغوان,886.5,4966.5,2656.5,53,47400,10.8,318,زغوان,zghouan
2023,الزريبة,755,77,1557,39,NA,7.8,524,الزريبة,alzriba
2023,بئر مشارقة,1005,1333.5,6966,41,7300,4.5,377,بئر مشارقة,bir mcharqa
2023,الفحص,1446,424.5,7030.5,73,NA,23.1,378,الفحص,alfhs
2023,الناظور,670.5,529.5,788,46.5,NA,3,402,الناظور,alnazour
2023,صواف,617,625,687,39.5,4300,1.8,401,صواف,souaf
2024,زغوان,801,5212.5,2482.5,51,49810,14.1,318,زغوان,zghouan
2024,الزريبة,692,80.8,1725.5,38,NA,10.1,524,الزريبة,alzriba
2024,بئر مشارقة,851,1399.5,5843.5,40,7671,5.7,377,بئر مشارقة,bir mcharqa
2024,الفحص,1289,445.5,6127,71,NA,29.9,378,الفحص,alfhs
2024,الناظور,620,555.7,1027.5,45,NA,3.9,402,الناظور,alnazour
2024,صواف,576,656,884,38,4519,2.3,401,صواف,souaf
