annee,delegation,viandes_rouges_tonne,viandes_blanches_tonne,laits_1000_litres,region_id,matched_region_ar,matched_region_fr
2022,القصرين الشمالية,175,27.5,1837.5,NA,NA,NA
2022,القصرين الجنوبية,608,38,876,NA,NA,NA
2022,الزهور,10,20.3,122.5,206,الزهور,alzhour
2022,حاسي الفريد,563,46.2,1932,896,حاسي الفريد,hasi alfrid
2022,سبيطلة,1082,184,4562,99,سبيطلة,sbitla
2022,سبيبة,384,89,471,734,سبيبة,sbiba
2022,جدليان,222,30,245,731,جدليان,jdlian
2022,العيون,455,71.5,471,899,العيون,alaioun
2022,تالة,758,59,1498,271,تالة,tala
2022,حيدرة,290,35,367.5,181,حيدرة,hidra
2022,فوسانة,710,36,1847,566,فوسانة,fousana
2022,فريانة,725,40,2450,513,فريانة,friana
2022,ماجل بلعباس,1060,57.5,7821,599,ماجل بلعباس,majl blabas
2022,المجموع,7042,734,24500.5,NA,NA,NA
2023,القصرين الشمالية,161,25.1,1836,NA,NA,NA
2023,القصرين الجنوبية,558,34.7,875.2,NA,NA,NA
2023,الزهور,9,18.5,122.5,206,الزهور,alzhour
2023,حاسي الفريد,517,42.2,1930.3,896,حاسي الفريد,hasi alfrid
2023,سبيطلة,994,168.2,4558.2,99,سبيطلة,sbitla
2023,سبيبة,352,81.4,470.6,734,سبيبة,sbiba
2023,جدليان,204,27.4,244.8,731,جدليان,jdlian
2023,العيون,418,65.5,470.6,899,العيون,alaioun
2023,تالة,696,54,1496.7,271,تالة,tala
2023,حيدرة,266,32,367.2,181,حيدرة,hidra
2023,فوسانة,652,33,1845.5,566,فوسانة,fousana
2023,فريانة,666,36.5,2447.9,513,فريانة,friana
2023,ماجل بلعباس,974,52.5,7814.5,599,ماجل بلعباس,majl blabas
2023,المجموع,6467,671,24480.000000000004,NA,NA,NA
2024,القصرين الشمالية,140,23.2,1650,NA,NA,NA
2024,القصرين الجنوبية,510,32,950,NA,NA,NA
2024,الزهور,9,17.1,122.5,206,الزهور,alzhour
2024,حاسي الفريد,490,39,2100,896,حاسي الفريد,hasi alfrid
2024,سبيطلة,950,155.5,5000,99,سبيطلة,sbitla
2024,سبيبة,300,75.3,480,734,سبيبة,sbiba
2024,جدليان,190,25.3,240,731,جدليان,jdlian
2024,العيون,390,60.5,600,899,العيون,alaioun
2024,تالة,630,50,1700,271,تالة,tala
2024,حيدرة,211,29.6,470,181,حيدرة,hidra
2024,فوسانة,600,30.5,1845.5,566,فوسانة,fousana
2024,فريانة,620,33.3,2580,513,فريانة,friana
2024,ماجل بلعباس,920,48.6,7762,599,ماجل بلعباس,majl blabas
2024,المجموع,5960,620,25500,NA,NA,NA
