annee,delegation,effectif_bovin_en_tete,effectif_ovin_en_tete,effectif_caprin_en_tete,effectif_camelides_en_tete,nombre_des_ruches_dabeille,nombre_des_unites_des_poules_pondeuses,nombre_des_unite_sdes_poulets_de_chair,nombre_des_clapiers,nombre_des_lapines_reproductrices,region_id,matched_region_ar,matched_region_fr
2022,Médenine Sud,56,27000,6250,NA,200,0,20000,2,240,NA,NA,NA
2022,Sidi Makhlouf,0,45000,15100,250,400,0,20000,1,100,NA,NA,NA
2022,Ajim,0,31000,8000,350,100,0,25000,1,100,NA,NA,NA
2022,Houmet Essouk,260,5500,1550,NA,0,0,NA,NA,45,NA,NA,NA
2022,Midoun,39,9950,1700,70,100,0,NA,NA,75,NA,NA,NA
2022,Zarzis,38,13000,2200,160,100,0,NA,NA,80,NA,NA,NA
2022,Médenine Nord,265,28500,5000,100,300,3000,50000,NA,320,NA,NA,NA
2022,Ben Guerdane,37,200000,27500,11920,300,0,35000,NA,310,NA,NA,NA
2022,Beni Khedech,0,80000,32000,150,500,0,0,NA,250,NA,NA,NA
2023,Médenine Sud,56,27000,6250,NA,200,0,20000,2,240,NA,NA,NA
2023,Sidi Makhlouf,30,45000,15100,250,400,0,20000,1,100,NA,NA,NA
2023,Ajim,0,31000,8000,350,100,0,25000,1,100,NA,NA,NA
2023,Houmet Essouk,51,5500,1550,NA,0,0,NA,NA,45,NA,NA,NA
2023,Midoun,31,9950,1700,70,100,0,NA,NA,75,NA,NA,NA
2023,Zarzis,40,13000,2200,160,100,0,NA,NA,80,NA,NA,NA
2023,Médenine Nord,64,28500,5000,100,300,3000,50000,NA,320,NA,NA,NA
2023,Ben Guerdane,NA,200000,27500,11920,300,0,35000,NA,310,NA,NA,NA
2023,Beni Khedech,0,80000,32000,150,500,0,0,NA,250,NA,NA,NA
2024,Médenine Nord,56,27000,6250,-,200,0,20000,2,240,NA,NA,NA
2024,Médenine Sud,0,45000,15100,250,400,0,20000,1,100,NA,NA,NA
2024,Sidi Makhlouf,0,31000,8000,350,100,0,25000,1,100,NA,NA,NA
2024,Ajim,260,5500,1550,-,0,0,−,NA,45,NA,NA,NA
2024,Houmet Essouk,39,9950,1700,70,100,0,−,−,75,NA,NA,NA
2024,Midoun,38,13000,2200,160,100,0,−,−,80,NA,NA,NA
2024,Zarzis,265,28500,5000,100,300,3000,50000,−,320,NA,NA,NA
2024,Ben Guerdane,37,200000,27500,11920,300,0,35000,−,310,NA,NA,NA
2024,Beni Khedech,0,80000,32000,150,500,0,0,−,250,NA,NA,NA
