annee,delegation,avicultures_1000_unites,cunicultures_unites,apicultures_ruches,region_id,matched_region_ar,matched_region_fr
2021,زغوان,618,510,1830,318,زغوان,zghouan
2021,الزريبة,31,420,1365,524,الزريبة,alzriba
2021,بئر مشارقة,438,430,760,377,بئر مشارقة,bir mcharqa
2021,الفحص,257,430,3925,378,الفحص,alfhs
2021,الناظور,420,210,510,402,الناظور,alnazour
2021,صواف,463,250,310,401,صواف,souaf
2021,المجموع,2227,2250,8700,NA,NA,NA
2022,زغوان,1674,500,1830,318,زغوان,zghouan
2022,الزريبة,30,400,1315,524,الزريبة,alzriba
2022,بئر مشارقة,439,410,760,377,بئر مشارقة,bir mcharqa
2022,الفحص,268,410,3875,378,الفحص,alfhs
2022,الناظور,510,210,515,402,الناظور,alnazour
2022,صواف,551,250,305,401,صواف,souaf
2022,المجموع,3472,2180,8600,NA,NA,NA
2023,زغوان,2282,470,1630,318,زغوان,zghouan
2023,الزريبة,60,370,1165,524,الزريبة,alzriba
2023,بئر مشارقة,554,380,660,377,بئر مشارقة,bir mcharqa
2023,الفحص,273.5,390,3425,378,الفحص,alfhs
2023,الناظور,510,210,455,402,الناظور,alnazour
2023,صواف,570.5,230,265,401,صواف,souaf
2023,المجموع,4250,2050,7600,NA,NA,NA
2024,زغوان,2352,340,1790,318,زغوان,zghouan
2024,الزريبة,62,330,1280,524,الزريبة,alzriba
2024,بئر مشارقة,571,350,725,377,بئر مشارقة,bir mcharqa
2024,الفحص,282,390,3765,378,الفحص,alfhs
2024,الناظور,525,215,499,402,الناظور,alnazour
2024,صواف,588,225,291,401,صواف,souaf
2024,المجموع,4380,1850,8350,NA,NA,NA
