annee,delegation,avicultures_1000_unites,cunicultures_1000_unites,apicultures_ruches_1000_unites,region_id,matched_region_ar,matched_region_fr
2023,Ben Arous,NA,NA,NA,19,بن عروس,ben arous
2023,Médina Jedida,NA,NA,NA,NA,NA,NA
2023,Mourouj,NA,NA,NA,NA,NA,NA
2023,Hammam-Lif,NA,NA,10,NA,NA,NA
2023,Hammam-Chott,NA,NA,240,NA,NA,NA
2023,Bou Mhel,565,NA,10,NA,NA,NA
2023,Ezzahra,NA,NA,NA,NA,NA,NA
2023,Rades,NA,NA,NA,8,رادس,radès
2023,Megrine,NA,NA,NA,NA,NA,NA
2023,M'hamdia,NA,NA,270,NA,NA,NA
2023,Fouchana,NA,27,NA,9,فوشانة,fouchana
2023,Mornag,2994,221,1865,NA,NA,NA
2023,TOTAL,3559,248,2395,NA,NA,NA
2024,Ben Arous,NA,NA,NA,19,بن عروس,ben arous
2024,Médina Jedida,NA,NA,NA,NA,NA,NA
2024,Mourouj,NA,NA,NA,NA,NA,NA
2024,Hammam-Lif,NA,NA,350,NA,NA,NA
2024,Hammam-Chott,NA,NA,1080,NA,NA,NA
2024,Bou Mhel,566,NA,20,NA,NA,NA
2024,Ezzahra,NA,NA,NA,NA,NA,NA
2024,Rades,NA,10,NA,8,رادس,radès
2024,Megrine,NA,NA,NA,NA,NA,NA
2024,M'hamdia,NA,NA,250,NA,NA,NA
2024,Fouchana,NA,80,NA,9,فوشانة,fouchana
2024,Mornag,2396,203,800,NA,NA,NA
2024,TOTAL,2962,293,2500,NA,NA,NA
2025,Ben Arous,NA,NA,NA,19,بن عروس,ben arous
2025,Médina Jedida,NA,NA,NA,NA,NA,NA
2025,Mourouj,NA,NA,NA,NA,NA,NA
2025,Hammam-Lif,NA,NA,400,NA,NA,NA
2025,Hammam-Chott,NA,NA,400,NA,NA,NA
2025,Bou Mhel,566,NA,20,NA,NA,NA
2025,Ezzahra,NA,NA,NA,NA,NA,NA
2025,Rades,NA,0,150,8,رادس,radès
2025,Megrine,NA,NA,NA,NA,NA,NA
2025,M'hamdia,NA,NA,500,NA,NA,NA
2025,Fouchana,NA,70,NA,9,فوشانة,fouchana
2025,Mornag,2396,230,800,NA,NA,NA
2025,TOTAL,2962,300,2270,NA,NA,NA
