date,gouvernorat,tete,region_id,matched_region_ar,matched_region_fr
1993,Tatouine,50,5,تطاوين,tataouine
1993,Kébili,100,NA,NA,NA
1993,Medenine,850,26,مدنين,mdnin
1993,Tozeur,1240,45,توزر,touzr
1993,Gabès,2860,14,قابس,gabès
1993,Gafsa,3160,16,قفصة,gafsa
1993,Tunis,5860,1,تونس,tunis
1993,Kasserine,7940,18,القصرين,kasserine
1993,Sidi Bouzid,9350,167,سيدي بوزيد,sidi bouzid
1993,Mahdia,11570,35,المهدية,almhdia
1993,Sfax,12640,10,صفاقس,sfax
1993,Sousse,13500,12,سوسة,sousse
1993,Ben Arous,15560,19,بن عروس,ben arous
1993,Zaghouan,15750,318,زغوان,zghouan
1993,Monastir,24340,20,المنستير,monastir
1993,Siliana,33810,770,سليانة,sliana
1993,Ariana,43070,21,أريانة,ariana
1993,Kairouan,50090,13,القيروان,kairouan
1993,Kef,54600,NA,NA,NA
1993,Jendouba,66400,37,جندوبة,jndouba
1993,Bizerte,76280,15,بنزرت,bizerte
1993,Béja,90600,NA,NA,NA
1993,Nabeul,119750,11,نابل,nabeul
1994,Tatouine,40,5,تطاوين,tataouine
1994,Kébili,100,NA,NA,NA
1994,Medenine,870,26,مدنين,mdnin
1994,Tozeur,1150,45,توزر,touzr
1994,Gabès,2860,14,قابس,gabès
1994,Gafsa,3160,16,قفصة,gafsa
1994,Tunis,4240,1,تونس,tunis
1994,Kasserine,7570,18,القصرين,kasserine
1994,Sidi Bouzid,9400,167,سيدي بوزيد,sidi bouzid
1994,Sousse,12240,12,سوسة,sousse
1994,Zaghouan,14660,318,زغوان,zghouan
1994,Monastir,15150,20,المنستير,monastir
1994,Ben Arous,16240,19,بن عروس,ben arous
1994,Sfax,21490,10,صفاقس,sfax
1994,Mahdia,26060,35,المهدية,almhdia
1994,Kef,32120,NA,NA,NA
1994,Ariana,42490,21,أريانة,ariana
1994,Kairouan,52250,13,القيروان,kairouan
1994,Siliana,54000,770,سليانة,sliana
1994,Jendouba,65000,37,جندوبة,jndouba
1994,Nabeul,76530,11,نابل,nabeul
1994,Béja,82000,NA,NA,NA
1994,Bizerte,122000,15,بنزرت,bizerte
1996,Tatouine,110,5,تطاوين,tataouine
1996,Kébili,270,NA,NA,NA
1996,Tozeur,1240,45,توزر,touzr
1996,Medenine,1500,26,مدنين,mdnin
1996,Gafsa,3560,16,قفصة,gafsa
1996,Gabès,4520,14,قابس,gabès
1996,Tunis,5790,1,تونس,tunis
1996,Kasserine,11860,18,القصرين,kasserine
1996,Sousse,12390,12,سوسة,sousse
