annee,delegation_fr,delegation_ar,nombre_femelle_productive,region_id,matched_region_ar,matched_region_fr
2016,Sousse Medina,سوسة المدينة,0,NA,NA,NA
2016,Sousse Riadh,سوسة الرياض,600,NA,NA,NA
2016,Sousse Jawhara,سوسة الجوهرة,300,NA,NA,NA
2016,Sidi Abdelhamid,سوسة سيدي عبد الحميد,800,NA,NA,NA
2016,Hammam Sousse,حمام سوسة,800,NA,NA,NA
2016,Akouda,أكودة,2000,265,أكودة,akouda
2016,Kalaa Kbira,القلعة الكبرى,15000,34,القلعة الكبرى,alqlaa alkbra
2016,Sid Bou Ali,سيدي بو علي,7500,424,سيدي بو علي,sidi bou ali
2016,Hergla,هرقلة,4000,269,هرقلة,hrqla
2016,Enfidha,النفيضة,32000,419,النفيضة,alnfida
2016,Bouficha,بوفيشة,16000,319,بوفيشة,bouficha
2016,Kondar,الكندار,16000,326,كندار,kndar
2016,Sid El Héni,سيدي الهاني,28000,155,سيدي الهاني,sidi alhani
2016,M'Saken,مساكن,22500,29,مساكن,msakn
2016,Kalaa Sghira,القلعة الصغرى,10500,434,القلعة الصغرى,alqlaa alsghra
2016,zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,5500,NA,NA,NA
2017,Sousse Medina,سوسة المدينة,0,NA,NA,NA
2017,Sousse Riadh,سوسة الرياض,800,NA,NA,NA
2017,Sousse Jawhara,سوسة الجوهرة,300,NA,NA,NA
2017,Sidi Abdelhamid,سوسة سيدي عبد الحميد,1200,NA,NA,NA
2017,Hammam Sousse,حمام سوسة,1200,NA,NA,NA
2017,Akouda,أكودة,3000,265,أكودة,akouda
2017,Kalaa Kbira,القلعة الكبرى,19000,34,القلعة الكبرى,alqlaa alkbra
2017,Sid Bou Ali,سيدي بو علي,6500,424,سيدي بو علي,sidi bou ali
2017,Hergla,هرقلة,5000,269,هرقلة,hrqla
2017,Enfidha,النفيضة,34000,419,النفيضة,alnfida
2017,Bouficha,بوفيشة,16000,319,بوفيشة,bouficha
2017,Kondar,الكندار,15000,326,كندار,kndar
2017,Sid El Héni,سيدي الهاني,38000,155,سيدي الهاني,sidi alhani
2017,M'Saken,مساكن,26000,29,مساكن,msakn
2017,Kalaa Sghira,القلعة الصغرى,10000,434,القلعة الصغرى,alqlaa alsghra
2017,zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,5000,NA,NA,NA
2018,Sousse Medina,سوسة المدينة,0,NA,NA,NA
2018,Sousse Riadh,سوسة الرياض,800,NA,NA,NA
2018,Sousse Jawhara,سوسة الجوهرة,300,NA,NA,NA
2018,Sidi Abdelhamid,سوسة سيدي عبد الحميد,1200,NA,NA,NA
2018,Hammam Sousse,حمام سوسة,1200,NA,NA,NA
2018,Akouda,أكودة,3000,265,أكودة,akouda
2018,Kalaa Kbira,القلعة الكبرى,20000,34,القلعة الكبرى,alqlaa alkbra
2018,Sid Bou Ali,سيدي بو علي,6000,424,سيدي بو علي,sidi bou ali
2018,Hergla,هرقلة,5000,269,هرقلة,hrqla
2018,Enfidha,النفيضة,40000,419,النفيضة,alnfida
2018,Bouficha,بوفيشة,20000,319,بوفيشة,bouficha
2018,Kondar,الكندار,17000,326,كندار,kndar
2018,Sid El Héni,سيدي الهاني,25000,155,سيدي الهاني,sidi alhani
2018,M'Saken,مساكن,26000,29,مساكن,msakn
2018,Kalaa Sghira,القلعة الصغرى,12000,434,القلعة الصغرى,alqlaa alsghra
2018,zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,7500,NA,NA,NA
2019,Sousse Medina,سوسة المدينة,0,NA,NA,NA
2019,Sousse Riadh,سوسة الرياض,800,NA,NA,NA
2019,Sousse Jawhara,سوسة الجوهرة,300,NA,NA,NA
2019,Sidi Abdelhamid,سوسة سيدي عبد الحميد,1200,NA,NA,NA
2019,Hammam Sousse,حمام سوسة,600,NA,NA,NA
2019,Akouda,أكودة,3250,265,أكودة,akouda
2019,Kalaa Kbira,القلعة الكبرى,18000,34,القلعة الكبرى,alqlaa alkbra
2019,Sid Bou Ali,سيدي بو علي,6250,424,سيدي بو علي,sidi bou ali
2019,Hergla,هرقلة,5000,269,هرقلة,hrqla
2019,Enfidha,النفيضة,42500,419,النفيضة,alnfida
2019,Bouficha,بوفيشة,20000,319,بوفيشة,bouficha
2019,Kondar,الكندار,15000,326,كندار,kndar
2019,Sid El Héni,سيدي الهاني,25000,155,سيدي الهاني,sidi alhani
2019,M'Saken,مساكن,28000,29,مساكن,msakn
2019,Kalaa Sghira,القلعة الصغرى,12000,434,القلعة الصغرى,alqlaa alsghra
2019,zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,7600,NA,NA,NA
2020,Sousse Medina,سوسة المدينة,0,NA,NA,NA
2020,Sousse Riadh,سوسة الرياض,900,NA,NA,NA
2020,Sousse Jawhara,سوسة الجوهرة,150,NA,NA,NA
2020,Sidi Abdelhamid,سوسة سيدي عبد الحميد,1150,NA,NA,NA
2020,Hammam Sousse,حمام سوسة,850,NA,NA,NA
2020,Akouda,أكودة,2850,265,أكودة,akouda
2020,Kalaa Kbira,القلعة الكبرى,25000,34,القلعة الكبرى,alqlaa alkbra
2020,Sid Bou Ali,سيدي بو علي,9500,424,سيدي بو علي,sidi bou ali
2020,Hergla,هرقلة,7500,269,هرقلة,hrqla
2020,Enfidha,النفيضة,40000,419,النفيضة,alnfida
2020,Bouficha,بوفيشة,20000,319,بوفيشة,bouficha
2020,Kondar,الكندار,18500,326,كندار,kndar
2020,Sid El Héni,سيدي الهاني,29000,155,سيدي الهاني,sidi alhani
2020,M'Saken,مساكن,25000,29,مساكن,msakn
2020,Kalaa Sghira,القلعة الصغرى,13000,434,القلعة الصغرى,alqlaa alsghra
2020,zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,6600,NA,NA,NA
2021,Sousse Medina,سوسة المدينة,NA,NA,NA,NA
2021,Sousse Riadh,سوسة الرياض,900,NA,NA,NA
2021,Sousse Jawhara,سوسة الجوهرة,150,NA,NA,NA
2021,Sidi Abdelhamid,سوسة سيدي عبد الحميد,1150,NA,NA,NA
2021,Hammam Sousse,حمام سوسة,850,NA,NA,NA
2021,Akouda,أكودة,2850,265,أكودة,akouda
2021,Kalaa Kbira,القلعة الكبرى,24000,34,القلعة الكبرى,alqlaa alkbra
2021,Sid Bou Ali,سيدي بو علي,9500,424,سيدي بو علي,sidi bou ali
2021,Hergla,هرقلة,7500,269,هرقلة,hrqla
2021,Enfidha,النفيضة,40000,419,النفيضة,alnfida
2021,Bouficha,بوفيشة,20000,319,بوفيشة,bouficha
2021,Kondar,الكندار,18500,326,كندار,kndar
2021,Sid El Héni,سيدي الهاني,30000,155,سيدي الهاني,sidi alhani
2021,M'Saken,مساكن,25000,29,مساكن,msakn
2021,Kalaa Sghira,القلعة الصغرى,13000,434,القلعة الصغرى,alqlaa alsghra
2021,zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,6600,NA,NA,NA
2022,Sousse Medina,سوسة المدينة,NA,NA,NA,NA
2022,Sousse Riadh,سوسة الرياض,1750,NA,NA,NA
2022,Sousse Jawhara,سوسة الجوهرة,NA,NA,NA,NA
2022,Sidi Abdelhamid,سوسة سيدي عبد الحميد,1250,NA,NA,NA
2022,Hammam Sousse,حمام سوسة,1000,NA,NA,NA
2022,Akouda,أكودة,2750,265,أكودة,akouda
2022,Kalaa Kbira,القلعة الكبرى,25000,34,القلعة الكبرى,alqlaa alkbra
2022,Sid Bou Ali,سيدي بو علي,9500,424,سيدي بو علي,sidi bou ali
2022,Hergla,هرقلة,5500,269,هرقلة,hrqla
2022,Enfidha,النفيضة,38250,419,النفيضة,alnfida
2022,Bouficha,بوفيشة,17000,319,بوفيشة,bouficha
2022,Kondar,الكندار,18500,326,كندار,kndar
2022,Sid El Héni,سيدي الهاني,28500,155,سيدي الهاني,sidi alhani
2022,M'Saken,مساكن,25000,29,مساكن,msakn
2022,Kalaa Sghira,القلعة الصغرى,10000,434,القلعة الصغرى,alqlaa alsghra
2022,zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,6000,NA,NA,NA
2023,Sousse Medina,سوسة المدينة,0,NA,NA,NA
2023,Sousse Riadh,سوسة الرياض,1650,NA,NA,NA
2023,Sousse Jawhara,سوسة الجوهرة,50,NA,NA,NA
2023,Sidi Abdelhamid,سوسة سيدي عبد الحميد,1450,NA,NA,NA
2023,Hammam Sousse,حمام سوسة,1000,NA,NA,NA
2023,Akouda,أكودة,2850,265,أكودة,akouda
2023,Kalaa Kbira,القلعة الكبرى,25000,34,القلعة الكبرى,alqlaa alkbra
2023,Sid Bou Ali,سيدي بو علي,9000,424,سيدي بو علي,sidi bou ali
2023,Hergla,هرقلة,5500,269,هرقلة,hrqla
2023,Enfidha,النفيضة,35350,419,النفيضة,alnfida
2023,Bouficha,بوفيشة,16000,319,بوفيشة,bouficha
2023,Kondar,الكندار,16500,326,كندار,kndar
2023,Sid El Héni,سيدي الهاني,25500,155,سيدي الهاني,sidi alhani
2023,M'Saken,مساكن,25000,29,مساكن,msakn
2023,Kalaa Sghira,القلعة الصغرى,12500,434,القلعة الصغرى,alqlaa alsghra
2023,zaouia/ksiba et thrayet,الزاوية/القصيبة و الثريات,5750,NA,NA,NA
