almʿtmdyt,ʿdd_alabqar_mwslt,ʿdd_alabqar_akhry,alʿdd_aljmly_llabqar,ʿdd_alqtyʿ_anthy_mntjt_aghnam_alf,maʿz_alf,ʿdd_alqtyʿ_anthy_mntjt_abl,ajbah_nhl_ʿsry,ajbah_nhl_tqlydy,aranb_ʿdd_alamhat_ʿsry,aranb_ʿdd_alamhat_tqlydy,ʿdd_almdajn_lhm,ʿdd_almdajn_byd,ʿdd_almdajn_mfarkh,region_id,matched_region_ar,matched_region_fr
بوزيد الغربية,5700,15,5715,28,2,12,830,0,215,125,7,1,0,NA,NA,NA
بوزيد الشرقية,5460,25,5485,25,7,22,610,13,0,120,93,6,3,NA,NA,NA
المكناسي,135,5,140,23.5,4.7,30,910,0,0,20,1,0,0,743,المكناسي,almknasi
الرقاب,2843,30,2873,37,3.2,80,600,13,285,50,82,32,0,993,الرقاب,alrqab
السعيدة,1600,0,1600,16.5,2,0,190,0,350,20,224,9,2,1195,السعيدة,alsaida
جلمة,1550,20,1570,50,7,7,350,17,50,370,19,0,0,273,جلمة,jlma
بن عون,3000,55,3055,15.5,2.7,5,320,10,700,50,9,1,0,903,بني عيشون,bni aichoun
المزونة,7,7,14,35.5,7,80,350,0,0,1200,2,0,0,574,المزونة,almzouna
السبالة,15,5,20,14,1.7,0,230,15,100,450,3,2,0,97,السبالة,alsbala
أولاد حفوز,10,8,18,34,5,7,240,0,120,700,120,3,1,989,أولاد حفوز,aoulad hfouz
بئر الحفي,2200,30,2230,15,2.6,15,310,10,0,30,20,0,1,876,بئر الحفي,bir alhfi
منزل بوزيان,30,5,35,19,1.8,12,480,0,0,20,2,0,0,1141,منزل بوزيان,mnzl bouzian
السوق الجديد,2450,45,2495,35,6.5,10,300,0,180,400,2,0,0,1190,السوق الجديد,alsouq aljdid
الجملة,25000,250,25250,348,53,280,5720,78,2000,3555,548,54,7,625,الرملة,alrmla
