annee,delegation,bovin,ovin_tonne,caprin_tonne,camelides_tonne,poulet_tonne,lapin_tonne,caille_tonne,region_id,matched_region_ar,matched_region_fr
2022-2023,قبلي الجنوبية,4.4400000000000004,220,97,14.7,-,-,-,NA,NA,NA
2022-2023,قبلي الشمالية,0.38,147,62,20.6,-,-,-,NA,NA,NA
2022-2023,سوق الأحد,7.25,235,99,2.94,-,-,-,NA,NA,NA
2022-2023,دوز الشمالية,0.92,390,173,44.1,-,-,-,NA,NA,NA
2022-2023,دوز الجنوبية,3.46,306,136,61.7,-,-,-,NA,NA,NA
2022-2023,الفوار,0.14000000000000001,340,148,17.6,-,-,-,NA,NA,NA
2022-2023,رجيم معتوق,0,81,36,29.4,-,-,-,NA,NA,NA
2022-2023,الجملة,16.600000000000001,1720,752,191,-,-,-,NA,NA,NA
2023-2024,قبلي الجنوبية,7.06,200,90,15,NA,NA,NA,NA,NA,NA
2023-2024,قبلي الشمالية,0.33,131,53,21,NA,NA,NA,NA,NA,NA
2023-2024,سوق الأحد,4.13,306,122,3,NA,NA,NA,NA,NA,NA
2023-2024,دوز الشمالية,1.25,388,171,44,NA,NA,NA,NA,NA,NA
2023-2024,دوز الجنوبية,3.96,244,110,62,NA,NA,NA,NA,NA,NA
2023-2024,الفوار,1.95,350,155,18,NA,NA,NA,NA,NA,NA
2023-2024,رجيم معتوق,0.33,81,33,29,NA,NA,NA,NA,NA,NA
2023-2024,الجملة,19,1701,734,191,NA,NA,NA,NA,NA,NA
