almʿtmdyt,x2020,x2021,x2022,region_id,matched_region_ar,matched_region_fr
المهدية,655,760,670,35,المهدية,almhdia
بومرداس,985,1150,1100,149,بو مرداس,bou mrdas
أولاد الشامخ,410,480,470,214,أولاد الشامخ,aoulad alchamkh
شربان,330,380,410,98,شُربان,chُrban
هبيرة,255,300,320,850,هبيرة,hbira
السواسي,730,850,710,215,السواسي,alsouasi
الجم,385,450,570,48,الجم,aljm
الشابة,105,120,140,106,الشابة,alchaba
ملولش,800,930,710,911,ملولش,mloulch
سيدي علوان,505,590,570,157,سيدي علوان,sidi alouan
قصور الساف,400,465,430,158,قصور الساف,qsour alsaf
المجموع,5560,6475,6100,NA,NA,NA
