alwlayt_gouvernorat,qmh_slb_ble_dur,qmh_lyn_ble_tendre,shʿyr_orge,trytykal_triticale,akhry_autres,region_id,matched_region_ar,matched_region_fr
تونس,50,20,NA,NA,NA,1,تونس,tunis
أريانة,NA,NA,NA,NA,200,21,أريانة,ariana
منوبة,NA,NA,NA,NA,NA,774,منوبة,mnouba
بن عروس,200,50,50,100,NA,19,بن عروس,ben arous
نابل,530,140,110,NA,NA,11,نابل,nabeul
بنزرت,NA,NA,NA,NA,NA,15,بنزرت,bizerte
باجة,1930,140,20,NA,NA,28,باجة,baja
جندوبة,17770,570,810,320,290,37,جندوبة,jndouba
الكاف,470,80,2510,NA,NA,36,الكاف,alkaf
سليانة,1070,NA,390,NA,NA,770,سليانة,sliana
زغوان,350,NA,140,NA,NA,318,زغوان,zghouan
سوسة,470,30,400,NA,NA,12,سوسة,sousse
المنستير,NA,NA,NA,NA,NA,20,المنستير,monastir
المهدية,NA,NA,NA,NA,NA,35,المهدية,almhdia
صفاقس,10,NA,50,NA,10,10,صفاقس,sfax
القيروان,13640,120,7960,70,NA,13,القيروان,kairouan
القصرين,1120,NA,2380,NA,NA,18,القصرين,kasserine
سيدي بوزيد,3420,NA,2080,NA,NA,167,سيدي بوزيد,sidi bouzid
قفصة,NA,40,NA,NA,NA,16,قفصة,gafsa
قابس,60,NA,NA,NA,NA,14,قابس,gabès
مدنين,20,NA,300,NA,NA,26,مدنين,mdnin
توزر,NA,NA,NA,NA,NA,45,توزر,touzr
قبلي,NA,NA,NA,NA,NA,46,قبلي,qbli
تطاوين,NA,NA,100,NA,NA,5,تطاوين,tataouine
