annee,nappe,profondeur_m,taux_salinite_g_l,ressources_million_m3_an,exploitation_million_m3_an,percent_taux_exploitation,nombre_puits,region_id,matched_region_ar,matched_region_fr
2022,1- المركب النهائي,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,نفزاوة,300-50,"8-0,6",142.2,404.83,284.69,179 بئر قانونية+7637 بئر خاصة (2020),NA,NA,NA
2022,رجيم معتوق,320-150,"3,2-1,3",63,56.27,89.32,48  بئر قانونية,NA,NA,NA
2022,2- القاري الوسيط,2800-60,"5,5-2,5",31.5,78.48,249.14,43 بئر قانونية + 13 عين طبيعية  1615 بئرخاصة (2020),NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,المجموع,NA,NA,236.7,539.58,227.96,270 بئر عمومية +13عين ط+ 9252 بئر خاصة سنة 2020,NA,NA,NA
2023,1- المركب النهائي,300-50,"8-0,6",142.2,410.7,288.82,179 بئر قانونية+8017 بئر خاصة (2021),NA,NA,NA
2023,نفزاوة,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,رجيم معتوق,320-150,"3,2-1,3",63,56.28,89.33,48  بئر قانونية,NA,NA,NA
2023,2- القاري الوسيط,2800-60,"5,5-2,5",31.5,78.51,249.24,43 بئر قانونية + 13 عين طبيعية  1695 بئر خاصة (2021),NA,NA,NA
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,المجموع,NA,NA,236.7,545.49,230.46,270 بئر عمومية +13عين ط+ 9712 بئر خاصة سنة 2021,NA,NA,NA
