annee,delegation,superficie_publique_irriguable_ha,superficie_privee_irriguable_ha,total_5,superficie_publique_irriguee_ha,superficie_privee_irriguee_ha,total_8,superficie_publique_exploitee_ha,superficie_privee_exploitee_ha,total_11,taux_dexploitation_publique_percent,taux_dexploitation_prive_percent,total_14,taux_dintensification_publique_percent,taux_dintensification_prive_percent,total_17,region_id,matched_region_ar,matched_region_fr
2020,بنزرت الشمالية,0,50,50,0,45,45,0,45,45,0,90,90,0,90,90,NA,NA,NA
2020,بنزرت الجنوبية,854,183,1037,550,100,650,550,100,650,64.40281030444966,54.644808743169406,62.6808100289296,64.40281030444966,54.644808743169406,62.6808100289296,NA,NA,NA
2020,جرزونة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,جرزونة,jrzouna
2020,منزل جميل,726,276,1002,600,300,900,500,270,770,68.87052341597796,97.82608695652173,76.84630738522954,82.64462809917356,108.69565217391303,89.82035928143712,1134,منزل جميل,mnzl jmil
2020,منزل بورقيبة,109,218,327,30,200,230,20,200,220,18.34862385321101,91.74311926605505,67.2782874617737,27.522935779816514,91.74311926605505,70.33639143730886,32,منزل بورقيبة,mnzl bourqiba
2020,تينجة,0,114,114,0,110,110,0,100,100,0,87.71929824561403,87.71929824561403,0,96.49122807017544,96.49122807017544,201,تينجة,tinja
2020,ماطر,2374,189,2563,1600,150,1750,1600,140,1740,67.39679865206402,74.07407407407408,67.88919235271167,67.39679865206402,79.36507936507937,68.27936012485368,52,ماطر,matr
2020,غزالة,2539,237,2776,2200,250,2450,2200,250,2450,86.6482867270579,105.48523206751055,88.25648414985591,86.6482867270579,105.48523206751055,88.25648414985591,386,غزالة,ghzala
2020,جومين,76,304,380,40,300,340,20,250,270,25,82.23684210526315,71.05263157894737,52.63157894736842,98.68421052631578,89.47368421052632,413,جومين,joumin
2020,سجنان,3700,150,3850,1100,170,1270,1100,130,1230,29.72972972972973,86.66666666666667,31.948051948051948,29.72972972972973,113.33333333333333,32.98701298701299,406,سجنان,sjnan
2020,العالية,1550,474,2024,1750,600,2350,900,500,1400,58.06451612903226,105.48523206751055,69.1699604743083,112.90322580645163,126.58227848101266,116.10671936758894,496,العالية,alaalia
2020,رأس الجبل,2190,281,2471,2200,350,2550,1700,270,1970,77.6255707762557,96.08540925266904,79.72480777013355,100.4566210045662,124.55516014234875,103.19708619991906,113,رأس الجبل,ras aljbl
2020,غار الملح,2116,1335,3451,1800,1700,3500,1500,1335,2835,70.88846880907373,100,82.1501014198783,85.06616257088847,127.34082397003745,101.41987829614605,114,غار الملح,ghar almlh
2020,أوتيك,4685,1044,5729,4900,1250,6150,3800,1044,4844,81.10992529348987,100,84.55227788444755,104.58911419423693,119.73180076628354,107.34857741316111,NA,NA,NA
2020,كامل الولاية,20919,4855,25774,16770,5525,22295,13890,4634,18524,66.39896744586261,95.44799176107107,71.87087762861799,80.16635594435681,113.80020597322348,86.50190114068441,NA,NA,NA
2021,بنزرت الشمالية,0,50,50,0,45,45,0,45,45,0,90,90,0,90,90,NA,NA,NA
2021,بنزرت الجنوبية,854,183,1037,550,100,650,550,100,650,64.40281030444966,54.644808743169406,62.6808100289296,64.40281030444966,54.644808743169406,62.6808100289296,NA,NA,NA
2021,جرزونة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,جرزونة,jrzouna
2021,منزل جميل,726,276,1002,600,300,900,500,270,770,68.87052341597796,97.82608695652173,76.84630738522954,82.64462809917356,108.69565217391303,89.82035928143712,1134,منزل جميل,mnzl jmil
2021,منزل بورقيبة,109,218,327,30,200,230,20,200,220,18.34862385321101,91.74311926605505,67.2782874617737,27.522935779816514,91.74311926605505,70.33639143730886,32,منزل بورقيبة,mnzl bourqiba
2021,تينجة,0,114,114,0,110,110,0,100,100,0,87.71929824561403,87.71929824561403,0,96.49122807017544,96.49122807017544,201,تينجة,tinja
2021,ماطر,2374,189,2563,1700,150,1850,1700,140,1840,71.60909856781802,74.07407407407408,71.79087007413187,71.60909856781802,79.36507936507937,72.1810378462739,52,ماطر,matr
2021,غزالة,2539,237,2776,2300,250,2550,2300,250,2550,90.58684521465143,105.48523206751055,91.85878962536023,90.58684521465143,105.48523206751055,91.85878962536023,386,غزالة,ghzala
2021,جومين,76,304,380,40,300,340,20,250,270,25,82.23684210526315,71.05263157894737,52.63157894736842,98.68421052631578,89.47368421052632,413,جومين,joumin
2021,سجنان,3700,150,3850,1300,170,1470,1300,130,1430,35.13513513513514,86.66666666666667,37.142857142857146,35.13513513513514,113.33333333333333,38.18181818181819,406,سجنان,sjnan
2021,العالية,1550,474,2024,1350,600,1950,800,500,1300,51.61290322580645,105.48523206751055,64.2292490118577,87.09677419354838,126.58227848101266,96.34387351778656,496,العالية,alaalia
