alsnt,alwlayt,ʿdd_almnatq_alsqwyt_alʿmwmyt,ʿdd_almntfʿyn,ʿdd_alabar,almsaht_hk,ʿdd_alabar_alsthyt_alkhast,msaht_alabar_alsthyt_alkhast_hk,ʿdd_alabar_alʿmyqt_alkhast,msaht_alabar_alʿmyqt_alkhast_hk,ʿdd_alabar_dywan_alarady_aldwlyt,almsaht_dywan_alarady_aldwlyt_hk,ʿdd_alabar_shrkat_alahyaʾ,almsaht_shrkat_alahyaʾ_hk,almjmwʿ_hk,region_id,matched_region_ar,matched_region_fr
2021,بوزيد الغربية,12,1227,17,1566,2817,7746.75,21,184.8,5,400,NA,NA,9898,NA,NA,NA
2021,بوزيد الشرقية,12,776,17,830,2313,6360.75,151,1328.8000000000002,3,210,NA,NA,8730,NA,NA,NA
2021,المكناسي,9,417,11,562,664,1826,126,1108.8000000000002,1,20,NA,NA,3517,743,المكناسي,almknasi
2021,الرقاب و السعيدة,2,70,2,141,1429,3929.75,564,4963.200000000001,NA,NA,NA,NA,9034,NA,NA,NA
2021,جلمة,11,1037,11,1258,1205,3313.75,70,616,NA,NA,6,1133,6321,273,جلمة,jlma
2021,بن عون,3,131,3,192,43,118.25,174,1531.2,NA,NA,NA,NA,1841,903,بني عيشون,bni aichoun
2021,المزونة,3,125,3,336,444,1221,76,668.8000000000001,NA,NA,NA,NA,2226,574,المزونة,almzouna
2021,السبالة,5,501,7,573,749,2059.75,38,334.40000000000003,NA,NA,NA,NA,2967,97,السبالة,alsbala
2021,أولاد حفوز,2,84,3,147,536,1474,161,1416.8000000000002,NA,NA,NA,NA,3038,989,أولاد حفوز,aoulad hfouz
2021,بئر الحفي,5,195,5,338,664,1826,316,2780.8,2,87,NA,NA,5032,876,بئر الحفي,bir alhfi
2021,منزل بوزيان,8,429,9,691,1083,2978.25,79,695.2,1,250,3,460,5074,1141,منزل بوزيان,mnzl bouzian
2021,السوق الجديد,8,529,9,483,1087,2989.25,71,624.8000000000001,NA,NA,NA,NA,4097,1190,السوق الجديد,alsouq aljdid
2021,الجملة,80,2221,97,7117,13034,35844,1847,16254,12,967,9,1593,61774,625,الرملة,alrmla
2022,بوزيد الغربية,12,1195,17,1566,2815,7792,21,195,5,400,NA,NA,9892.05,NA,NA,NA
2022,بوزيد الشرقية,12,756,17,830,2313,6403,164,1405,3,210,NA,NA,8729.55,NA,NA,NA
2022,المكناسي,9,406,11,562,662,1832,132,1172,1,20,NA,NA,3511.3,743,المكناسي,almknasi
2022,الرقاب و السعيدة,2,68,2,141,1428,3954,565,5246,NA,NA,NA,NA,9031.2,NA,NA,NA
2022,جلمة,11,1010,11,1258,1204,3333,72,651,NA,NA,6,1133,6318,273,جلمة,jlma
2022,بن عون,3,128,3,192,43,119,193,1619,NA,NA,NA,NA,1841.45,903,بني عيشون,bni aichoun
2022,المزونة,3,122,3,336,444,1229,90,707,NA,NA,NA,NA,2225.8,574,المزونة,almzouna
2022,السبالة,6,488,7,573,748,2071,38,353,NA,NA,NA,NA,2964.4,97,السبالة,alsbala
2022,أولاد حفوز,2,82,3,147,536,1484,163,1498,NA,NA,NA,NA,3037.8,989,أولاد حفوز,aoulad hfouz
2022,بئر الحفي,5,190,5,338,662,1838,354,2939,2,87,NA,NA,5031.8,876,بئر الحفي,bir alhfi
2022,منزل بوزيان,8,418,9,691,1083,2998,82,735,1,250,3,460,5074.45,1141,منزل بوزيان,mnzl bouzian
2022,السوق الجديد,8,516,9,483,1086,3005,71,660,NA,NA,NA,NA,4094.3,1190,السوق الجديد,alsouq aljdid
2022,الجملة,81,5379,97,7117,13024,36058,1945,17181,12,967,9,1593,62916,625,الرملة,alrmla
