annee,delegation,superficies_irrigables_ha,superficies_irriguees_ha,superficies_exploitees_ha,region_id,matched_region_ar,matched_region_fr
2022,NABEUL,433,200,220,11,نابل,nabeul
2022,DAR CHAABANE EL FEHRI,120,85,95,500,دار شعبان الفهري,dar chaban alfhri
2022,BENI KHIAR,291,215,300,217,بني خيار,bni khiar
2022,KORBA,1744,800,1950,NA,NA,NA
2022,MENZEL TEMIME,890,600,1150,915,منزل تميم,mnzl tmim
2022,EL MIDA,1303,900,1650,NA,NA,NA
2022,KELIBIA,424,200,230,NA,NA,NA
2022,HAMMAM EL GUEZAZ,250,100,350,NA,NA,NA
2022,EL HAOUARIA,793,700,1200,220,الهوارية,alhouaria
2022,TAKILSA,1794,1600,2050,NA,NA,NA
2022,SOLIMAN,4721,4200,5150,213,سليمان,sliman
2022,MENZEL BOUZELFA,4655,4200,4300,212,منزل بوزلفة,mnzl bouzlfa
2022,BENI KHALLED,4034,3300,3350,210,بني خلاد,bni khlad
2022,GROMBALIA,4241,2600,3300,211,قرمبالية,qrmbalia
2022,BOUARGOUB,1158,900,900,290,بوعرقوب,bouarqoub
2022,HAMMAMET,249,100,100,NA,NA,NA
2023,NABEUL,433,280,280,11,نابل,nabeul
2023,DAR CHAABANE EL FEHRI,120,90,100,500,دار شعبان الفهري,dar chaban alfhri
2023,BENI KHIAR,291,226,305,217,بني خيار,bni khiar
2023,KORBA,1744,500,1650,NA,NA,NA
2023,MENZEL TEMIME,1020,450,650,915,منزل تميم,mnzl tmim
2023,EL MIDA,1303,650,1300,NA,NA,NA
2023,KELIBIA,424,50,100,NA,NA,NA
2023,HAMMAM EL GUEZAZ,250,100,350,NA,NA,NA
2023,EL HAOUARIA,793,400,700,220,الهوارية,alhouaria
2023,TAKILSA,1794,950,1800,NA,NA,NA
2023,SOLIMAN,4721,4000,5000,213,سليمان,sliman
2023,MENZEL BOUZELFA,4655,4150,4300,212,منزل بوزلفة,mnzl bouzlfa
2023,BENI KHALLED,4034,3200,3300,210,بني خلاد,bni khlad
2023,GROMBALIA,4391,2300,2950,211,قرمبالية,qrmbalia
2023,BOUARGOUB,1158,900,900,290,بوعرقوب,bouarqoub
2023,HAMMAMET,249,100,100,NA,NA,NA
2024,NABEUL,433,250,250,11,نابل,nabeul
2024,DAR CHAABANE EL FEHRI,120,90,95,500,دار شعبان الفهري,dar chaban alfhri
2024,BENI KHIAR,291,220,280,217,بني خيار,bni khiar
2024,KORBA,1744,430,780,NA,NA,NA
2024,MENZEL TEMIME,890,350,600,915,منزل تميم,mnzl tmim
2024,EL MIDA,1303,450,1100,NA,NA,NA
2024,KELIBIA,424,100,120,NA,NA,NA
2024,HAMMAM EL GUEZAZ,250,100,320,NA,NA,NA
2024,EL HAOUARIA,793,500,750,220,الهوارية,alhouaria
2024,TAKILSA,1794,900,1000,NA,NA,NA
2024,SOLIMAN,4721,2400,3000,213,سليمان,sliman
2024,MENZEL BOUZELFA,4655,4000,4300,212,منزل بوزلفة,mnzl bouzlfa
2024,BENI KHALLED,4034,3200,3500,210,بني خلاد,bni khlad
2024,GROMBALIA,4241,2150,2400,211,قرمبالية,qrmbalia
2024,BOUARGOUB,1158,700,750,290,بوعرقوب,bouarqoub
2024,HAMMAMET,249,100,100,NA,NA,NA
