annee,delegation,superficies_exploitees_ha,superficies_irriguees_ha,superficies_irrigables_ha,region_id,matched_region_ar,matched_region_fr
2022,NABEUL,87,80,80,11,نابل,nabeul
2022,DAR CHAABANE EL FEHRI,700,450,500,500,دار شعبان الفهري,dar chaban alfhri
2022,BENI KHIAR,650,400,400,217,بني خيار,bni khiar
2022,KORBA,5350,4000,4100,NA,NA,NA
2022,MENZEL TEMIME,1400,850,950,915,منزل تميم,mnzl tmim
2022,EL MIDA,2300,1500,1530,NA,NA,NA
2022,KELIBIA,2200,1900,2100,NA,NA,NA
2022,HAMMAM EL GUEZAZ,2800,1800,1830,NA,NA,NA
2022,EL HAOUARIA,6800,5500,5600,220,الهوارية,alhouaria
2022,TAKILSA,1800,1200,1250,NA,NA,NA
2022,SOLIMAN,450,310,340,213,سليمان,sliman
2022,MENZEL BOUZELFA,80,70,80,212,منزل بوزلفة,mnzl bouzlfa
2022,BENI KHALLED,1000,800,860,210,بني خلاد,bni khlad
2022,GROMBALIA,610,500,520,211,قرمبالية,qrmbalia
2022,BOUARGOUB,1100,810,850,290,بوعرقوب,bouarqoub
2022,HAMMAMET,1000,1250,1410,NA,NA,NA
2023,NABEUL,80,80,80,11,نابل,nabeul
2023,DAR CHAABANE EL FEHRI,700,450,500,500,دار شعبان الفهري,dar chaban alfhri
2023,BENI KHIAR,600,400,400,217,بني خيار,bni khiar
2023,KORBA,5350,4000,4100,NA,NA,NA
2023,MENZEL TEMIME,1350,800,950,915,منزل تميم,mnzl tmim
2023,EL MIDA,2330,1500,1530,NA,NA,NA
2023,KELIBIA,2000,1800,2100,NA,NA,NA
2023,HAMMAM EL GUEZAZ,2820,1750,1830,NA,NA,NA
2023,EL HAOUARIA,6850,5530,5600,220,الهوارية,alhouaria
2023,TAKILSA,1800,1200,1250,NA,NA,NA
2023,SOLIMAN,450,310,340,213,سليمان,sliman
2023,MENZEL BOUZELFA,75,70,80,212,منزل بوزلفة,mnzl bouzlfa
2023,BENI KHALLED,1000,800,860,210,بني خلاد,bni khlad
2023,GROMBALIA,590,500,520,211,قرمبالية,qrmbalia
2023,BOUARGOUB,1100,800,850,290,بوعرقوب,bouarqoub
2023,HAMMAMET,910,1200,1410,NA,NA,NA
2024,NABEUL,80,80,80,11,نابل,nabeul
2024,DAR CHAABANE EL FEHRI,700,450,500,500,دار شعبان الفهري,dar chaban alfhri
2024,BENI KHIAR,600,400,400,217,بني خيار,bni khiar
2024,KORBA,5000,4000,4100,NA,NA,NA
2024,MENZEL TEMIME,1300,800,950,915,منزل تميم,mnzl tmim
2024,EL MIDA,2300,1500,1530,NA,NA,NA
2024,KELIBIA,2000,1800,2100,NA,NA,NA
2024,HAMMAM EL GUEZAZ,2800,1700,1830,NA,NA,NA
2024,EL HAOUARIA,6850,5500,5600,220,الهوارية,alhouaria
2024,TAKILSA,1850,1200,1250,NA,NA,NA
2024,SOLIMAN,500,300,340,213,سليمان,sliman
2024,MENZEL BOUZELFA,70,70,80,212,منزل بوزلفة,mnzl bouzlfa
2024,BENI KHALLED,900,800,860,210,بني خلاد,bni khlad
2024,GROMBALIA,600,500,520,211,قرمبالية,qrmbalia
2024,BOUARGOUB,1150,800,850,290,بوعرقوب,bouarqoub
2024,HAMMAMET,900,1200,1410,NA,NA,NA
