campagne_agricole,delegation,superficies_irrigables_ha,superficies_irriguees_ha,superficies_exploitees_ha,region_id,matched_region_ar,matched_region_fr
2020/2021,زغوان,1700,970,1340,318,زغوان,zghouan
2020/2021,الزريبة,520,230,380,524,الزريبة,alzriba
2020/2021,بئر مشارقة,3480,1750,2790,377,بئر مشارقة,bir mcharqa
2020/2021,الفحص,3030,2000,2670,378,الفحص,alfhs
2020/2021,الناظور,1990,1260,1640,402,الناظور,alnazour
2020/2021,صواف,540,290,480,401,صواف,souaf
2020/2021,المجموع,11260,6500,9300,NA,NA,NA
2021/2022,زغوان,1700,1298.3076923076924,1801.0752688172042,318,زغوان,zghouan
2021/2022,الزريبة,520,307.84615384615387,510.752688172043,524,الزريبة,alzriba
2021/2022,بئر مشارقة,3480,2342.3076923076924,3750,377,بئر مشارقة,bir mcharqa
2021/2022,الفحص,3030,2676.923076923077,3588.7096774193546,378,الفحص,alfhs
2021/2022,الناظور,1990,1686.4615384615386,2204.3010752688174,402,الناظور,alnazour
2021/2022,صواف,540,388.15384615384613,645.1612903225806,401,صواف,souaf
2021/2022,المجموع,11260,8700,12500,NA,NA,NA
2022/2023,زغوان,1730,1330,1830,318,زغوان,zghouan
2022/2023,الزريبة,530,310,520,524,الزريبة,alzriba
2022/2023,بئر مشارقة,3540,2410,3810,377,بئر مشارقة,bir mcharqa
2022/2023,الفحص,3080,2750,3640,378,الفحص,alfhs
2022/2023,الناظور,2020,1730,2240,402,الناظور,alnazour
2022/2023,صواف,550,390,650,401,صواف,souaf
2022/2023,المجموع,11450,8920,12690,NA,NA,NA
2023/2024,زغوان,1780,1380,1900,318,زغوان,zghouan
2023/2024,الزريبة,530,320,540,524,الزريبة,alzriba
2023/2024,بئر مشارقة,3580,2510,3960,377,بئر مشارقة,bir mcharqa
2023/2024,الفحص,3140,2860,3780,378,الفحص,alfhs
2023/2024,الناظور,2020,1800,2330,402,الناظور,alnazour
2023/2024,صواف,550,410,670,401,صواف,souaf
2023/2024,المجموع,11600,9280,13180,NA,NA,NA
