annee,delegation,superficie_irrigable_ha,superficie_irrigues_ha,superficie_exploitee_ha,region_id,matched_region_ar,matched_region_fr
2014,Manouba,395,239.45365853658535,368.7709936527552,NA,NA,NA
2014,Douar Hicher,0,0,0,NA,NA,NA
2014,Oued Ellil,1715,1091.7463414634146,1634.1616581475032,NA,NA,NA
2014,Mornagia,1100,576.3121951219513,1023.6752232769758,NA,NA,NA
2014,Borj El Amri,2770,1304.819512195122,2573.133179801157,NA,NA,NA
2014,Jedaida,7260,3593.834146341463,6845.5052519238325,NA,NA,NA
2014,Tebourba,2630,1464.1170731707316,2496.693253945964,NA,NA,NA
2014,El Batane,3660,2129.7170731707315,3448.0604392518117,NA,NA,NA
2015,Manouba,395,247.51219512195127,356.73931359883164,NA,NA,NA
2015,Douar Hicher,0,0,0,NA,NA,NA
2015,Oued Ellil,1715,1128.487804878049,1580.8448014379599,NA,NA,NA
2015,Mornagia,1100,595.7073170731709,990.276357917205,NA,NA,NA
2015,Borj El Amri,2770,1348.7317073170734,2489.181036903892,NA,NA,NA
2015,Jedaida,7260,3714.7804878048782,6622.160871763185,NA,NA,NA
2015,Tebourba,2630,1513.3902439024391,2415.235072740549,NA,NA,NA
2015,El Batane,3660,2201.390243902439,3335.562545638376,NA,NA,NA
2016,Manouba,395,244.05853658536586,347.71555355838905,NA,NA,NA
2016,Douar Hicher,0,0,0,NA,NA,NA
2016,Oued Ellil,1715,1112.7414634146342,1540.8571589058024,NA,NA,NA
2016,Mornagia,1100,587.3951219512196,965.2272088973768,NA,NA,NA
2016,Borj El Amri,2770,1329.9121951219513,2426.216929730944,NA,NA,NA
2016,Jedaida,7260,3662.9463414634142,6454.6525866427,NA,NA,NA
2016,Tebourba,2630,1492.273170731707,2354.141436836488,NA,NA,NA
2016,El Batane,3660,2170.673170731707,3251.1891254282987,NA,NA,NA
2017,Manouba,395,160,358.9451216087176,NA,NA,NA
2017,Douar Hicher,NA,NA,NA,NA,NA,NA
2017,Oued Ellil,1715,737.978536585366,1590.619558501376,NA,NA,NA
2017,Mornagia,1100,389.5648780487806,996.399483233163,NA,NA,NA
2017,Borj El Amri,2770,882.007804878049,2504.5722631017243,NA,NA,NA
2017,Jedaida,7260,2430,6663.107341459305,NA,NA,NA
2017,Tebourba,2630,989.6868292682927,2430.1690726282086,NA,NA,NA
2017,El Batane,3660,1439.6068292682928,3356.187159467506,NA,NA,NA
2018,Manouba,395,145,357.475,NA,NA,NA
2018,Douar Hicher,NA,NA,NA,NA,NA,NA
2018,Oued Ellil,1715,665,1552.075,NA,NA,NA
2018,Mornagia,1100,350,995.5,NA,NA,NA
2018,Borj El Amri,2770,795.438048780488,2506.85,NA,NA,NA
2018,Jedaida,7260,2190,6570.3,NA,NA,NA
2018,Tebourba,2630,895,2380.15,NA,NA,NA
2018,El Batane,3660,1300,3312.3,NA,NA,NA
2019,Manouba,395,171.37980085348505,362.95568162669207,NA,NA,NA
2019,Douar Hicher,NA,NA,NA,NA,NA,NA
2019,Oued Ellil,1715,790.4663414634148,1608.3918440712239,NA,NA,NA
2019,Mornagia,1100,417.27219512195137,1007.5324383530866,NA,NA,NA
2019,Borj El Amri,2770,944.7395121951222,2532.556310734146,NA,NA,NA
2019,Jedaida,7260,2602.8307254623046,6737.55546817952,NA,NA,NA
2019,Tebourba,2630,1060.0770731707319,2457.32179969668,NA,NA,NA
2019,El Batane,3660,1541.997073170732,3393.686457338651,NA,NA,NA
2020,Manouba,395,200,370,NA,NA,NA
2020,Douar Hicher,NA,0,NA,NA,NA,NA
2020,Oued Ellil,1715,925,1610,NA,NA,NA
2020,Mornagia,1100,490,1020,NA,NA,NA
2020,Borj El Amri,2770,1105,2550,NA,NA,NA
2020,Jedaida,7260,3045,6750,NA,NA,NA
2020,Tebourba,2630,1240,2460,NA,NA,NA
2020,El Batane,3660,1805,3400,NA,NA,NA
2021,Manouba,395,175.8683314415437,362.61,NA,NA,NA
2021,Douar Hicher,0,0,NA,NA,NA,NA
2021,Oued Ellil,1715,813.3910329171396,1574.3700000000001,NA,NA,NA
