gouvernorat_alwlayt,abar_ʿmyqt_sondage,alsdwd_grand_barrage,alsdwd_barrage_collinaire,abar_sthyt_puit_de_surface,dkh_ʿly_awdyt_ponpage_sur_oued,almyah_almʿaljt_eau_usee,autres_sources,region_id,matched_region_ar,matched_region_fr
تونس,NA,NA,NA,NA,0 020,NA,NA,1,تونس,tunis
أريانة,NA,2020,NA,NA,NA,0 350,NA,21,أريانة,ariana
منوبة,6340,NA,NA,NA,NA,NA,NA,774,منوبة,mnouba
بن عروس,1040,3550,0 080,0 290,NA,NA,NA,19,بن عروس,ben arous
نابل,1500,20230,0 400,NA,NA,0 500,NA,11,نابل,nabeul
بنزرت,0 370,6300,0 110,0 460,NA,NA,NA,15,بنزرت,bizerte
باجة,0 150,9700,NA,NA,NA,NA,0 290,28,باجة,baja
جندوبة,3520,22190,NA,NA,NA,NA,NA,37,جندوبة,jndouba
الكاف,1160,0 060,0 130,NA,NA,NA,0 210,36,الكاف,alkaf
سليانة,1040,0 490,0 180,NA,NA,0 090,0 120,770,سليانة,sliana
زغوان,1560,NA,0 100,NA,NA,NA,NA,318,زغوان,zghouan
سوسة,1100,2090,NA,NA,NA,0 370,NA,12,سوسة,sousse
المنستير,0 970,1660,NA,NA,NA,0 010,NA,20,المنستير,monastir
المهدية,1540,NA,NA,NA,NA,NA,NA,35,المهدية,almhdia
صفاقس,1500,NA,NA,NA,NA,0 290,NA,10,صفاقس,sfax
القيروان,6190,7700,NA,NA,NA,0 320,NA,13,القيروان,kairouan
القصرين,9310,NA,0 410,0 280,NA,0 130,0 220,18,القصرين,kasserine
سيدي بوزيد,5850,NA,NA,NA,NA,NA,NA,167,سيدي بوزيد,sidi bouzid
قفصة,6950,NA,NA,NA,NA,NA,NA,16,قفصة,gafsa
قابس,13430,NA,NA,NA,NA,NA,NA,14,قابس,gabès
مدنين,0 280,NA,NA,NA,NA,0 060,NA,26,مدنين,mdnin
توزر,6960,NA,NA,NA,NA,NA,0 180,45,توزر,touzr
قبلي,10520,NA,NA,NA,NA,NA,NA,46,قبلي,qbli
تطاوين,4120,NA,NA,NA,NA,NA,NA,5,تطاوين,tataouine
