alwlayt_gouvernorat,aʿlaf_fourrage,bqwlyat_legumineuse,cult_industrielles_zraʿat_snaʿyt,region_id,matched_region_ar,matched_region_fr
تونس,60,NA,NA,1,تونس,tunis
أريانة,1400,70,170,21,أريانة,ariana
منوبة,300,NA,60,774,منوبة,mnouba
بن عروس,20,NA,NA,19,بن عروس,ben arous
نابل,2180,540,3260,11,نابل,nabeul
بنزرت,1880,420,640,15,بنزرت,bizerte
باجة,1320,10,260,28,باجة,baja
جندوبة,5150,2380,1490,37,جندوبة,jndouba
الكاف,2750,NA,NA,36,الكاف,alkaf
سليانة,330,NA,NA,770,سليانة,sliana
زغوان,160,510,NA,318,زغوان,zghouan
سوسة,1550,NA,NA,12,سوسة,sousse
المنستير,230,NA,NA,20,المنستير,monastir
المهدية,1170,NA,NA,35,المهدية,almhdia
صفاقس,410,NA,NA,10,صفاقس,sfax
القيروان,5650,NA,NA,13,القيروان,kairouan
القصرين,1890,NA,NA,18,القصرين,kasserine
سيدي بوزيد,6570,NA,340,167,سيدي بوزيد,sidi bouzid
قفصة,1280,NA,70,16,قفصة,gafsa
قابس,5770,60,270,14,قابس,gabès
مدنين,310,NA,NA,26,مدنين,mdnin
توزر,260,NA,NA,45,توزر,touzr
قبلي,7450,NA,NA,46,قبلي,qbli
تطاوين,120,NA,NA,5,تطاوين,tataouine
