gouvernorat_wlayt,zytwn_zyt_olivier_huile,zytwn_maydt_olivier_table,ʿnb_tawlt_raisin_table,ʿnb_thwyl_raisin_cuve,nkhyl_palmier,qwars_agrume,tfah_pommier,ajas_poirier,mshmsh_pecher,khwkh_abricotier,lwz_amandier,rman_grenadier,ʿwynt_prunier,fstq_pistachier,sfrjl_cognier,tyn_figuier,autres,amandier_olivier,olivier_autres,pommier_poirier,palmier_autres,divers_en_intercalaire,region_id,matched_region_ar,matched_region_fr
تونس,90,10,NA,NA,NA,NA,10,10,NA,20,10,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,تونس,tunis
أريانة,190,20,80,NA,NA,280,140,100,10,60,30,110,40,20,10,10,20,NA,NA,NA,NA,NA,21,أريانة,ariana
منوبة,380,260,70,540,NA,450,1230,1100,70,2260,260,580,300,NA,40,50,NA,NA,150,NA,NA,130,774,منوبة,mnouba
بن عروس,220,470,2430,260,NA,1940,220,110,70,1730,110,140,100,10,20,60,70,NA,NA,NA,NA,NA,19,بن عروس,ben arous
نابل,1000,100,1200,300,NA,18950,280,180,230,770,300,330,430,NA,20,30,230,NA,NA,NA,NA,170,11,نابل,nabeul
بنزرت,400,180,470,360,NA,920,650,140,120,410,80,130,10,30,NA,50,360,NA,NA,20,NA,150,15,بنزرت,bizerte
باجة,640,250,100,260,NA,530,80,90,200,240,250,1130,100,NA,NA,300,250,NA,NA,360,NA,1290,28,باجة,baja
جندوبة,NA,NA,50,NA,NA,1050,100,40,10,120,NA,210,90,NA,10,NA,NA,NA,NA,200,NA,40,37,جندوبة,jndouba
الكاف,1830,60,50,NA,NA,NA,290,10,0,60,750,30,10,NA,NA,70,NA,10,170,90,NA,10,36,الكاف,alkaf
سليانة,660,70,30,NA,NA,30,770,120,60,130,130,60,50,NA,NA,160,210,150,100,160,NA,NA,770,سليانة,sliana
زغوان,3750,1000,350,30,NA,190,100,100,80,430,890,120,80,20,NA,NA,80,100,40,NA,NA,170,318,زغوان,zghouan
سوسة,2050,210,50,80,NA,20,90,60,20,130,120,470,30,NA,NA,NA,40,180,670,NA,NA,120,12,سوسة,sousse
المنستير,NA,10,NA,NA,NA,NA,60,30,10,160,NA,210,NA,NA,NA,NA,NA,NA,170,30,NA,400,20,المنستير,monastir
المهدية,990,190,NA,NA,NA,NA,30,NA,10,130,90,30,NA,NA,NA,NA,40,20,70,NA,NA,70,35,المهدية,almhdia
صفاقس,8400,650,20,NA,NA,NA,NA,NA,NA,10,850,NA,NA,NA,NA,NA,NA,70,250,NA,NA,30,10,صفاقس,sfax
القيروان,12740,1280,50,NA,NA,1540,1320,300,3270,980,760,1820,120,90,NA,190,80,430,2330,10,NA,620,13,القيروان,kairouan
القصرين,17980,100,NA,NA,NA,30,8420,NA,300,2100,2820,NA,NA,1290,NA,110,1270,2450,4020,310,NA,540,18,القصرين,kasserine
سيدي بو زيد,21000,1010,820,NA,NA,230,190,40,70,950,2960,260,50,150,NA,50,40,2520,260,NA,NA,60,167,سيدي بوزيد,sidi bouzid
قفصة,9120,NA,NA,NA,1920,NA,50,50,480,190,830,280,NA,1560,NA,130,520,1070,1400,70,280,520,16,قفصة,gafsa
قابس,6280,NA,30,NA,210,NA,NA,NA,NA,NA,280,2150,NA,NA,NA,30,160,NA,3610,NA,3310,110,14,قابس,gabès
مدنين,2050,50,190,NA,NA,10,10,NA,20,70,20,20,NA,NA,NA,30,20,30,210,NA,10,50,26,مدنين,mdnin
توزر,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9330,NA,45,توزر,touzr
قبلي,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36640,NA,46,قبلي,qbli
تطاوين,5910,NA,NA,NA,140,NA,60,NA,20,280,100,80,NA,60,NA,460,80,60,770,NA,60,NA,5,تطاوين,tataouine
