alwlayt_gouvernorat,alhbwb_cereale,alaʿlaf_fourrage,albqwlyat_legumineuse,alkhdrwat_maraichage,ashjar_arboriculture,zraʿat_snaʿyt_cultures_industrielles,alzraʿat_almtdakhlt_cultures_intercalaires,region_id,matched_region_ar,matched_region_fr
تونس,NA,NA,NA,10,10,NA,NA,1,تونس,tunis
أريانة,200,990,70,680,880,170,NA,21,أريانة,ariana
منوبة,NA,190,NA,930,5690,40,300,774,منوبة,mnouba
بن عروس,270,20,NA,NA,4710,NA,10,19,بن عروس,ben arous
نابل,300,1100,NA,9530,18240,1770,1000,11,نابل,nabeul
بنزرت,NA,1700,410,5000,2770,550,NA,15,بنزرت,bizerte
باجة,1610,1270,10,3180,3940,160,20,28,باجة,baja
جندوبة,17790,4490,2120,6830,1720,1100,170,37,جندوبة,jndouba
الكاف,450,190,NA,240,680,NA,NA,36,الكاف,alkaf
سليانة,700,170,NA,120,950,NA,NA,770,سليانة,sliana
زغوان,40,30,40,970,1700,NA,400,318,زغوان,zghouan
سوسة,400,1100,NA,1050,3040,NA,1760,12,سوسة,sousse
المنستير,NA,NA,NA,2030,610,NA,NA,20,المنستير,monastir
المهدية,NA,300,NA,990,460,NA,190,35,المهدية,almhdia
صفاقس,10,410,NA,420,1550,NA,600,10,صفاقس,sfax
القيروان,2650,1590,NA,3290,10340,NA,2460,13,القيروان,kairouan
القصرين,840,660,NA,740,9260,NA,820,18,القصرين,kasserine
سيدي بوزيد,550,700,NA,2040,4740,NA,2180,167,سيدي بوزيد,sidi bouzid
قفصة,NA,330,NA,90,6900,NA,300,16,قفصة,gafsa
قابس,NA,4900,NA,4980,11310,270,1240,14,قابس,gabès
مدنين,NA,10,NA,80,530,NA,80,26,مدنين,mdnin
توزر,NA,250,NA,930,8020,NA,1180,45,توزر,touzr
قبلي,NA,2470,NA,640,10520,NA,NA,46,قبلي,qbli
تطاوين,70,80,NA,200,3930,NA,140,5,تطاوين,tataouine
