alwlayt_gouvernorat,alhbwb_cereale,alaʿlaf_fourrage,albqwlyat_legumineuse,alkhdrwat_maraichage,ashjar_arboriculture,zraʿat_snaʿyt_cultures_industrielles,alzraʿat_almtdakhlt_cultures_intercalaires,region_id,matched_region_ar,matched_region_fr
تونس,70,60,NA,60,150,NA,10,1,تونس,tunis
أريانة,NA,410,NA,650,240,NA,60,21,أريانة,ariana
منوبة,NA,110,NA,1250,2180,20,300,774,منوبة,mnouba
بن عروس,130,NA,NA,390,3250,NA,NA,19,بن عروس,ben arous
نابل,480,1080,540,19220,6280,1490,3030,11,نابل,nabeul
بنزرت,NA,180,10,510,1710,90,NA,15,بنزرت,bizerte
باجة,480,50,NA,1150,2130,100,NA,28,باجة,baja
جندوبة,1970,660,260,930,200,390,NA,37,جندوبة,jndouba
الكاف,2610,2560,NA,2060,2760,NA,360,36,الكاف,alkaf
سليانة,760,160,NA,890,1940,NA,NA,770,سليانة,sliana
زغوان,450,130,470,3210,5830,NA,1710,318,زغوان,zghouan
سوسة,500,450,NA,2380,1300,NA,700,12,سوسة,sousse
المنستير,NA,230,NA,810,470,NA,70,20,المنستير,monastir
المهدية,NA,870,NA,1500,1210,NA,270,35,المهدية,almhdia
صفاقس,60,NA,NA,7850,8730,NA,2990,10,صفاقس,sfax
القيروان,19140,4060,NA,15880,17590,NA,7510,13,القيروان,kairouan
القصرين,2660,1230,NA,1940,32480,NA,3350,18,القصرين,kasserine
سيدي بوزيد,4950,5870,NA,19520,25920,340,11130,167,سيدي بوزيد,sidi bouzid
قفصة,40,950,NA,3860,11570,70,300,16,قفصة,gafsa
قابس,60,870,60,2250,4860,NA,1010,14,قابس,gabès
مدنين,320,300,NA,1630,2260,NA,390,26,مدنين,mdnin
توزر,NA,10,NA,NA,1310,NA,NA,45,توزر,touzr
قبلي,NA,4980,NA,1110,26120,NA,6090,46,قبلي,qbli
تطاوين,30,40,NA,310,4150,NA,140,5,تطاوين,tataouine
