annee,delegation,superficie_irrigable_hectare,superficie_irriguee_hectare,superficie_exploitee_hectare,region_id,matched_region_ar,matched_region_fr
2016,Sidi Hassine,140,"41,5","57,937",NA,NA,NA
2017,Sidi Hassine,140,23,"35,5",NA,NA,NA
2018,Sidi Hassine,140,"20,25","35,5",NA,NA,NA
2020,Sidi Hassine,140,18.25,23.25,NA,NA,NA
2021,Sidi Hassine,140,23.5,26,NA,NA,NA
2022,Sidi Hassine,160,15.1,23.45,NA,NA,NA
2023,Sidi Hassine,160,16.75,17.75,NA,NA,NA
2024*,Sidi Hassine,160,4,4,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,*تم إيقاف تزويد المنطقة السقوية العمومية بالمغيرة إنزال من قنال مجردة الوطن القبلي عملا بالمنشور الوزاري عدد 941 المؤرخ في 29 مارس 2023 نظرا لتراجع منسوب المياه بالسدود.,NA,NA,NA,NA,NA,NA
