annee,delegation,superficies_irrigables_ha,superficies_irriguees_ha,superficies_exploitees_ha,code_geographique,region_id,matched_region_ar,matched_region_fr
2014,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2014,سكرة,409,276,276,1252,1162,سكرة,skra
2014,رواد,400,86,183,1253,247,رواد,rouad
2014,قلعة الأندلس,5705,759,1754,1254,775,قلعة الأندلس,qlaa alandls
2014,سيدي ثابت,5046,2097,2363,1255,171,سيدي ثابت,sidi thabt
2014,حي التضامن,0,0,0,1256,NA,NA,NA
2014,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2014,المجمـوع,11560,3218,4576,NA,NA,NA,NA
2015,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2015,سكرة,409,264,264,1252,1162,سكرة,skra
2015,رواد,400,270,288,1253,247,رواد,rouad
2015,قلعة الأندلس,5705,1346.5,1409,1254,775,قلعة الأندلس,qlaa alandls
2015,سيدي ثابت,5046,2162.3,2249,1255,171,سيدي ثابت,sidi thabt
2015,حي التضامن,0,0,0,1256,NA,NA,NA
2015,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2015,المجمـوع,11560,4042.8,4210,NA,NA,NA,NA
2016,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2016,سكرة,409,155.26999999999998,156.27,1252,1162,سكرة,skra
2016,رواد,400,301,341,1253,247,رواد,rouad
2016,قلعة الأندلس,5705,1331.8,1432,1254,775,قلعة الأندلس,qlaa alandls
2016,سيدي ثابت,5046,2072.35,2228,1255,171,سيدي ثابت,sidi thabt
2016,حي التضامن,0,0,0,1256,NA,NA,NA
2016,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2016,المجمـوع,11560,3860.42,4157.27,NA,NA,NA,NA
2017,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2017,سكرة,409,148,148,1252,1162,سكرة,skra
2017,رواد,400,196,276,1253,247,رواد,rouad
2017,قلعة الأندلس,5705,869,1042,1254,775,قلعة الأندلس,qlaa alandls
2017,سيدي ثابت,5046,1901,1999,1255,171,سيدي ثابت,sidi thabt
2017,حي التضامن,0,0,0,1256,NA,NA,NA
2017,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2017,المجمـوع,11560,3114,3465,NA,NA,NA,NA
2018,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2018,سكرة,409,167.26999999999998,167.26999999999998,1252,1162,سكرة,skra
2018,رواد,400,195,237,1253,247,رواد,rouad
2018,قلعة الأندلس,5705,470.8,649.8,1254,775,قلعة الأندلس,qlaa alandls
2018,سيدي ثابت,5046,1681.75,1856.5,1255,171,سيدي ثابت,sidi thabt
2018,حي التضامن,0,0,0,1256,NA,NA,NA
2018,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2018,المجمـوع,11560,2514.8199999999997,2910.5699999999997,NA,NA,NA,NA
2019,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2019,سكرة,409,143.26999999999998,143.26999999999998,1252,1162,سكرة,skra
2019,رواد,400,195,265,1253,247,رواد,rouad
2019,قلعة الأندلس,5705,683.3,800.3,1254,775,قلعة الأندلس,qlaa alandls
2019,سيدي ثابت,5046,1654.25,1855,1255,171,سيدي ثابت,sidi thabt
2019,حي التضامن,0,0,0,1256,NA,NA,NA
2019,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2019,المجمـوع,11560,2675.8199999999997,3063.5699999999997,NA,NA,NA,NA
2020,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2020,سكرة,409,145,145,1252,1162,سكرة,skra
2020,رواد,400,190,304,1253,247,رواد,rouad
2020,قلعة الأندلس,5705,1623,1775,1254,775,قلعة الأندلس,qlaa alandls
2020,سيدي ثابت,5046,1931,2001,1255,171,سيدي ثابت,sidi thabt
2020,حي التضامن,0,0,0,1256,NA,NA,NA
2020,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2020,المجمـوع,11560,3889,4225,NA,NA,NA,NA
2021,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2021,سكرة,409,130,145,1252,1162,سكرة,skra
2021,رواد,400,20,285,1253,247,رواد,rouad
2021,قلعة الأندلس,5705,733.35,1256.35,1254,775,قلعة الأندلس,qlaa alandls
2021,سيدي ثابت,5046,1658.55,1777.5,1255,171,سيدي ثابت,sidi thabt
2021,حي التضامن,0,0,0,1256,NA,NA,NA
2021,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2021,المجمـوع,11560,2541.9,3463.85,NA,NA,NA,NA
2022,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2022,سكرة,409,146,146,1252,1162,سكرة,skra
2022,رواد,400,190,199,1253,247,رواد,rouad
2022,قلعة الأندلس,5705,694.9,974.15,1254,775,قلعة الأندلس,qlaa alandls
2022,سيدي ثابت,5046,1288.5,1189,1255,171,سيدي ثابت,sidi thabt
2022,حي التضامن,0,0,0,1256,NA,NA,NA
2022,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2022,المجمـوع,11560,2319.4,2508.15,NA,NA,NA,NA
2023,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2023,سكرة,409,155,158,1252,1162,سكرة,skra
2023,رواد,400,111,123,1253,247,رواد,rouad
2023,قلعة الأندلس,5705,429,489,1254,775,قلعة الأندلس,qlaa alandls
2023,سيدي ثابت,5046,1489,1582.5,1255,171,سيدي ثابت,sidi thabt
2023,حي التضامن,0,0,0,1256,NA,NA,NA
2023,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2023,المجمـوع,11560,2184,2352.5,NA,NA,NA,NA
2024,أريانة المدينة,0,0,0,1251,341,أريانة الجديدة,ariana aljdida
2024,سكرة,409,94,95.81935483870967,1252,1162,سكرة,skra
2024,رواد,400,120,132.97297297297297,1253,247,رواد,rouad
2024,قلعة الأندلس,5705,341,388.6923076923077,1254,775,قلعة الأندلس,qlaa alandls
2024,سيدي ثابت,5046,1200,1275.3525856279382,1255,171,سيدي ثابت,sidi thabt
2024,حي التضامن,0,0,0,1256,NA,NA,NA
2024,المنيهلة,0,0,0,1257,1163,المنيهلة,almnihla
2024,المجمـوع,11560,1755,1892.8372211319286,NA,NA,NA,NA
