gouvernorat_alwlayt,tmatm_bdryt_tomate_primeur,tmatm_fslyt_tomate_saison,tmatm_akhr_fslyt_arriere_saison,flfl_bdry_piment_primeur,flfl_fsly_piment_saison,btata_akhr_fslyt_pomme_de_terre_as,btata_bdryt_pomme_de_terre_primeur,btata_fslyt_pomme_de_terre_saison,qnaryt_artichaut,bsl_akhdr_oignon_vert,bsl_syfy_oignon_ete,thwm_ail,btykh_pasteque,dlaʿ_melon,fwl_akhdr_feve_vert,jlbant_petitpois,bsbas_fenouille,khdrwat_akhry_divers_legumes_racine,khdrwat_wrqyt_legumes_feuilles,autres,region_id,matched_region_ar,matched_region_fr
الولاية,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584,الوسلاتية,alouslatia
تونس,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,50,1,تونس,tunis
أريانة,NA,20,30,10,NA,20,NA,20,560,80,10,NA,60,10,20,40,80,120,90,160,21,أريانة,ariana
منوبة,NA,520,NA,NA,40,130,NA,90,550,120,50,10,30,40,20,40,120,100,140,180,774,منوبة,mnouba
بن عروس,NA,NA,NA,NA,10,NA,NA,NA,10,40,20,NA,20,60,20,NA,20,20,80,90,19,بن عروس,ben arous
نابل,50,5190,100,10,3400,1900,700,3820,10,1000,450,100,400,420,300,500,1500,2400,3500,3000,11,نابل,nabeul
بنزرت,50,280,20,NA,300,NA,NA,1040,1220,280,70,NA,150,130,150,60,340,290,700,430,15,بنزرت,bizerte
باجة,NA,500,NA,NA,350,270,NA,180,190,220,360,80,580,650,30,200,230,40,50,400,28,باجة,baja
جندوبة,NA,1200,300,NA,300,2310,NA,800,20,200,400,60,400,500,380,360,150,150,180,50,37,جندوبة,jndouba
الكاف,NA,280,100,NA,260,20,NA,NA,10,110,70,40,120,60,100,40,160,340,480,110,36,الكاف,alkaf
سليانة,NA,130,10,NA,50,NA,NA,80,NA,80,80,60,60,140,30,20,30,80,100,60,770,سليانة,sliana
زغوان,NA,760,40,NA,450,170,NA,110,60,140,120,10,50,500,100,400,120,100,450,600,318,زغوان,zghouan
سوسة,10,170,40,20,450,390,330,460,20,70,40,NA,40,110,380,280,70,180,170,200,12,سوسة,sousse
المنستير,90,20,320,70,80,320,660,340,NA,60,60,NA,20,10,NA,NA,NA,150,200,440,20,المنستير,monastir
المهدية,40,60,90,70,280,250,80,210,NA,60,80,NA,120,120,230,90,20,500,90,100,35,المهدية,almhdia
صفاقس,310,260,620,400,940,240,230,70,NA,310,180,NA,500,650,410,440,10,460,1300,940,10,صفاقس,sfax
القيروان,NA,1500,600,NA,6500,1250,NA,600,NA,750,710,NA,650,650,1200,3810,NA,500,220,230,13,القيروان,kairouan
القصرين,NA,1380,200,80,180,NA,NA,260,NA,20,20,40,80,90,100,20,NA,20,20,170,18,القصرين,kasserine
سيدي بوزيد,60,1200,650,300,2400,1800,NA,1100,NA,1800,3000,800,750,850,1050,1400,150,2500,550,1200,167,سيدي بوزيد,sidi bouzid
قفصة,NA,820,70,NA,110,790,NA,750,NA,100,110,70,70,NA,220,50,NA,290,270,230,16,قفصة,gafsa
قابس,NA,940,NA,NA,830,400,NA,NA,NA,330,NA,NA,750,1140,NA,860,NA,1100,750,130,14,قابس,gabès
مدنين,NA,20,20,NA,180,40,NA,NA,NA,170,170,NA,60,110,20,30,NA,300,460,130,26,مدنين,mdnin
توزر,NA,50,NA,NA,100,10,NA,NA,NA,40,100,NA,NA,NA,80,NA,NA,60,390,100,45,توزر,touzr
قبلي,10,NA,NA,NA,70,10,NA,NA,NA,190,180,80,110,120,60,NA,NA,180,480,260,46,قبلي,qbli
تطاوين,NA,30,30,10,100,40,NA,20,NA,30,70,NA,30,20,NA,NA,NA,60,30,40,5,تطاوين,tataouine
