annee,delegation_ar,nom_perimetre_ar,source_irriguation_ar,superficie_amenagee_ha,nombre_beneficiaires,annee_debut_exploitation,gere_par_ar,nom_groupement_ar,technique_dirrigation_ar,region_id,matched_region_ar,matched_region_fr
2023,سيدي بوعلي,سيدي بوعلي,سدود كبرى (نبهانة),952,571,1973,المجمع,سيدي بوعلي,قطرة قطرة,861,سيدي بوعلي,sidi bouali
2023,أكودة,شط مريم,سدود كبرى (نبهانة),576,357,1973,المجمع,شط مريم,قطرة قطرة,265,أكودة,akouda
2023,أكودة,شط الرمان,سدود كبرى (نبهانة),205,170,1973,المجمع,شط الرمان,قطرة قطرة,265,أكودة,akouda
2023,القلعة الكبرى,الشياب,سدود كبرى (نبهانة),180,71,2001,المجمع,الشياب,قطرة قطرة,34,القلعة الكبرى,alqlaa alkbra
2023,القلعة الكبرى,بلعوم -بلعوم 1 -البورة 2,سدود كبرى (نبهانة),360,200,2001,المجمع,بلعوم,قطرة قطرة,34,القلعة الكبرى,alqlaa alkbra
2023,القلعة الكبرى,أهل جميع,آبار عميقة,13,30,1990,المجمع,أهل جميع 1,قطرة قطرة,34,القلعة الكبرى,alqlaa alkbra
2023,القلعة الكبرى,أهل جميع 2,آبار عميقة,40,30,1991,المجمع,أهل جميع 2,قطرة قطرة,34,القلعة الكبرى,alqlaa alkbra
2023,القلعة الكبرى,بلعوم 4,آبار عميقة,14,10,2003,المجمع,بلعوم 4,قطرة قطرة,34,القلعة الكبرى,alqlaa alkbra
2023,النفيضة,قريميط 1,آبار عميقة,40,25,2003,المجمع,قريميط 1,قطرة قطرة,419,النفيضة,alnfida
2023,النفيضة,قريميط 2,آبار عميقة,70,19,1997,المجمع,قريميط 2,قطرة قطرة,419,النفيضة,alnfida
2023,النفيضة,قريميط 4,آبار عميقة,24,17,0,المجمع,قريميط 4,قطرة قطرة,419,النفيضة,alnfida
2023,النفيضة,رميل 2-3,آبار عميقة,101,42,1998,المجمع,رميل 2-3,قطرة قطرة,419,النفيضة,alnfida
2023,النفيضة,واد موسى,سدود تلية (سد وادي موسى),156,22,1999,المجمع,واد موسى,قطرة قطرة,419,النفيضة,alnfida
2023,النفيضة,هيشر 2,آبار عميقة,70,21,1992,المجمع,هيشر 2,قطرة قطرة,419,النفيضة,alnfida
2023,النفيضة,أولاد عبد الله,آبار عميقة,43,15,2003,المجمع,أولاد عبد الله,قطرة قطرة,419,النفيضة,alnfida
2023,النفيضة,الصفحة 2,آبار عميقة,40,32,2004,المجمع,الصفحة 2,قطرة قطرة,419,النفيضة,alnfida
2023,النفيضة,القارصي 10/9,آبار عميقة,36,10,2003,المجمع,القارصي 9/10,قطرة قطرة,419,النفيضة,alnfida
2023,بوفيشة,وادي الخروب 3,آبار عميقة,78,37,2003,المجمع,وادي الخروب 3,قطرة قطرة,319,بوفيشة,bouficha
2023,بوفيشة,مداس النوارة 2,آبار عميقة,32,17,0,المجمع,مداس النوارة 2,قطرة قطرة,319,بوفيشة,bouficha
