annee,delegation,superficie_irrigable_hectares,superficie_irriguee_hectares,superficie_exploitee_hectares,region_id,matched_region_ar,matched_region_fr
2016,Carthage,5,5,7,NA,NA,NA
2016,الزهور,10,6,6,206,الزهور,alzhour
2016,الحرايرية,52,"27,5",25,786,الحرايرية,alhrairia
2016,سيدي حسين,313,200,"210,263",785,سيدي حسين,sidi hsin
2016,الكرم,2,0,0,231,الكرم,alkrm
2016,المرسى,90,50,73,17,المرسى,la marsa
2017,قرطاج,3,3,"4,25",234,قرطاج,qrtaj
2017,الزهور,"10,5",4,8,206,الزهور,alzhour
2017,الحرايرية,"47,5",25,30,786,الحرايرية,alhrairia
2017,سيدي حسين,314,256,"277,75",785,سيدي حسين,sidi hsin
2017,الكرم,2,0,0,231,الكرم,alkrm
2017,المرسى,95,64,84,17,المرسى,la marsa
2018,قرطاج,3,2,2,234,قرطاج,qrtaj
2018,الزهور,11,2,3,206,الزهور,alzhour
2018,الحرايرية,48,18,18,786,الحرايرية,alhrairia
2018,سيدي حسين,316,228,255,785,سيدي حسين,sidi hsin
2018,الكرم,0,0,0,231,الكرم,alkrm
2018,المرسى,90,50,55,17,المرسى,la marsa
2020,قرطاج,3,1,1,234,قرطاج,qrtaj
2020,تونس المدينة,NA,NA,NA,NA,NA,NA
2020,باب بحر,NA,NA,NA,840,باب البحر,bab albhr
2020,باب سويقة,NA,NA,NA,355,باب سويقة,bab souiqa
2020,العمران,NA,NA,NA,563,الزعفران,alzafran
2020,العمران الأعلى,NA,NA,NA,NA,NA,NA
2020,التحرير,NA,NA,NA,NA,NA,NA
2020,المنزه,NA,NA,NA,251,المنزه 6,almnzh 6
2020,حي الخضراء,NA,NA,NA,266,حي الخضراء,hi alkhdra
2020,باردو,NA,NA,NA,23,باردو,bardou
2020,السيجومي,NA,NA,NA,203,السيجومي,alsijoumi
2020,الزهور,11,2,2,206,الزهور,alzhour
2020,الحرايرية,48,12,12,786,الحرايرية,alhrairia
2020,سيدي حسين,316,176.75,200,785,سيدي حسين,sidi hsin
2020,الوردية,NA,NA,NA,1219,القوادرية,alqouadria
2020,الكبارية,NA,NA,NA,1438,الكبارة,alkbara
2020,سيدي البشير,NA,NA,NA,337,سيدي البشير,sidi albchir
2020,جبل الجلود,NA,NA,NA,789,جبل الجلود,jbl aljloud
2020,حلق الوادي,NA,NA,NA,7,حلق الوادي,la goulette
2020,الكرم,0,0,0,231,الكرم,alkrm
2020,المرسى,80,35,39.75,17,المرسى,la marsa
2021,قرطاج,3,1,1,234,قرطاج,qrtaj
2021,تونس المدينة,NA,NA,NA,NA,NA,NA
2021,باب بحر,NA,NA,NA,840,باب البحر,bab albhr
2021,باب سويقة,NA,NA,NA,355,باب سويقة,bab souiqa
2021,العمران,NA,NA,NA,563,الزعفران,alzafran
2021,العمران الأعلى,NA,NA,NA,NA,NA,NA
2021,التحرير,NA,NA,NA,NA,NA,NA
2021,المنزه,NA,NA,NA,251,المنزه 6,almnzh 6
2021,حي الخضراء,NA,NA,NA,266,حي الخضراء,hi alkhdra
2021,باردو,NA,NA,NA,23,باردو,bardou
2021,السيجومي,NA,NA,NA,203,السيجومي,alsijoumi
2021,الزهور,11,2,2,206,الزهور,alzhour
2021,الحرايرية,48,12,12,786,الحرايرية,alhrairia
2021,سيدي حسين,316,116.5,149.5,785,سيدي حسين,sidi hsin
2021,الوردية,NA,NA,NA,1219,القوادرية,alqouadria
2021,الكبارية,NA,NA,NA,1438,الكبارة,alkbara
2021,سيدي البشير,NA,NA,NA,337,سيدي البشير,sidi albchir
2021,جبل الجلود,NA,NA,NA,789,جبل الجلود,jbl aljloud
2021,حلق الوادي,NA,NA,NA,7,حلق الوادي,la goulette
2021,الكرم,0,0,0,231,الكرم,alkrm
2021,المرسى,80,35,39.5,17,المرسى,la marsa
2022,قرطاج,4,2.5,5,234,قرطاج,qrtaj
2022,تونس المدينة,NA,NA,NA,NA,NA,NA
2022,باب بحر,NA,NA,NA,840,باب البحر,bab albhr
