annee,barrage,latitude,longitude,quantite_deau_produite_par_barrage_million_m3,region_id,matched_region_ar,matched_region_fr
2014,Sidi_Salem,36.5907,9.39706,283.76265,1690,sidi salem,sidi salem
2014,Sejnene,37.181,9.47513,94.04958,NA,NA,NA
2014,Joumine,36.9909,9.61373,47.68994,413,جومين,joumin
2014,Maleh,37.0359,9.41093,NA,NA,NA,NA
2014,Nabhana,36.06,9.87235,29.787231,NA,NA,NA
2014,Sidi El Barrak,37.0261,8.93618,10.517263,NA,NA,NA
2014,Barbara,36.7341,8.53173,2.223306,NA,NA,NA
2014,Ziatine,37.1856,9.20109,NA,1756,zian,zian
2014,Ettine,36.8644,9.62805,NA,NA,NA,NA
2015,Sidi_Salem,36.5907,9.39706,294.383147,1690,sidi salem,sidi salem
2015,Sejnene,37.181,9.47513,101.98068,NA,NA,NA
2015,Joumine,36.9909,9.61373,49.08287,413,جومين,joumin
2015,Maleh,37.0359,9.41093,NA,NA,NA,NA
2015,Nabhana,36.06,9.87235,27.656911,NA,NA,NA
2015,Sidi El Barrak,37.0261,8.93618,11.835224,NA,NA,NA
2015,Barbara,36.7341,8.53173,2.042553,NA,NA,NA
2015,Ziatine,37.1856,9.20109,NA,1756,zian,zian
2015,Ettine,36.8644,9.62805,NA,NA,NA,NA
2016,Sidi_Salem,36.5907,9.39706,316.797981,1690,sidi salem,sidi salem
2016,Sejnene,37.181,9.47513,99.85786,NA,NA,NA
2016,Joumine,36.9909,9.61373,17.15412,413,جومين,joumin
2016,Maleh,37.0359,9.41093,NA,NA,NA,NA
2016,Nabhana,36.06,9.87235,9.421105,NA,NA,NA
2016,Sidi El Barrak,37.0261,8.93618,61.728335,NA,NA,NA
2016,Barbara,36.7341,8.53173,7.491257,NA,NA,NA
2016,Ziatine,37.1856,9.20109,7.248896,1756,zian,zian
2016,Ettine,36.8644,9.62805,NA,NA,NA,NA
2017,Sidi_Salem,36.5907,9.39706,131.704265,1690,sidi salem,sidi salem
2017,Sejnene,37.181,9.47513,233.51889,NA,NA,NA
2017,Joumine,36.9909,9.61373,0.14197,413,جومين,joumin
2017,Maleh,37.0359,9.41093,NA,NA,NA,NA
2017,Nabhana,36.06,9.87235,11.861792,NA,NA,NA
2017,Sidi El Barrak,37.0261,8.93618,178.984462,NA,NA,NA
2017,Barbara,36.7341,8.53173,14.589394,NA,NA,NA
2017,Ziatine,37.1856,9.20109,14.397134,1756,zian,zian
2017,Ettine,36.8644,9.62805,NA,NA,NA,NA
2018,Sidi_Salem,36.5907,9.39706,148.717812,1690,sidi salem,sidi salem
2018,Sejnene,37.181,9.47513,200.522701,NA,NA,NA
2018,Joumine,36.9909,9.61373,10.43225,413,جومين,joumin
2018,Maleh,37.0359,9.41093,10.215907,NA,NA,NA
2018,Nabhana,36.06,9.87235,5.80627,NA,NA,NA
2018,Sidi El Barrak,37.0261,8.93618,105.031955,NA,NA,NA
2018,Barbara,36.7341,8.53173,6.347756,NA,NA,NA
2018,Ziatine,37.1856,9.20109,7.483396,1756,zian,zian
2018,Ettine,36.8644,9.62805,NA,NA,NA,NA
2019,Sidi_Salem,36.5907,9.39706,239.240552,1690,sidi salem,sidi salem
2019,Sejnene,37.181,9.47513,117.910778,NA,NA,NA
2019,Joumine,36.9909,9.61373,38.32338,413,جومين,joumin
2019,Maleh,37.0359,9.41093,12.016908,NA,NA,NA
2019,Nabhana,36.06,9.87235,16.596947,NA,NA,NA
2019,Sidi El Barrak,37.0261,8.93618,26.720478,NA,NA,NA
2019,Barbara,36.7341,8.53173,0.85308,NA,NA,NA
2019,Ziatine,37.1856,9.20109,2.172087,1756,zian,zian
2019,Ettine,36.8644,9.62805,0.60722,NA,NA,NA
2020,Sidi_Salem,36.5907,9.39706,253.722295,1690,sidi salem,sidi salem
2020,Sejnene,37.181,9.47513,148.779548,NA,NA,NA
2020,Joumine,36.9909,9.61373,17.0697,413,جومين,joumin
2020,Maleh,37.0359,9.41093,17.38939,NA,NA,NA
2020,Nabhana,36.06,9.87235,14.407653,NA,NA,NA
2020,Sidi El Barrak,37.0261,8.93618,128.624653,NA,NA,NA
2020,Barbara,36.7341,8.53173,19.596104,NA,NA,NA
2020,Ziatine,37.1856,9.20109,14.354004,1756,zian,zian
2020,Ettine,36.8644,9.62805,10.228892,NA,NA,NA
2021,Sidi_Salem,36.5907,9.39706,215.635902,1690,sidi salem,sidi salem
2021,Sejnene,37.181,9.47513,188.678935,NA,NA,NA
2021,Joumine,36.9909,9.61373,4.210472,413,جومين,joumin
2021,Maleh,37.0359,9.41093,14.953232,NA,NA,NA
2021,Nabhana,36.06,9.87235,9.055539,NA,NA,NA
2021,Sidi El Barrak,37.0261,8.93618,125.483906,NA,NA,NA
2021,Barbara,36.7341,8.53173,36.622864,NA,NA,NA
2021,Ziatine,37.1856,9.20109,13.058389,1756,zian,zian
2021,Ettine,36.8644,9.62805,6.43412,NA,NA,NA
2022,Sidi_Salem,36.5907,9.39706,161.471148,1690,sidi salem,sidi salem
2022,Sejnene,37.181,9.47513,205.294316,NA,NA,NA
2022,Joumine,36.9909,9.61373,21.64902,413,جومين,joumin
2022,Maleh,37.0359,9.41093,19.68008,NA,NA,NA
2022,Nabhana,36.06,9.87235,12.513336,NA,NA,NA
2022,Sidi El Barrak,37.0261,8.93618,133.187717,NA,NA,NA
2022,Barbara,36.7341,8.53173,8.856047,NA,NA,NA
2022,Ziatine,37.1856,9.20109,15.059968,1756,zian,zian
2022,Ettine,36.8644,9.62805,5.81686,NA,NA,NA
2023,Sidi_Salem,36.5907,9.39706,108.090294,1690,sidi salem,sidi salem
2023,Sejnene,37.181,9.47513,240.223026,NA,NA,NA
2023,Joumine,36.9909,9.61373,0.73282,413,جومين,joumin
2023,Maleh,37.0359,9.41093,10.987669,NA,NA,NA
2023,Nabhana,36.06,9.87235,8.226802,NA,NA,NA
2023,Sidi El Barrak,37.0261,8.93618,168.274202,NA,NA,NA
2023,Barbara,36.7341,8.53173,30.318957,NA,NA,NA
2023,Ziatine,37.1856,9.20109,16.341591,1756,zian,zian
2023,Ettine,36.8644,9.62805,NA,NA,NA,NA
2024,Sidi_Salem,36.5907,9.39706,17549014,1690,sidi salem,sidi salem
2024,Sejnene,37.181,9.47513,183643227,NA,NA,NA
2024,Joumine,36.9909,9.61373,1009108,413,جومين,joumin
2024,Maleh,37.0359,9.41093,9465354,NA,NA,NA
2024,Nabhana,36.06,9.87235,606324,NA,NA,NA
2024,Sidi El Barrak,37.0261,8.93618,161179012,NA,NA,NA
2024,Barbara,36.7341,8.53173,14910349,NA,NA,NA
2024,Ziatine,37.1856,9.20109,13635566,1756,zian,zian
2024,Ettine,36.8644,9.62805,183834,NA,NA,NA
