campagne_agricole,gouvernorat,perimetre_irrigue,station_depuration,capacite_de_traitement_actuelle_de_la_step_m3_jour,capacite_de_traitement_potentielle_de_la_step_m3_jour,date_de_mise_en_eau,superficie_amenagee_ha,perimetre_exploite_ha,superficie_irriguee_ha,taux_dintencification_percent,volume_des_eut_distribue_m3_an,region_id,matched_region_ar,matched_region_fr
2021/2022,ARIANA,Soukra,Charguia,40000,43000,1962,409,409,134,0.32762836185819072,442372,21,أريانة,ariana
2021/2022,ARIANA,Borj Touil,"Chotrana I et II, Cotière Nord et Charguia",116000,NA,1989,3145,3145,179,5.6915739268680446E-2,751925,21,أريانة,ariana
2021/2022,BIZERTE,Sidi Ahmed,Sidi Ahmed,NA,NA,NA,174,NF,NF,NA,NA,15,بنزرت,bizerte
2021/2022,NABEUL,Souhil,SE3 et SE4,4500,7000,1982,280,280,311,0.55734767025089604,2250130,11,نابل,nabeul
2021/2022,NABEUL,Haouariet Nabeul,SE3 et SE4,18000,25000,2003,83,83,NA,NA,NA,11,نابل,nabeul
2021/2022,NABEUL,Bir romena,SE4,NA,NA,2002,50,50,NA,NA,NA,11,نابل,nabeul
2021/2022,NABEUL,Messaadi,SE4,NA,NA,1982,70,70,NA,NA,NA,11,نابل,nabeul
2021/2022,NABEUL,"Charki    
( Bni Khiar)",SE4,NA,NA,2002,75,75,NA,NA,NA,11,نابل,nabeul
2021/2022,NABEUL,Kélibia,Kélibia,7500,7500,2002,45,45,33,0.73333333333333328,143000,11,نابل,nabeul
2021/2022,ZAGHOUAN,Sidi Mrayeh,Zaghouan,2500,3000,2014,65,65,41,0.63076923076923075,37412,318,زغوان,zghouan
2021/2022,ZAGHOUAN,El Khdhirat,El Fahs,1500,1700,NA,60,60,38.5,0.64166666666666672,16000,318,زغوان,zghouan
2021/2022,BEJA,Bouteffaha,Bèja Sud,NA,NA,NA,354,NF,NF,NA,NA,NA,NA,NA
2021/2022,BEJA,Medjez Elbeb,Medjez Elbeb,NA,NA,NA,100,NF,NF,NA,NA,NA,NA,NA
2021/2022,KEF,Semmana,Kef,NA,NA,NA,180,NF,NF,NA,NA,NA,NA,NA
2021/2022,SILIANA,Mediouna,Mediouna,3334,3655,2006,87.2,87.2,87.2,1,38300,770,سليانة,sliana
2021/2022,SOUSSE,Zaouiet Sousse,Sousse Sud,10000,17800,1987,257,257,257,1,658480,12,سوسة,sousse
2021/2022,SOUSSE,Msaken,Msaken,10000,7850,2003,185,185,185,1,249900,12,سوسة,sousse
2021/2022,MONASTIR,Ouardanine,Ouardanine,1000,1000,1997,50,50,70,1.4,280000,20,المنستير,monastir
