file,rows,region_column,matched
Average monthly precipitation for the period January 1990 to December 2021 (Zaghouan Governorate).xlsx,192,NA,0
Cereals - Distribution of irrigated areas by governorate in ha 2017-2018.xlsx,24,alwlayt_gouvernorat,24
Deep tablecloths-Kébili.xlsx,12,profondeur_m,0
Distribution of irrigated areas - Gafsa Governorate.xlsx,14,delegation,10
Distribution of irrigated areas according to delegation - Governorate of Bizerte.xlsx,75,delegation,55
Distribution of irrigated areas according to delegation - Sidi Bouzid Governorate.xlsx,26,alwlayt,20
Drinking water supply rate in rural areas.xlsx,16,NA,0
Evolution des superficies irriguées (1000 ha).xlsx,8,NA,0
Evolution of Irrigated Public Perimeters according to the Delegation.xlsx,48,delegation,30
Evolution of Private Irrigated Perimeters according to the delegation - Governorate of Manouba.xlsx,88,NA,0
Evolution of Private Irrigated Perimeters according to the Delegation - Governorate of Nabeul.xlsx,48,delegation,30
Evolution of Private Irrigated Perimeters according to the Delegation - Governorate of Zaghouan.xlsx,28,delegation,24
Evolution of Public Irrigated Perimeters - Manouba Governorate.xlsx,88,superficie_irrigable_ha,0
Evolution of the exploitation of large dams and hill dams-Governorate of Zaghouan.xlsx,30,NA,0
Evolution of the quantities of water transferred by SECADENORD in million m3.xlsx,55,NA,0
Evolution of the surface area of private irrigated areas - Governorate of Monastir.xlsx,33,delegation,15
Evolution of the surface area of public irrigated areas - Governorate of Monastir.xlsx,39,delegation,15
Exploitation of deep water tables - Tataouine Governorate.xlsx,11,nom,0
Groundwater exploitation - Kébili Governorate.xlsx,27,nombre_puits,0
Irrigated - Distribution of irrigated areas according to source in ha 2017-2018.xlsx,24,gouvernorat_alwlayt,24
"Irrigated - fodder, legumes and irrigated industrial crops in ha 2017-2018.xlsx",24,alwlayt_gouvernorat,24
Irrigated - irrigated arboreal area in ha 2017-2018.xlsx,24,gouvernorat_wlayt,24
Irrigated - overall area of irrigated crops by governorate in ha 1.xlsx,24,alwlayt_gouvernorat,24
Irrigated - overall area of irrigated crops by governorate in ha.xlsx,24,alwlayt_gouvernorat,24
Irrigated areas - Ariana Governorate.xlsx,88,delegation,66
Irrigated areas - Governorate of Jendouba.xlsx,18,NA,0
Irrigated areas (private and public) - Medenine Governorate.xlsx,27,delegation,12
Irrigated Public Perimeters - Governorate of Tunis.xlsx,10,annee,0
Irrigated-irrigated market gardening in ha 2017-2018.xlsx,25,gouvernorat_alwlayt,25
List of GDAs of PPIs in the governorate of Sfax.xlsx,36,note,0
List of public irrigated areas - Governorate of Sousse.xlsx,40,delegation_ar,40
Mobilized Hydraulic Resources.xlsx,10,NA,0
Perimeters irrigated by treated wastewater (Sfax region).xlsx,4,delegation,4
Private Irrigated Perimeters - Governorate of Tunis.xlsx,126,delegation,107
Public Irrigated Perimeters - Tozeur Governorate.xlsx,21,NA,0
Quantities of water produced by SECADENORD in million m3.xlsx,99,barrage,33
Regional distribution of PPIs irrigated by treated wastewater.xlsx,114,gouvernorat,93
Volume of irrigation water sales for 2018 (m3) Manouba governorate.xlsx,12,NA,0
Water resources - Kairouan Governorate.xlsx,12,NA,0
Water resources according to groundwater - Tataouine Governorate.xlsx,13,nom_de_nappe,0
Water table - Kébili Governorate.xlsx,16,NA,0
