gouvernorat,formations_forestieres_et_arbores,autres_formations_forestieres,terres_incultes,region_id,matched_region_ar,matched_region_fr
Kasserine,132326,26717,20768,18,القصرين,kasserine
Siliana,82399,45963,11108,770,سليانة,sliana
Le Kef,77728,38088,15690,NA,NA,NA
Jendouba,98714,14964,6508,37,جندوبة,jndouba
Bizerte,35658,55157,7912,15,بنزرت,bizerte
Kairouan,36879,34773,21256,13,القيروان,kairouan
Beja,48117,32063,6943,NA,NA,NA
Zaghouan,52575,25291,7603,318,زغوان,zghouan
Nabeul,42410,26664,4075,11,نابل,nabeul
Sidi Bouzid,16820,5135,13602,167,سيدي بوزيد,sidi bouzid
Ben Arous,12920,5179,1327,19,بن عروس,ben arous
Manouba,5708,6740,NA,774,منوبة,mnouba
Sousse,6320,3593,3042,12,سوسة,sousse
Gafsa,4063,8063,NA,16,قفصة,gafsa
Sfax,4999,1516,4115,10,صفاقس,sfax
Gabes,3528,3625,NA,14,قابس,gabès
Mahdia,4488,421,1977,35,المهدية,almhdia
Ariana,1141,1522,837,21,أريانة,ariana
Monastir,301,203,2059,20,المنستير,monastir
Kébili,1846,313,2269,NA,NA,NA
Médenine,1433,342,NA,26,مدنين,mdnin
Tataouine,606,19,NA,5,تطاوين,tataouine
Tozeur,304,255,NA,45,توزر,touzr
Tunis,1702,182,1208,1,تونس,tunis
