annee,delegation,superficie_des_terres_agricoles_ha,superfice_des_parcours_ha,superficies_des_forets_ha,superficie_totale_des_terres_agricoles_ha,superficie_non_agricole_ha,superficie_totale_ha,region_id,matched_region_ar,matched_region_fr
2024,Médenine Nord,12735,20460,498.5,33693.5,2908.2042539230097,36601.70425392301,NA,NA,NA
2024,Médenine Sud,21534,49000,541,71075,2877.0385274000582,73952.03852740006,NA,NA,NA
2024,Sidi Makhlouf,27934,34556,814.5,63304.5,2521.62912818286,65826.12912818286,781,سيدي مخلوف,sidi mkhlouf
2024,Ajim,6316,0,29,6345,7507.230464439519,13852.230464439519,42,أجيم,ajim
2024,Houmet Essouk,6249,0,38.5,6287.5,11021.165662748215,17308.665662748215,NA,NA,NA
2024,Midoun,6339,0,0,6339,12269.283155473757,18608.283155473757,30,ميدون,midoun
2024,Zarzis,69172,3580,313,73065,10921.768946965924,83986.76894696592,NA,NA,NA
2024,Ben Guerdane,58235,396653,1223,456111,22961.417693449243,479072.41769344924,NA,NA,NA
2024,Beni Khedech,16990,96511,1627,115128,20589.23182617486,135717.23182617486,464,بني خداش,bni khdach
2024,Total,225504,600760,5084.5,831348.5,93576.96965875744,924925.4696587574,NA,NA,NA
